author	author_gender	Count
Annesley, Alexander (NA-1813)	ambiguous	    1
Annet, Peter (1693-1769)	NA	    1
Anquetil, Louis-pierre (1723-1806)	NA	    1
Ansaldi, Casto Innocente (1710-1780)	ambiguous	    1
Anstie, John	NA	    2
Anthing, Frederic (1753-1805)	NA	    2
Anthony, 	NA	    1
Anti-jack-presbyter, Embroyan	NA	    1
Antininny, 	NA	    1
Antoinette, Marie (1755-1793)	ambiguous	    3
Antraigues, Emmanuel-louis-henri-alexandre De Launay (1753-1812)	ambiguous	    1
Antraigues, Emmanuel-louis-henri-alexandre De Launay (1754-1812)	ambiguous	    2
Antrim, Randal Macdonnell (1609-1683)	ambiguous	    2
Apollonius, Willem (1603-1657)	NA	    2
Appian, 	NA	    2
Appianus, 	NA	    6
Applegarth, Robert	ambiguous	    1
Appleton, Henry (1650-1654)	ambiguous	    1
Appleton, Nathaniel (1693-1784)	NA	    1
Apthorp, East (1733-1816)	ambiguous	    1
Aranda, Emanuel D' (1602-NA)	NA	    1
Aratus, 	male	    2
Arbuthnot, John (1667-1735)	NA	   35
Archdale, John (1642-1717)	NA	    1
Archdall, Mervyn (1723-1791)	ambiguous	    1
Archdall, N	NA	    1
Archenholz, Johann Wilhelm Von (1743-1812)	ambiguous	    1
Archer, Elias	NA	    1
Arckenholtz, Johan (1695-1777)	ambiguous	    1
Arcq, Philippe-auguste De Sainte-foix (1721-1795)	ambiguous	    1
Arderne, James (1636-1691)	NA	    2
Argens,  (1704-1771)	NA	    1
Argenson, René-louis De Voyer (1694-1757)	ambiguous	    1
Argentré, Bertrand D' (1519-1590)	NA	    1
Argyll, Archibald Campbell (1598-1661)	ambiguous	   16
Argyll, Archibald Campbell (1629-1685)	ambiguous	    3
Arias, Juan Luis	ambiguous	    1
Aristotle, 	male	    1
Arlington, Henry Bennet (1618-1685)	ambiguous	    1
Armfelt, Gustaf Mauritz (1757-1814)	male	    1
Armour, James (1702-1722)	NA	    1
Armstrong, Francis (1786-NA)	ambiguous	    1
Armstrong, John (1771-1758)	NA	    2
Armstrong, Mostyn John	male	    3
Army, Emminent	NA	    1
Arnall, William (1700-1736)	ambiguous	    5
Arniston, Robert Dundas (1713-1787)	ambiguous	    1
Arnold, Benedict (1741-1801)	male	    2
Arnold, Charles Henry	ambiguous	    2
Arnot, Hugo (1749-1786)	NA	    2
Arnot, James	NA	    1
Arnway, John (1601-1653)	NA	    4
Arrowsmith, John (1602-1659)	NA	    2
Arscott, Alexander (1676-1737)	ambiguous	    1
Arthur, Daniel	ambiguous	    1
Artis, Gabriel D' (1660-1730)	ambiguous	    1
Arundel, Thomas Howard (1585-1646)	ambiguous	    2
Arwaker, Edmund (NA-1730)	NA	    6
Ascham, Antony (NA-1650)	NA	    3
Ascham, Roger (1515-1568)	NA	    1
Asgill, John (1659-1738)	NA	    4
Ashburnham, John (1600-1648)	NA	    1
Ashburnham, John (1600-1658)	NA	    1
Ashburton, Charles Alfred	ambiguous	    3
Ashby, John (NA-1693)	NA	    2
Ashe, George (1658-1718)	ambiguous	    2
Ashe, John	NA	    4
Ashe, Simeon (NA-1662)	ambiguous	    3
Ashhurst, William (1617-1680)	ambiguous	    3
Ashmole, Elias (1617-1692)	NA	    1
Ashton, James-brown	NA	    1
Ashton, John (NA-1691)	NA	    2
Ashurst, Henry (1645-1711)	ambiguous	    1
Aske, James	NA	    1
Aspinwall, William (1648-1662)	ambiguous	    1
Asplin, Samuel	NA	    3
Assheton, William (1641-1711)	ambiguous	    1
Astarābādī, Mahdī (1733-1759)	NA	    1
Astell, Mary (1668-1731)	ambiguous	    3
Astell, Ralph	ambiguous	    1
Astle, Thomas (1735-1803)	NA	    2
Astley, Philip (1742-1814)	NA	    5
Aston Of Forfar, Walter (1584-1639)	ambiguous	    1
Aston, Thomas (1600-1645)	NA	    7
Athenagoras,  (2-NA)	NA	    1
Atholl, John Murray (1660-1724)	ambiguous	    2
Atholl, John Murray (1729-1774)	ambiguous	    1
Atkey, Anthony (1702-1734)	NA	    1
Atkins, John (1685-1757)	NA	    2
Atkinson, Benjamin Andrewes (1680-1765)	ambiguous	    2
Atkinson, Thomas	NA	    1
Atkyns, Richard (1615-1677)	ambiguous	    2
