gatherings	original_extent	final_pagecount	Count
8vo	4v.,plates	1264	  30
4to	[20] p.	20	  29
4to	14 p.	14	  29
4to	[2], 26 p.	28	  29
2fo	2v.	1432	  29
4to	32p.	32	  29
8vo	63,[1]p.	64	  29
8vo	[16] p.	16	  28
4to	[2], 25, [1] p.	28	  28
2fo	[2], 5, [1] p.	8	  28
8vo	[2],30p.	32	  28
4to	24p.	24	  28
2fo	8p.	8	  28
4to	11,[1]p.	12	  28
2fo	11, [1] p.	12	  27
8vo	12p.	12	  27
8vo	43,[1]p.	44	  27
2fo	1 sheet ([1]) p.	2	  26
4to	[28] p.	28	  26
2fo	[2], 2 p.	4	  26
4to	[4], 31, [1] p.	36	  26
4to	28 p.	28	  26
8vo	22p.	22	  26
8vo	64p.	64	  26
NA	[4]p.	4	  25
NA	4p.	4	  25
8vo	[4]p.	4	  25
2fo	2v.,plates	1440	  25
2fo	16 p.	16	  24
4to	[2], 20 p.	22	  24
4to	[40] p.	40	  24
4to	[2], 20, [2] p.	24	  24
4to	[4], 36 p.	40	  24
4to	[4], 16 p.	20	  24
4to	31,[1]p.	32	  24
8vo	72p.	72	  24
NA	8p.	8	  23
4to	[2], 4 p.	6	  23
4to	28p.	28	  23
8vo	55,[1]p.	56	  23
12mo	23,[1]p.	24	  23
8vo	22,[2]p.	24	  23
12mo	36p.	36	  23
8vo	68p.	68	  23
4to	20p.	20	  23
4to	22, [2] p.	24	  22
NA	v.	5	  22
2fo	2 leaves	4	  22
8vo	[4],39,[1]p.	44	  22
8vo	[2],54p.	56	  22
8vo	38p.	38	  22
2fo	7,[1]p.	8	  22
8vo	[32] p.	32	  21
4to	[14] p.	14	  21
NA	1 sheet ([2] p.)	2	  21
4to	36 p.	36	  21
2fo	1 v.	4	  21
4to	23,[1]p.	24	  21
8vo	88p.	88	  21
12mo	2v.,plates	423	  21
8vo	24 p.	24	  21
8vo	3v.,plate	942	  21
2fo	[8] p.	8	  20
4to	[2], 16 p.	18	  20
4to	[2], 16, [2] p.	20	  20
2fo	6p.	6	  20
8vo	52p.	52	  20
8vo	29,[1]p.	30	  20
12mo	8p.	8	  20
8vo	[4],36p.	40	  20
8vo	[2],45,[1]p.	48	  20
4to	[2], 11, [1] p.	14	  19
2fo	[2], 10 p.	12	  19
4to	[4], 27, [1] p.	32	  19
4to	[6] p.	6	  19
4to	[2], 8 p.	10	  19
8vo	80p.	80	  19
8vo	34p.	34	  19
8vo	1 sheet	2	  19
1to	1 sheet (verso blank)	2	  18
4to	[2], 33, [1] p.	36	  18
NA	[2], 6 p.	8	  18
4to	[4], 24 p.	28	  18
4to	39, [1] p.	40	  18
4to	30, [2] p.	32	  18
4to	1 sheet ([2] p.)	2	  18
2fo	[2] p.	2	  18
8vo	15, [1] p.	16	  18
8vo	46p.	46	  18
8vo	5v.	1560	  18
2fo	[2] sheets (versos blank)	4	  17
8vo	[48] p.	48	  17
4to	[4], 19, [1] p.	24	  17
4to	[44] p.	44	  17
2fo	10 p.	10	  17
4to	[4], 44 p.	48	  17
4to	[4], 23, [1] p.	28	  17
4to	27, [1] p.	28	  17
4to	[4], 12 p.	16	  17
8vo	3 v.	936	  17
4to	[4], 20 p.	24	  17
8vo	11,[1]p.	12	  17
8vo	6v.,plates	1896	  17
8vo	[4],60p.	64	  17
8vo	[8] p.	8	  16
4to	18 p.	18	  16
4to	[4], 15, [1] p.	20	  16
4to	[2], 8 [i.e. 6] p.	8	  16
8vo	4 v.	1248	  16
12mo	72p.	72	  16
8vo	46,[2]p.	48	  16
8vo	[2],21,[1]p.	24	  16
NA	16p.	16	  15
NA	12p.	12	  15
2fo	2v.,plate	1436	  15
2fo	[2] leaves.	4	  15
8vo	[24] p.	24	  15
2fo	2 p.	2	  15
2fo	6, [2] p.	8	  15
2fo	20 p.	20	  15
2fo	[2], 9, [1] p.	12	  15
4to	[2], 46 p.	48	  15
2fo	[6] p.	6	  15
2fo	2 v.	1432	  15
8vo	48 p.	48	  15
12mo	3v.,plates	634.5	  15
8vo	32 p.	32	  15
12mo	60p.	60	  15
8vo	[2],37,[1]p.	40	  15
8vo	5v.,plates	1580	  15
2fo	3v.,plates	2160	  15
8vo	96p.	96	  15
8vo	[4],47,[1]p.	52	  15
8vo	14p.	14	  15
8vo	62p.	62	  15
2fo	4 sheets (versos blank)	8	  14
2fo	[12] p.	12	  14
NA	4 p.	4	  14
4to	10 p.	10	  14
4to	[2], 1, [5] p.	8	  14
NA	[8] p.	8	  14
4to	[4], 48 p.	52	  14
4to	[4], 4 p.	8	  14
4to	[2], 37, [1] p.	40	  14
4to	3, [1] p.	4	  14
4to	7,[1]p.	8	  14
8vo	[2],26p.	28	  14
8vo	[4],43,[1]p.	48	  14
8vo	[4],59,[1]p.	64	  14
12mo	48p.	48	  14
12mo	11,[1]p.	12	  14
12mo	84p.	84	  14
8vo	[2],46p.	48	  14
12mo	6v.	1245	  14
8vo	[4],138,[2]p.	144	  13
4to	[30] p.	30	  13
8vo	[40] p.	40	  13
4to	[48] p.	48	  13
2fo	9, [1] p.	10	  13
4to	[8], 56 p.	64	  13
4to	[4], 11, [1] p.	16	  13
4to	[8], 32 p.	40	  13
4to	8, 7-13, [1] p.	14	  13
4to	[4], 43, [1] p.	48	  13
4to	[4], 8 p.	12	  13
8vo	v., plates (some fold.)	4	  13
2fo	3 v.	2148	  13
8vo	4v.,plate	1256	  13
8vo	51,[1]p.	52	  13
12mo	52p.	52	  13
12mo	2v.,plate	419	  13
4to	4v.,plates	4	  13
8vo	[2],50p.	52	  13
8vo	[4],55,[1]p.	60	  13
8vo	18p.	18	  13
8vo	[4],28p.	32	  13
8vo	[2],22p.	24	  13
8vo	[4],42,[2]p.	48	  13
8vo	[2],29,[1]p.	32	  13
8vo	8v.,plates	2528	  13
8vo	[2],33,[1]p.	36	  13
8vo	[2],38p.	40	  13
4to	35,[1]p.	36	  13
8vo	[4],56p.	60	  13
8vo	14,[2]p.	16	  12
4to	[36] p.	36	  12
4to	[2], 24 p.	26	  12
4to	[2], 3, [3] p.	8	  12
4to	[2], 32 p.	34	  12
4to	30 p.	30	  12
4to	6 [i.e. 8] p.	8	  12
4to	[4], 18, [2] p.	24	  12
4to	[4], 68 p.	72	  12
4to	44 p.	44	  12
8vo	[4],51,[1]p.	56	  12
4to	2v.,plate	2	  12
8vo	[2],34p.	36	  12
8vo	[2],61,[1]p.	64	  12
8vo	[4],40p.	44	  11
8vo	26p.	26	  11
NA	[3] leaves.	6	  11
2fo	2 leaves.	4	  11
2fo	2 sheets ([2] p.)	4	  11
12mo	24 p.	24	  11
8vo	[20] p.	20	  11
2fo	1 sheet (1 p.)	2	  11
8vo	[2], 14 p.	16	  11
4to	[6], 34 p.	40	  11
4to	47, [1] p.	48	  11
4to	8, 7-14 p.	14	  11
4to	[6], 26 p.	32	  11
4to	[2], 36, [2] p.	40	  11
4to	5, [3] p.	8	  11
4to	[2], 54 p.	56	  11
1to	1 sheet ([1] p)	2	  11
4to	[2], 28 p.	30	  11
4to	35, [1] p.	36	  11
4to	[2], 28, [2] p.	32	  11
2fo	[2], 18 p.	20	  11
12mo	2 v.	415	  11
2fo	5,[1]p.	6	  11
8vo	7, [1] p.	8	  11
8vo	76p.	76	  11
8vo	[2],58p.	60	  11
8vo	[2],42p.	44	  11
8vo	iv,364p.	368	  11
2fo	11,[1]p.	12	  11
8vo	[4],76p.	80	  11
8vo	[4],35,[1]p.	40	  11
4to	[4]p.	4	  11
12mo	35,[1]p.	36	  11
8vo	[4],44p.	48	  11
8vo	[2],77,[1]p.	80	  11
4to	[12]p.	12	  10
4to	27,[1]p.	28	  10
8vo	45,[1]p.	46	  10
8vo	60p.	60	  10
4to	[52] p.	52	  10
NA	3 leaves.	6	  10
2fo	5 sheets (versos blank)	10	  10
4to	[2], 6, [8] p.	16	  10
4to	64 p.	64	  10
4to	[2], 15, [1] p.	18	  10
2fo	15, [1] p.	16	  10
2fo	[2], 13, [1] p.	16	  10
4to	[8], 35, [1] p.	44	  10
4to	[2], 31, [1] p.	34	  10
2fo	[2], 14 p.	16	  10
2fo	4 v.	2864	  10
2fo	[1], 2, [1] p.	4	  10
4to	[2], 45, [1] p.	48	  10
16mo	1 sheet ([1] p.)	2	  10
4to	3v.,plates	4	  10
8vo	28 p.	28	  10
4to	[2],30p.	32	  10
8vo	[4],100p.	104	  10
8vo	[4],48p.	52	  10
8vo	8v.,plate	2512	  10
4to	19,[1]p.	20	  10
8vo	54p.	54	  10
8vo	[4],23,[1]p.	28	  10
4to	36p.	36	  10
8vo	71,[1]p.	72	  10
8vo	100p.	100	  10
8vo	xx,[4],164,[4]p.	192	  10
12mo	192p.	192	  10
4to	40p.	40	  10
2fo	12p.	12	  10
8vo	6,[2]p.	8	   9
4to	44p.	44	   9
12mo	16p.	16	   9
8vo	50p.	50	   9
8vo	30,[2]p.	32	   9
8vo	[4],52p.	56	   9
NA	[2] p.	2	   9
4to	[8]p.	8	   9
4to	[72] p.	72	   9
12mo	12 p.	12	   9
1to	1 sheet ([1]) p.	2	   9
2fo	5, [1] p.	6	   9
NA	1 sheet (2 p.)	2	   9
4to	[2], 2 p.	4	   9
12mo	[24], 359, [1] p.	384	   9
8vo	30, [2] p.	32	   9
4to	22 p.	22	   9
4to	[2], 8, [2] p.	12	   9
2fo	10, [2] p.	12	   9
2fo	[2], 17, [1] p.	20	   9
8vo	4 p.	4	   9
4to	[2], 35, [1] p.	38	   9
4to	[8], 27, [1] p.	36	   9
4to	[4], 10, [2] p.	16	   9
4to	[8], 28 p.	36	   9
2fo	19, [1] p.	20	   9
4to	[8], 48 p.	56	   9
2fo	5 v.	3580	   9
8vo	31, [1] p.	32	   9
8vo	8v.	2496	   9
8vo	viii,[108],68p.	184	   9
8vo	6v.	1872	   9
12mo	4v.,plates	846	   9
8vo	[4],31,[1]p.	36	   9
8vo	[4],67,[1]p.	72	   9
4to	[2],24p.	26	   9
4to	[4],20p.	24	   9
8vo	67,[1]p.	68	   9
8vo	42p.	42	   9
8vo	[4],24p.	28	   9
8vo	[2],62p.	64	   9
4to	13,[1]p.	14	   9
8vo	[2],41,[1]p.	44	   9
4to	48p.	48	   9
8vo	[2],80p.	82	   9
8vo	[2],40p.	42	   9
8vo	87,[1]p.	88	   9
NA	3,[1]p.	4	   8
NA	15,[1]p.	16	   8
8vo	92p.	92	   8
8vo	[2],85,[1]p.	88	   8
8vo	[12] p.	12	   8
2fo	2 leaves (versos blank)	4	   8
8vo	[56] p.	56	   8
8vo	[64] p.	64	   8
4to	[80] p.	80	   8
NA	1 broadside	2	   8
1to	1 sheet (2 p.)	2	   8
2fo	2 sheets ([4] p.)	4	   8
8vo	40 p.	40	   8
2fo	[16] p.	16	   8
12mo	1 sheet ([1] p.)	2	   8
4to	[4], 26, [2] p.	32	   8
4to	[2], 6, 9-16 p.	18	   8
2fo	[4], 8 p.	12	   8
4to	[2] 6 p.	8	   8
8vo	[2], 6 p.	8	   8
4to	[10] p.	10	   8
4to	[8], 64 p.	72	   8
4to	71, [1] p.	72	   8
4to	[2], 42 p.	44	   8
4to	[4], 30, [2] p.	36	   8
4to	[4], 39, [1] p.	44	   8
4to	[4], 35, [1] p.	40	   8
4to	[4], 34, [2] p.	40	   8
4to	[8], 23, [1] p.	32	   8
4to	13, [1] p.	14	   8
8vo	[14] p.	14	   8
4to	18, [2] p.	20	   8
8vo	6 v.	1872	   8
