gatherings	original_extent	final_pagecount	Count
8vo	32p.,plate	34	   2
8vo	[4],62,[2]p.	68	   2
8vo	16p	16	   2
4to	v,[1],260p.	266	   2
8vo	[4],130,[2]p.	136	   2
8vo	120p.	120	   2
8vo	[4],111,[1]p.,plate	118	   2
8vo	[4],157,[3]p.	164	   2
8vo	viii, 48 p.	56	   2
8vo	[4],183,[1]p.	188	   2
8vo	iv,40p.	44	   2
8vo	iv,9-112;[4],47,[1]p.	160	   2
8vo	xxviii,126p.	154	   2
8vo	40p	40	   2
8vo	[4],66,[2]p.,plates	76	   2
8vo	[2],174p.	176	   2
4to	[6],30p.	36	   2
4to	[4],90p.	94	   2
8vo	xxxi,[1],252p.,plate	286	   2
8vo	[2],iv,66p.	72	   2
8vo	[3],6-22p.	20	   2
12mo	57,[3]p.	60	   2
8vo	62,[2]p.	64	   2
4to	[4],29,[3]p.	36	   2
8vo	[4],120p.	124	   2
8vo	xvi,176p.	192	   2
8vo	viii,211,[1]p.	220	   2
4to	[6],26p.	32	   2
8vo	[8],135,[1]p.	144	   2
8vo	[8],91,[1]p.	100	   2
2fo	[4],10p.	14	   2
8vo	[4],95,[1]p.	100	   2
8vo	[8],132p.	140	   2
12mo	[2],80p.	82	   2
8vo	[4],54,[2]p.	60	   2
8vo	iv,109,[3]p.	116	   2
12mo	40p.	40	   2
12mo	[4],138,[6]p.	148	   2
2fo	211-214 p.	4	   2
8vo	[114] p.	114	   2
4to	[8], 18, [2] p.	28	   2
4to	pp. 41-44	4	   2
4to	[34+] p.	34	   2
8vo	32, 37-47 [1] p.	47	   2
8vo	[180] p.	180	   2
NA	[4] leaves.	8	   2
NA	[6] leaves.	12	   2
NA	[23] p.	23	   2
NA	[44] p.	44	   2
NA	[13] p.	13	   2
NA	[40] p.	40	   2
2fo	xli leaves	82	   2
NA	[26] p.	26	   2
4to	[2], 21 p.	23	   2
2fo	3, [1] sheets	5	   2
4to	[4], 45, [3] p.	52	   2
2fo	2 v. ([24], 46, 46-119, 121-286, 288-369; [2], 562, 562-571, [2] p.)	968	   2
8vo	[2], 33, [1] p.	36	   2
2fo	[8], 248 p.	256	   2
4to	[8], 141, 144-217, [1] p.	226	   2
8vo	67, [1] p.	68	   2
2fo	[64] p.	64	   2
2fo	[8], XVI, 218, [2] p.	244	   2
2fo	[194] leaves	388	   2
2fo	[8], CCC.xix [i.e. 326] leaves	8	   2
4to	[2], 9, [1], 10-12, [1] p.	16	   2
4to	[2], 30, 16 p.	32	   2
8vo	[40], 159, [1], 192 p.	233	   2
2fo	[28], 299, 310-646, [4], 647-1415 [i.e. 1413], [21] p.	1466	   2
4to	[70] p.	70	   2
4to	[2] leaves	4	   2
4to	[16], 336 p., folded plate	354	   2
8vo	249, [3] p.	252	   2
12mo	[8], 224, [20] p.	252	   2
8vo	128 p.	128	   2
2fo	[12], 138, [2], 219, 221-223, [2]; [8], 127, [9] p.	383	   2
2fo	[2], 151-786 p., 787-801 [i.e. 802] leaves, 803-894, [52] p.	948	   2
8vo	86, [2] p.	88	   2
4to	[8], 450, 467-480, 465-483, [1] p.	492	   2
2fo	[34], 536 [i.e. 535], [13] p., [5] plates (3 folded)	592	   2
2fo	[12], 1184, [16] p.	1212	   2
8vo	38 p.	38	   2
4to	[17], 4, 4, 5-8, 9-19, 9-19, 20-23, 24-25, 24-25, 26-28, 28-30, 31-36, 31-36, 37-39, 39-43, 44-48, 44-48, 49-51, 51-54, 54-60, 61-63, 61-63, 64-69, 70-77, 70-77, 78-93, 94-100, 94-100, 101-104, 105-109, 105-109, 110-115, 116-118, 116-118, 119-124, 125-133, 125-133, 134-137, 138-142, 138-142, 143-148, 149-151, 149-151, 152-153, 154-158, 154-158, 159-168, 169-171, 169-171, 172-173, 174-176, 174-176, 177-178, 176-181, 181-186, [2] p.	205	   2
8vo	[16], 168 p.	184	   2
8vo	[12], 43, [1] p.	56	   2
8vo	[150] p.	150	   2
8vo	[4], 44 p.	48	   2
4to	[4], 28, [2], 13, [1] p.	35	   2
2fo	[16], 822, 233, [59] p., [50] plates, mostly folded	997	   2
8vo	[78] p.	78	   2
12mo	[4], 137, [1], 319, [123], 31, [1] p.	448	   2
4to	54 p.	54	   2
8vo	[1], 19, [4] p.	24	   2
8vo	[18], 251, [1] p.	270	   2
2fo	lviii leaves	116	   2
2fo	xxxiiii leaves	68	   2
8vo	76 p.	76	   2
NA	[36] p.	36	   2
4to	[24], 1264, 1263-1293, 1290-1318 p.	1342	   2
8vo	[2], 32 p.	34	   2
2fo	[2] leaves	4	   2
8vo	28, [4] leaves	36	   2
4to	[8], 66, [2] p.	76	   2
4to	[8], 180 p.	188	   2
8vo	[152] p.	152	   2
4to	[6], 186, 189-287, [1] p.	294	   2
4to	[8], 184, 189-228, 237-240, [4] p.	252	   2
4to	[94] p.	94	   2
8vo	[72] p.	72	   2
4to	[232] p.	232	   2
8vo	[310] p.	310	   2
4to	[16], 58, 58-59, 59-435, [1] p., plate	454	   2
8vo	[8], 295, 294-435, [1] p.	444	   2
8vo	[2], 78 p.	80	   2
2fo	[10], 222, [2] p.	234	   2
2fo	[8], 339, [1], 61, [3] p.	351	   2
16mo	[16], 607, [1] p.	624	   2
2fo	[16], 394 [i.e. 294], 293-342, [2] p.	360	   2
8vo	[88] p.	88	   2
8vo	13, [1] p.	14	   2
4to	[148] p.	148	   2
NA	[12] p.	12	   2
8vo	150, [2] p.	152	   2
8vo	CCXII p.	212	   2
8vo	[128] p.	128	   2
8vo	[46] p.	46	   2
4to	[12], 701, 698-699, [1] p.	714	   2
8vo	[8], 99, [1] leaves	109	   2
4to	[2], 19, [1]	22	   2
12mo	[24] p.	24	   2
12mo	[24], 503, [3] p.	530	   2
4to	[2], 22, [16] p.	40	   2
2fo	[10], 440, 218, [2], 219-466, [22] p.	500	   2
4to	[8], 103, [9] p.	120	   2
4to	[8], 106, [6] p.	120	   2
4to	[6], 161, [1] leaves	169	   2
4to	[128] p.	128	   2
8vo	[192] p.	192	   2
2fo	xx leaves	40	   2
12mo	94 p.	94	   2
4to	8+ p.	8	   2
2fo	[2], 235-252 p.	20	   2
2fo	120-121 p.	2	   2
2fo	118-119 p.	2	   2
2fo	[2], 173-190 p.	20	   2
2fo	[2], 223-228 p.	8	   2
2fo	9 p.	9	   2
2fo	[2], 15-58 p.	46	   2
2fo	135-140 p.	6	   2
2fo	[2], 75-82 p.	10	   2
2fo	[2], 51-54 p.	6	   2
2fo	[2], 13-22 p.	12	   2
4to	6+ p.	6	   2
2fo	p. 85-92	8	   2
12mo	239, [1] p.	240	   2
8vo	80 p.	80	   2
4to	13 [i.e. 15], [1] p.	16	   2
8vo	[2], 18 p.	20	   2
4to	44, [2] p.	46	   2
2fo	17-20 p.	4	   2
2fo	[2], 67-95, [1] p.	32	   2
4to	[2], 6+ p.	8	   2
4to	[6], 47, [1] p.	54	   2
2fo	[5] leaves	10	   2
2fo	5 leaves	10	   2
2fo	[2], 3-4 p.	4	   2
2fo	[7] p.	7	   2
4to	[1], 8 p.	9	   2
12mo	[8], 122, [2] p.	132	   2
12mo	44 p.	44	   2
12mo	[4], 42, [2] p.	48	   2
2fo	[8] leaves	16	   2
2fo	21, [1] p.	22	   2
4to	[2], 13 p.	15	   2
NA	[2], 5, [1] p.	8	   2
8vo	[2], 125, [1] p.	128	   2
2fo	[28], 108, 96, 83, [9] p.	145	   2
8vo	[16], 656, [24] p.	696	   2
2fo	1 sheet (2 p.).	2	   2
NA	12 p.	12	   2
4to	[2], 55, [3] p.	60	   2
8vo	[2], 142 p.	144	   2
2fo	[2], 20 leaves	42	   2
2fo	[26] p.	26	   2
8vo	[24], 170, [6], 256, [4], 107, [5] p., plate	297	   2
4to	[6], 70 p.	76	   2
NA	28 p.	28	   2
4to	[2], 10+ p.	12	   2
NA	quarto	2	   2
2fo	135-139, [1] p.	6	   2
2fo	[2], 67-69, [1] p.	6	   2
2fo	[2], 23-40 p.	20	   2
2fo	[2], 11-19, [1] p.	12	   2
2fo	[2], 87-95, [1] p.	12	   2
2fo	[2], 75-83, [1] p.	12	   2
2fo	[2], 51-54 [2] p.	56	   2
2fo	215-219, [1] p.	6	   2
2fo	[2], 211-214 p.	6	   2
2fo	[2], 191-207, [1] p.	20	   2
12mo	[40], 330 p.	370	   2
2fo	[32], 691, [1], 56, 55-57, [1] p., [2] leaves of plates	729	   2
12mo	[10], 104 p.	114	   2
12mo	[12], 168 p.	180	   2
2fo	[12], 516, 515-543, [7], 557-568, 567-642, 657-814, 813-848, 847-854 , [34] p., [2] leaves of plates	911	   2
4to	[16], 441, [19] p.	476	   2
4to	[4], 30 p.	34	   2
8vo	[8], 37, [3] p.	48	   2
NA	[6], 37, [2] p., [1] leaf of plates	47	   2
2fo	1 broadside	2	   2
8vo	[4], 35, [1] p.	40	   2
2fo	[2], 3-15, [1] p.	16	   2
2fo	[2], 3-19, [1] p.	20	   2
2fo	[2], 3-13, [1] p.	14	   2
8vo	46, [2] p.	48	   2
12mo	[2], 182, [8] p.	192	   2
4to	[6], 15, [1] p.	22	   2
8vo	[2], 38 p.	40	   2
4to	29, [1] p.	30	   2
NA	[2], 9 p.	11	   2
8vo	[22], 24, [50] p.	96	   2
12mo	[22], 359 p., [1] leaf of plates	383	   2
12mo	[2], 94 p.	96	   2
4to	4, [4] p.	8	   2
4to	[12], 31, [1] p.	44	   2
4to	[6], 20 [i.e 18] p.	24	   2
8vo	[16], 205, [10], 116-163, [15], 178-216, [84] p.	341	   2
12mo	[24], 357, [3] p.	384	   2
4to	[14], 72, 71-102, 105-178 [i.e. 179], [5] p.	198	   2
12mo	60 p.	60	   2
NA	[2], 7 p.	9	   2
8vo	15 [i.e. 16] p.	16	   2
12mo	[14], 63, [7] p.	84	   2
2fo	5 sheets (versos only)	10	   2
2fo	4 sheets (versos only)	8	   2
12mo	[6], 210 p.	216	   2
4to	33, [1] p.	34	   2
8vo	[14], 279, [1] p.	294	   2
4to	168 p.	168	   2
4to	[14], 182, [2], 193-261, [9], 64, [2], 38 p., 2 folded leaves, [1] leaf of plates	290	   2
12mo	[12], 339, 400-684, 665-691, [9] p.	712	   2
2fo	[2], 207-211, [1] p.	8	   2
2fo	[2], 183-184 p.	4	   2
2fo	[2], 167-171, [1], p.	8	   2
2fo	[2], 581-588 p.	10	   2
2fo	[2], 571-578 p.	10	   2
2fo	[2], 495-512 p.	20	   2
2fo	[2], 415-416 p.	4	   2
2fo	[2], 363-367, [1] p.	8	   2
2fo	[2], 283-292 p.	12	   2
8vo	[3], 13 p.	16	   2
2fo	[2], 3-7, [1] p.	8	   2
8vo	[16], 255, 260-406, [6] p., [12] leaves of plates	452	   2
NA	[8], 64 p.	72	   2
12mo	[4], 269, [1] p., [1] leaf of plates (folded)	276	   2
4to	[12], 36 p.	48	   2
8vo	[16], 629, [1] p.	646	   2
8vo	[4], 96, [2], 10 p.	102	   2
2fo	[20], 262, [4], 32 p.	286	   2
2fo	[22] p.	22	   2
4to	[8], 34 p.	42	   2
8vo	[8], 215, [1] p.	224	   2
8vo	[2], 12, [2] p.	16	   2
4to	[4], 42, [2] p.	48	   2
2fo	118, [2] p.	120	   2
4to	99, [1] p.	100	   2
2fo	[10], 554, [7], 558-812, [32] p.	861	   2
2fo	[10], 298, 297-1122, [44], 95 [i.e. 98], [2] p.	1178	   2
8vo	[4], 32, [2] p.	38	   2
4to	45, [1] p.	46	   2
8vo	[2], 10 p.	12	   2
8vo	122, [4] p.	126	   2
8vo	[6], 37, [3] p.	46	   2
4to	[2], 71, [1] p.	74	   2
2fo	13, [1] p.	14	   2
NA	1 sheet ([2] p.)1/2⁰.	2	   2
2fo	[1], 3 p.	4	   2
8vo	[8], 192 p.	200	   2
4to	115, [1] p.	116	   2
4to	7, [1]p.	8	   2
4to	[4], 55, [1] p.	60	   2
1to	1 sheet ([1] page)	2	   2
8vo	[8], 246, [2], 72 p.	256	   2
8vo	[48], 238 p.	286	   2
4to	[2], 86 p.	88	   2
2fo	22 p.	22	   2
4to	[6], 10 p.	16	   2
2fo	3 sheets ([3] p.)	6	   2
2fo	[4], 32 p.	36	   2
2fo	[2], 16, [2] p.	20	   2
2fo	1 sheet [(1) p.]	2	   2
2fo	73-75, [1] p.	4	   2
2fo	69-71, [1] p.	4	   2
8vo	[2], 30 p.	32	   2
12mo	[2], 112 p.	114	   2
12mo	[24], 236, [2] p.	262	   2
4to	[12], 35, [1] p.	48	   2
4to	[8], 116, [4] p.	128	   2
4to	[2], 42, [2] p.	46	   2
4to	[6], 28, 28-45, [2] p.	53	   2
12mo	15, [1] p.	16	   2
8vo	[6], 70, [2] p.	78	   2
8vo	[4], 11, [1] p.	16	   2
2fo	159-161, [1] p.	4	   2
2fo	[2], 59-64 p.	8	   2
8vo	54, [2] p.	56	   2
2fo	[2], 951-955, [1] p.	8	   2
8vo	[2], 27, [1] p.	30	   2
4to	[12], 323, [13] p.	348	   2
2fo	[2], 669-680, [2] p.	16	   2
2fo	p. [2], 561-566	8	   2
8vo	[2], 27, [3] p.	32	   2
2fo	p. [2], 415-424	12	   2
8vo	[14], 96 p.	110	   2
2fo	[4], 6, [2] p.	12	   2
2fo	20, 17-19, [1] p.	21	   2
2fo	p. 17-18, [2]	4	   2
8vo	[8], 200 p.	208	   2
8vo	[16], 74 p.	90	   2
2fo	[2], 12, [2] p.	16	   2
8vo	[4], 40 p.	44	   2
4to	[4], 37, [1] p.	42	   2
4to	[6], 32 p.	38	   2
4to	[2], 49, [1] p.	52	   2
4to	[8]	8	   2
4to	[10], 52, [2] p.	64	   2
4to	[2], 5-14 p.	12	   2
4to	[2], 55, [1] p.	58	   2
4to	1 [i.e. 8] p.	8	   2
2fo	30, [2] p., [2] folded leaves	32	   2
4to	21, [1] p.	22	   2
4to	[2], 59, [1] p.	62	   2
4to	[6], 18 p.	24	   2
2fo	[2], 153-158 p.	8	   2
4to	[2], 13, [1]	16	   2
2fo	p. [2], 135-146, [2]	16	   2
2fo	12, 4 p.	12	   2
4to	[7], 1 p.	8	   2
2fo	[2], 65-120, 123-130, [2] p.	134	   2
4to	[8], 8 p.	16	   2
4to	[12], 18, [2] p.	32	   2
8vo	[8], 120 p.	128	   2
4to	[4], 24, 23-150, 153-163, [1] p.	168	   2
2fo	[2], 31, [1] p.	34	   2
4to	[4], 77, [3] p.	84	   2
8vo	[16], 127, [1] p.	144	   2
4to	87, [1] p.	88	   2
4to	[2], 31, 33-34, [1] p.	37	   2
4to	[4], 96 p.	100	   2
4to	[4], 41, [1] p.	46	   2
4to	[2], 70, 73-80 p.	82	   2
8vo	[32], 237, [3] p., [1] leaf of plates	274	   2
8vo	[16], 127, 112-118, [2] p.	145	   2
12mo	[8], 208 p.	216	   2
4to	[2], 14, 17-28 p.	30	   2
4to	[2], 3 [i.e. 6] p.	8	   2
12mo	[6], 184, [2] p.	192	   2
8vo	[16], 200 p.	216	   2
8vo	[176] p.	176	   2
4to	[16], 136, 55, [1] p.	153	   2
8vo	[4], 75, [1] p.	80	   2
4to	[2], 5, [9] p.	16	   2
4to	[2], 14, [16] p.	32	   2
4to	[2], 15 [i.e. 14] p.	16	   2
4to	[4], 50, [2] p.	56	   2
4to	[18], 272, [6] p.	296	   2
4to	[6], 80, [2] p.	88	   2
4to	24 p., [1] folded leaf of plates	24	   2
8vo	[6], 48, 53-68, 65-128, 133-148, 145-232 p.	238	   2
4to	[2], 34, 41-48 p.	50	   2
4to	[6], 95, [1] p.	102	   2
4to	[2], 6, 9-12 p.	14	   2
4to	[24], 183, [1] p.	208	   2
8vo	[4], li, [1], 233, [7] p.	296	   2
8vo	[12], 148, 151-166 p.	178	   2
12mo	[12], 96 p.	108	   2
4to	[6], 17, [1] p.	24	   2
4to	[2], 15, 18-19, [1] p.	22	   2
4to	[8], 62 p.	70	   2
4to	[6], 38 p.	44	   2
4to	[10], 9, [1] p.	20	   2
2fo	[12], 209, [3] p., [10] leaves of plates (7 folded)	244	   2
4to	[8], 80 p., [2] leaves of plates	92	   2
12mo	[4], 96, 87-134, 145-214, [2] p.	220	   2
8vo	[4], 51, [1] p.	56	   2
8vo	[8], 120, 129-232 p.	240	   2
2fo	[20], 96, 99-103, p. 204, 107-108, 105-271, 270-292 p., [6] leaves of plates	324	   2
NA	[2], 62 p.	64	   2
8vo	[24], 374, [18] p.	416	   2
4to	[2], 23, [1] p., [1] leaf of plates	28	   2
4to	[2], 94, 85-99, [1] p.	102	   2
4to	[6], 72, [2], 24 p.	80	   2
4to	[16], 39, [9] p.	64	   2
8vo	[24], 216, [2] p., [1] folded leaf of plates	242	   2
8vo	[16], 150, *151-*152, 151 -182, [24] p.	222	   2
4to	73, [1] p.	74	   2
4to	[2], 104 p.	106	   2
4to	4, 8, 17-48 p.	48	   2
4to	[2], 5, [1]	8	   2
4to	[6], 20 p.	26	   2
4to	[8], 60 p.	68	   2
2fo	[2], 26 p.	28	   2
8vo	[10], clxiv p.	174	   2
8vo	[16], 109, [1] p.	126	   2
8vo	[2], 58 p.	60	   2
2fo	[20], 272, [20] p., [3] leaves of plates	318	   2
8vo	[2], 78, [2], 96 p.	100	   2
8vo	45, [1], 104 p.	105	   2
8vo	[68], 182, [2] p.	252	   2
8vo	[56], 232 p.	288	   2
1to	I sheet ([1] p.)	2	   2
8vo	[16], 411, [5] p.	432	   2
8vo	[8], 240 p.	248	   2
8vo	[16], 256 p.	272	   2
8vo	[8], 39, [1] p.	48	   2
8vo	[8], 312 p.	320	   2
8vo	[8], 86, [2] p.	96	   2
4to	[4], 50 p.	54	   2
2fo	[8], 336, [4], 122, [2] p., [7] leaves of plates	364	   2
8vo	[2], 24 p.	26	   2
8vo	[16], 515, [13] p.	544	   2
12mo	[12], 516, [16] p.	544	   2
4to	[6], 35, [1] p.	42	   2
8vo	[8], 230, [20] p., [1] leaf of plates	260	   2
4to	[8], 266, [12] p.	286	   2
4to	53, [1] p.	54	   2
4to	[2], 56, [2] p.	60	   2
4to	[16], 142, [2] p.	160	   2
2fo	[2], 20, [2] p.	24	   2
4to	[8], 138, [2] p.	148	   2
4to	[2], 5-7, [1] p.	6	   2
8vo	[8], 109, [17] p.	134	   2
2fo	[6], 7, [1], 434, 286, [36] p., [1] leaf of plates	479	   2
4to	[12], 163, [1] p.	176	   2
4to	[88] p.	88	   2
4to	[8], 56, [2] p.	66	   2
8vo	[2], 434 p.	436	   2
4to	[8], 43, [1] p.	52	   2
4to	[8], 391, [1] p.	400	   2
8vo	[8], 134, p. 205, 144-464 p.	472	   2
8vo	[8], 166 p.	174	   2
8vo	[16], 104 p.	120	   2
4to	3, 2-6 p.	6	   2
8vo	[2], 96, [2], 10 p.	100	   2
8vo	[6], 56, 59-123, [1] p.	130	   2
8vo	[2], 5-357, [59] p.	414	   2
8vo	[4], 71, [1] p.	76	   2
NA	31 p.	31	   2
4to	[2], 65, [1] p.	68	   2
4to	[4], 58, [2] p.	64	   2
8vo	[48], 576 p.	624	   2
12mo	[8], 184 p., [1] leaf of plates	194	   2
8vo	[40], 436 p., [6] leaves of plates	488	   2
8vo	[40], 436 p.	476	   2
4to	[2], 38, 41-48 p.	50	   2
4to	[2], 27 p.	29	   2
8vo	[10], 38 p.	48	   2
4to	[16], 44, 503, 604-700 [i.e. 510], [2] p.	622	   2
2fo	[2], 54, [4] p.	60	   2
2fo	[8], 387, [1] p., [1] leaf of plates	398	   2
4to	[8], 86 [i.e. 102] p.	110	   2
4to	1 broadside.	2	   2
4to	[4], 16, 25-75, [1] p.	80	   2
8vo	131, [1] p.	132	   2
12mo	[12], 371, [1] p.	384	   2
4to	[8], 95, [1] p.	104	   2
4to	56, 51-62 p.	62	   2
8vo	[26], 170, [6]; 256, [4]; 107, [5] p.	574	   2
12mo	[24], 175, 192-376 p.	400	   2
4to	[1], 15 p.	16	   2
4to	[2], 22 [i.e. 25], [1] p.	28	   2
4to	15 p.	15	   2
8vo	23 p.	23	   2
4to	10, [2] p.	12	   2
NA	22 p.	22	   2
4to	[6], 36 p.	42	   2
4to	37, [3] p.	40	   2
4to	17 p.	17	   2
4to	7 p.	7	   2
4to	[24], 142, [2] p.	168	   2
NA	48 p.	48	   2
4to	75, [1] p.	76	   2
12mo	204 p.	204	   2
12mo	143, [1] p.	144	   2
2fo	[2], 55, [1] p.	58	   2
8vo	[12], 103, [17], 121-205, [13], 219-339, [17], 357-403, [17], 421-487, [21], 509-628 p.	725	   2
4to	[12], 100 p.	112	   2
8vo	[32], 151, [1], 8, 17-32 p.	184	   2
12mo	137, [1], 319, [113], 30 p.	433	   2
12mo	132 p.	132	   2
4to	[6], 13, [1] p.	20	   2
4to	68 p.	68	   2
4to	84 p.	84	   2
8vo	[14], 576 p.	590	   2
4to	[10], 51, [1] p.	62	   2
4to	[2], iv, 23, [1] p.	30	   2
2fo	[6], 227, [1] p.	234	   2
2fo	40 p.	40	   2
4to	[10], 62 p.	72	   2
2fo	1 sheet.	2	   2
NA	[21] p.	21	   2
8vo	[10], 373, [1] p.	384	   2
4to	[4], 288, 23, [1] p.	293	   2
8vo	[16], 216 p.	232	   2
4to	23 p.	23	   2
8vo	[8], 128 p.	136	   2
2fo	[8], 263, [1] p.	272	   2
8vo	[8], 136, [8], 79, [1] p.	153	   2
4to	[12], 174 p.	186	   2
8vo	[62], 266, [14] p.	342	   2
2fo	[2], 28, [2] p.	32	   2
12mo	[4], 152 p.	156	   2
12mo	[24], 108, [20], 148 p.	192	   2
2fo	[2], 34, [8] p.	44	   2
4to	[48], 106, [2] p.	156	   2
4to	[12], 24 p.	36	   2
8vo	307, [1] p.	308	   2
2fo	[8], 262, [10], 263, [1] p.	282	   2
4to	[4], 8, 17-78, [2] p.	84	   2
2fo	[14], 580, [28] p.	622	   2
4to	[8], 187, [1] p.	196	   2
8vo	[8], vi [i.e. xvi], 192, 185-190 p.	216	   2
8vo	[28], 248, 43, [1] p.	277	   2
4to	[132] p.	132	   2
4to	[4], 88 p.	92	   2
4to	[20], 27, [1] p.	48	   2
8vo	[16], 144 p.	160	   2
8vo	[20], 225, [7], 369-680, 721-1051, [5] p.	1083	   2
4to	[8], 46, [4], 61, [3] p.	76	   2
8vo	[6], 146 p., [1] leaf of plates	154	   2
4to	[16], 103, [1] p.	120	   2
2fo	[12], 598, [24], 119, [1] p.	635	   2
8vo	[8], 76, [4] p.	88	   2
12mo	[8], 148 p.	156	   2
4to	[12], 34 p.	46	   2
12mo	[4], 209, [3] p., [4] leaves of plates	224	   2
2fo	[2], 15, [1] p.	18	   2
8vo	[4], 20 p.	24	   2
8vo	[8], 207, [1] p.	216	   2
4to	[2], 10, [4] p.	16	   2
8vo	[6], 229, [1] p.	236	   2
4to	[2], 44, [2] p.	48	   2
4to	56, 47-52, [2] p.	58	   2
8vo	25, 27-33, [4] p.	37	   2
12mo	[12], 192 p.	204	   2
2fo	[12], 797, [3] p.	812	   2
2fo	[6], 38 p.	44	   2
4to	[4], 34 p.	38	   2
2fo	[4], 107, [1], 113-150, [8] p., plate	165	   2
4to	[16], 60, [4] p.	80	   2
8vo	[32], 431, [1] p.	464	   2
8vo	[6], 16 p.	22	   2
8vo	[16], 317, [3] p.	336	   2
4to	[20], 76 p.	96	   2
2fo	[8], 639, [17] p.	664	   2
4to	[8], 151, [1] p.	160	   2
4to	8, 15-22, 15-34, [4] p.	38	   2
4to	[8], 42 p.	50	   2
12mo	192 p.	192	   2
4to	[4], 7-32 p.	30	   2
8vo	[6], 70 p.	76	   2
2fo	7 [i.e. 8] p.	8	   2
4to	[16], 111, [1] p.	128	   2
2fo	2 [i.e. 4] p.	4	   2
8vo	[46], 392, [14] p.	452	   2
4to	9, [3] p.	12	   2
8vo	[16], 214, [2] p.	232	   2
2fo	[6], 30 p.	36	   2
2fo	[4], 4 p.	8	   2
8vo	[6], 112 p.	118	   2
2fo	[2], 40 p.	42	   2
4to	[4], 29, [1]; [2], 78 p.	114	   2
12mo	[22], 119, [1] p.	142	   2
4to	144 p.	144	   2
4to	[8], 102, [2] p.	112	   2
4to	[10], 38 p.	48	   2
4to	[20], 116 p.	136	   2
4to	[4], 6 p.	10	   2
8vo	[24], 367, [1] p.	392	   2
2fo	[4], 10 p.	14	   2
4to	[8], 6, 24, [2] p.	34	   2
12mo	[12], 204 p.	216	   2
2fo	[2], 24 p.	26	   2
8vo	[16], 182, [2] p.	200	   2
4to	[30], 64 p.	94	   2
8vo	19, [1] p.	20	   2
2fo	46, [2] p.	48	   2
NA	[2], 6 p. ;4⁰.	8	   2
4to	[8], 148 p.	156	   2
8vo	357, [59] p.	416	   2
8vo	[16], 223, [1] p.	240	   2
12mo	[12], 127, [1] p.	140	   2
12mo	153, [1] p.	154	   2
4to	[6], 43, [1] p.	50	   2
2fo	[12], 625, [31] p., [1] leaf of plates	670	   2
4to	16, 15-28, [2] p.	30	   2
8vo	[12], 130 p.	142	   2
4to	[4], 103, [1] p.	108	   2
2fo	[22], 436, [16] p., [1] leaf of plates	476	   2
4to	[12], 32 p.	44	   2
8vo	[34], 670, [2] p., [1] leaf of plates	708	   2
4to	[6], 37, [1] p.	44	   2
2fo	[6], 636, [18] p., [1] leaf of plates	662	   2
4to	16, 15-18 p.	18	   2
8vo	[16], 64 p.	80	   2
8vo	[16], 112 p.	128	   2
8vo	[2], 19-176 p.	160	   2
4to	[4], 196, [6], 139, [3], 128, [4] p.	213	   2
8vo	[34], 195, [1], 193-316 p.	351	   2
4to	[8], 30, [2] p.	40	   2
4to	[2], 72 p.	74	   2
2fo	[18], 440 p.	458	   2
2fo	[36], 131, [9], 39, [5], 24 p.	181	   2
4to	[2], 46, [4] p.	52	   2
4to	[12], 22 p.	34	   2
8vo	152 p.	152	   2
12mo	203, [1] p.	204	   2
8vo	[16], 223, [1]; 85, [3] p.	328	   2
2fo	[4], 19, [1] p.	24	   2
4to	8, 7-10 p.	10	   2
4to	[4], 308, [56] p.	368	   2
2fo	[2]	2	   2
8vo	[4], 214, [18] p., [1] folded leaf	236	   2
4to	[2], 26, 25-60 p.	62	   2
8vo	[8], 549, [1] p.	558	   2
4to	[2], 88 p.	90	   2
4to	[8] p., [1] leaf of plates	10	   2
8vo	[8], 150 p.	158	   2
2fo	[6], 636, [18] p.	660	   2
4to	[2], 84 p.	86	   2
4to	94 p.	94	   2
8vo	[2], 21, [1], 84, [6], 97, [1], 42, 16, [2], 44, [2], 21, [3], 6, [6], 30 p., [1] leaf of plates	122	   2
12mo	[12], 228 p.	240	   2
8vo	[32], 405, [3] p.	440	   2
4to	[4], 140 p.	144	   2
4to	[2], 5-14, [2] p.	14	   2
12mo	[2], 130 p.	132	   2
2fo	[8], 22, 27-1019, [9] p., [11] leaves of plates (1 folded)	1058	   2
8vo	[8], 160 p.	168	   2
NA	[2], 26 p.	28	   2
4to	[4], 96, 87-109, [1] p.	114	   2
2fo	[8], 25, [1] p.	34	   2
2fo	[24], 80, 225-1070, 29, [145] p., [1] leaf of plates	1241	   2
8vo	[4], 43, [1] p.	48	   2
8vo	[12], 158, [4], 169, [1] p.	186	   2
4to	[8], 70, [2] p.	80	   2
2fo	[8], 143, [1], 83, [1], 58, 24, [44] p., [14] leaves of plates	225	   2
8vo	[16], 209, [89] p., [1] leaf of plates	316	   2
8vo	[24], 24, 27-264, [10] p.	298	   2
8vo	[8], 279, [1] p., [1] leaf of plates	290	   2
2fo	461-463, [1] p.	4	   2
12mo	[24], 142, [4], 31, [1] p., [2] leaves of plates	175	   2
4to	[8], 16, 25-38 p.	46	   2
4to	2 v., plates	6	   2
NA	5 v. ; 42-43 cm (2⁰)	43	   2
NA	4 v.	34.4	   2
12mo	1 v.	4	   2
8vo	8 v., plates	12	   2
8vo	15 v., plates	19	   2
2fo	v. :ill.	4	   2
8vo	5 v., plates	1605	   2
8vo	2 v., plates	636	   2
