original	gatherings	width	height	obl	Count
13 x 15 cm.	NA	NA	NA	NA	  1
30 x 22 cm.	NA	NA	NA	NA	  1
11 x 18 cm.	NA	NA	NA	NA	  1
(1/4⁰)	NA	NA	NA	NA	  1
20 cm (4⁰)	NA	NA	NA	NA	  1
17 cm (4⁰)	NA	NA	NA	NA	  1
1⁰	NA	NA	NA	NA	  1
2&#8304;.	NA	NA	NA	NA	  1
1/2 D0.	NA	NA	NA	NA	  1
obl.1/4⁰.	NA	NA	NA	NA	  1
obl 1⁰	NA	NA	NA	NA	  1
10 cm (12⁰)	NA	NA	NA	NA	  1
1/2	NA	NA	NA	NA	  1
34 cm (1/2⁰)	NA	NA	NA	NA	  1
31 cm. (2⁰)	NA	NA	NA	NA	  1
21 cm (8⁰)	NA	NA	NA	NA	  1
28 cm (2⁰)	NA	NA	NA	NA	  1
4⁰ (19-20 cm.).	NA	NA	NA	NA	  1
12.̥	NA	NA	NA	NA	  1
