original	polished	Count
Total count: 	45647	
eng	English	43885
fre	French	  789
lat	Latin	  751
ger	German	   85
dut	Dutch	   40
ita	Italian	   28
wel	Welsh	   21
mul	Multiple languages	   11
sco	Scots	    6
NA	NA	    6
spa	Spanish	    5
grc	Greek, Ancient (to 1453)	    5
frm	French, Middle (ca. 1300-1600)	    4
gre	Greek, Modern (1453-)	    3
ice	Icelandic	    2
alg	Algonquian (Other)	    1
arm	Armenian	    1
gla	Scottish Gaelic	    1
por	Portuguese	    1
roa	Romance (Other)	    1
new	Newari	    1
