tokens
-J.
...
(H.
(i.e.
(no.
(No.
(P.
(Pr.
(pret.
(R.
[A.
[B.
[C.
[E.
[F.
[f.
[G.
[H.
[I.
[i.e.
[J.
[M.
[N.
[No.
[P.
[R.
[S.
[s.n.
[sic].
[T.
[W.
&.
&c.
10s.
12th.
17th.
1s.
1st.
20th.
25s.
28th.
29th.
2d.
2s.
30th.
3d.
3s.
40s.
4d.
4s.
4th.
5s.
6d.
7th.
8d.
8th.
9d.
A.
a.
A.B.
A.C.
A.D.
A.G.
A.H.
A.L.
A.M.
A.N.
A.P.
A.R.
A.W.
A[bel].
A[bigail].
A[braham].
A[lexander].
A[lice].
A[llde].
A[lsop].
A[ndrew].
A[nn].
A[nne].
A[stwood].
A[ugustine].
A[wnsham].
Ab.
Abr.
Acad.
acad.
Adam.
aed.
Al.
Alex.
Alexr.
Amb.
An.
an.
And.
and.
Andr.
Ann.
ann.
Anno.
anno.
Ant.
Anth.
Ao.
ap.
Ar.
Arch.
Arn.
Aug.
August.
Augustins.
autoris.
B.
B.A.
B.B.
B.C.
B.F.
B.G.
B.H.
B.L.
B.M.
B.T.
B.W.
B[adger].
B[attersby].
B[eale].
B[ell].
B[enjamin].
B[ennet].
B[ernard].
B[ishop].
B[lagrave].
B[rabazon].
B[raddyll].
B[rent].
B[ruce].
B[rudenell].
B[rugis].
B[urton].
Bart.
Barth.
Ben.
Benj.
Benja.
Ber.
Bern.
bibl.
Bibliop.
bibliop.
Bibliopol.
bibliopol.
Bp.
Br.
Brab.
by.
C.
c.
C.B.
C.C.
C.D.
C.G.
C.H.
C.P.
C.R.
C.S.
C.W.
C[harles].
C[harlewood].
C[hilde].
C[lark].
C[larke].
C[oles].
C[ollins].
C[otes].
C[ottrell].
C[reede].
C[rouch].
C[urtis].
Cantab.
Cantabr.
Capt.
Car.
Ch.
Cha.
Char.
Chas.
chez.
Chr.
Christ.
Christoph.
Cl.
Co.
co.
Comp.
comp.
Cor.
Corn.
D.
d.
D.C.
D.I.
D.M.
d'A.
D[aniel].
D[arby].
D[avid].
D[awks].
D[awson].
D[exter].
D[orman].
D[owning].
Da.
Dan.
DC.
Dec.
Decemb.
dict.
Do.
Dod.
dols.
Dom.
Domini.
domini.
doz.
Dr.
E.
e.
E.A.
E.B.
E.C.
E.E.
E.F.
E.G.
E.H.
E.J.
E.M.
E.P.
E.R.
E.S.
E.T.
E.W.
E[dward].
E[dwards].
E[ld].
E[liz.].
E[lizabeth].
E[llen].
E[van].
E[veringham].
Eben.
Ed.
êd.
Edinr.
Edm.
Edv.
Edvv.
Edw.
Edwd.
El.
Eliz.
Em.
Eman.
Emm.
Esq.
Esqrs.
Esqs.
excud.
excus.
F.
f.
F.A.
F.B.
F.C.
F.G.
F.K.
F.L.
F.N.
F.S.
F[awcet].
F[elix].
F[ield].
F[lesher].
F[rancis].
F[reeman].
Feb.
Febr.
Feby.
Ferd.
Fil.
fils.
Fils.
for.
Fr.
Fr[ancis].
Fra.
Fran.
Franc.
Frid.
G.
G.A.
G.B.
G.C.
G.D.
G.F.
G.G.
G.G.J.
G.H.
G.J.
G.L.
G.M.
G.P.
G.R.
G.S.
G.W.
G[abriel].
G[artrude].
G[eorge].
G[iles].
G[odbid].
G[reen].
G[regory].
G[riffin].
G[rismond].
G[rove].
G[rover].
Galf.
Gent.
Geo.
Geor.
Georg.
Gil.
Gio.
Gottl.
gov.
Gt.
Gualt.
Guil.
Gul.
Gulielm.
H.
H.B.
H.C.
H.D.
H.H.
H.L.
H.M.
H.N.
H.P.
H.R.
H.S.
H.W.
H[all].
H[aly].
H[annah].
H[arper].
H[arris].
H[aviland].
H[ayes].
H[enry].
H[eptinstall].
H[erringman].
H[ills].
H[odgkin].
H[odgkinson].
H[olt].
H[orton].
H[ugh].
H[umphrey].
H[unt].
Hen.
Henr.
Hon.
Hrn.
Hu.
Hum.
I.
I.B.
I.C.
I.D.
i.e.
I.F.
I.G.
I.H.
I.L.
I.M.
I.N.
I.O.
I.P.
I.R.
I.W.
I[aggard].
I[ames].
I[ane].
I[bbitson].
I[ohn].
I[onah].
I[ones].
I[saac].
I[slip].
Ia.
Ian.
II.
III.
imp.
Imp.
impres.
impress.
Impress.
Io.
Ioan.
Ioh.
Iohan.
Ios.
Is.
J.
J.A.
J.B.
J.C.
J.D.
J.E.
J.F.
J.G.
J.G.A.
J.H.
J.J.
J.K.
J.L.
J.M.
J.N.
J.O.
J.P.
J.R.
J.S.
J.T.
J.V.
J.W.
J.Y.
J[acob].
J[ames].
J[ohn].
J[ohnson].
J[onah].
J[onathan].
J[ones].
J[oseph].
J[oshua].
J[osiah].
Ja.
Jac.
Jacob.
Jam.
Jan.
Jany.
Jas.
Jer.
Jn.
Jno.
Jo.
Joan.
Joann.
Job.
Joh.
Johan.
Jon.
Jonath.
Jos.
Josh.
Jr.
Ju.
jun.
Jun.
Jun'r.
Junr.
junr.
K.
K[ingston].
Kath.
L.
L.B.
L.C.
L.J.
L.L.
L.N.
L.W.
L[angley].
L[each].
L[eake].
L[ee].
L[egat].
L[egate].
L[eonard].
L[eybourne].
L[ichfield].
L[ing].
L[loyd].
L[ownes].
L[uke].
Lach.
Legat.
Leo.
Leon.
Lib.
lieut.
LL.
Lond.
Londin.
Londini.
Londn.
M.
M.B.
M.C.
M.D.
M.D.L.
M.F.
M.G.
M.H.
M.I.
M.J.
M.K.
M.L.
M.M.
M.P.
M.R.
M.S.
M.W.
M[abb].
M[acock].
M[argaret].
M[armaduke].
M[ary].
M[athewes].
M[atthew].
M[axey].
M[axwell].
M[eighen].
M[ercy].
M[ichael].
M[ilbourn].
M[iles].
M[iller].
M[illet].
M[oses].
M[ottershed].
Maiest.
Majest.
Margt.
Mat.
Math.
Matt.
Matth.
May.
Mc.
Melch.
Mes.
Mess.
Messers.
Messrs.
Mich.
Mil.
MM.
Mr.
Mris.
Mrs.
N.
n.
N.A.
N.B.
N.E.
N.H.
N.L.
N.O.
N.R.
N.T.
N[athaniel].
N[eile].
N[ewcomb].
N[icholas].
N[orton].
Nat.
Nath.
Nic.
Nich.
No.
no.
NO.
nos.
Nov.
Novemb.
Novr.
Nro.
Num.
Numb.
numb.
O.
O.P.
O[kes].
O[nley].
O[ulton].
Oct.
Octob.
Octr.
off.
Oli.
Oxon.
P.
P.A.
P.B.
P.E.
P.F.
P.L.
P.S.
P[aine].
P[arsons].
P[eter].
P[hilip].
P[ierce].
P[layford].
P[owell].
P[urfoot].
P[urslowe].
Pat.
Pauli.
Pauls.
Pet.
Ph.
Phil.
pr.
Pr.
Printed.
privilegio.
Pubd.
pubd.
R.
r.
R.A.
R.B.
R.C.
R.D.
R.E.
R.F.
R.G.
R.H.
R.I.
R.J.
R.L.
R.L.S.
R.M.
R.N.
R.O.
R.P.
R.R.
R.S.
R.T.
R.V.
R.VV.
R.W.
R.Y.
R[alph].
R[atcliffe].
R[awlins].
R[aworth].
R[edmayne].
R[ichard].
R[obert].
R[oberts].
R[obinson].
R[oger].
R[oycroft].
R[uth].
Ra.
Rand.
Reg.
Rev.
Ri.
Ric.
Rich.
Richd.
Ro.
Rob.
Robt.
Rog.
Rt.
S.
s.
S.A.
S.B.
S.C.
S.D.
S.G.
S.H.
S.I.
S.J.
S.M.
s.n.
S.R.
S.S.
S.T.
S.W.
S[amuel].
S[arah].
S[hort].
S[immes].
S[immons].
S[mith].
S[nodham].
S[nowden].
S[peed].
S[tansby].
S[tephen].
S[treater].
S[usan].
Sa.
Sam.
Saml.
Sar.
sel.
sen.
Sen.
senr.
Senr.
Sept.
Septemb.
sereniss.
Seres.
servt.
Sil.
So.
Soc.
Sol.
solum.
Sr.
St.
ST.
st.
Steph.
Sti.
sumpt.
Syl.
T.
