doc.dimension,mean.pages.singlevol,median.pages.singlevol,n.singlevol
2fo,NA,NA,14049
4long,NA,NA,3
4to,505.333333333333,346,41198
8long,NA,NA,32
8vo,341,385,116881
12long,226,226,141
12mo,478,478,50816
16long,NA,NA,1
16mo,NA,NA,1765
18mo,NA,NA,1661
24long,NA,NA,76
24mo,NA,NA,1326
32mo,NA,NA,684
48mo,NA,NA,18
64mo,NA,NA,105
NA,NA,NA,3550
