gatherings	physical_extent	estimated_pagecount	Count
4to	11,[1]p.	390	1
8vo	[4],192,[8]p.	1407	1
8vo	xiv,[2],238,[2]p.,table	96	1
2fo	[4],48p.	184	1
18mo	[20],50,[2]p.	118	1
12mo	viii,[4],180,[4]p.	1312	1
8vo	3[i.e.2]p.	96	1
8vo	1 sheet	365	1
8vo	xii,258p.	766	1
4to	119,[1]p.	NA	1
12mo	xxiv,[2],25-484p.,plates	330	1
4to	24 p.	1536	1
2fo	[8],152,177-264,289-372,375-410,417-464p.,plates	184	1
8vo	19,[1]p.	96	1
12mo	[7],33p.	1134	1
4to	264p.,plates	2245	1
8vo	[4],204p.	720	1
8vo	[16],24,216,219-222,[2]p.	729	1
8vo	[8],78,[2]p.	96	1
4to	[16],461[i.e.463],[49]p.,plate	NA	1
18mo	2v.	118	1
8vo	[4],162p.	1080	1
8vo	8p.	738	1
4to	12p.	741	1
8vo	133,[1]p.	360	1
2fo	100,[4]p.	887	1
8vo	[2],46p.	899	1
4to	[4]p.	795	1
4to	1 sheet	NA	1
12mo	3v.	142	1
4to	22, [2] p.	100	1
8vo	22p.	461	1
12mo	[44],223,[1],56,55-60,[6]p.	267	1
12mo	4v.,plate	100	1
8vo	xxi,[1],94p.	96	1
4to	[2],32p.	576	1
4to	32p.	768	1
12mo	34p.	994	1
2fo	1 sheet	179	1
2fo	1 sheet	523	1
4to	xii,[266]p.	405	1
8vo	71,[1]p.	96	1
4to	34p.	820	1
2fo	96p.	910	1
12mo	vii,[1],92p.	943	1
8vo	[2],xxiii,[1],369[i.e.335],[3]p.	360	1
2fo	8p.	100	1
2fo	2v.	1387	1
2fo	20p.	100	1
4to	62,[2]p.	NA	1
8vo	1 sheet	900	1
8vo	vi,[2],214,[2]p.	96	1
NA	[10],104p.	469	1
4to	29,[1]p.	503	1
12mo	32p.,plate	330	1
8vo	30p.	2479	1
2fo	ix,[1],297,[5]p.	693	1
4to	1 sheet	2204	1
12mo	1 sheet	100	1
2fo	1 sheet	981	1
4to	72p.	NA	1
12mo	113,[1]p.,plate	1039	1
2fo	[4],23,[1]p.	1091	1
12mo	[4],20,[4]p.	114	1
4to	[4],36p.	384	1
8vo	64,67-114p.	96	1
8vo	[4],43,[1]p.	NA	1
8vo	2v.,plates	96	1
2fo	52p.	2151	1
2fo	4p.	1688	1
12mo	8p.	660	1
4to	2,[2]p.	2035	1
8vo	[78]p.	602	1
8vo	viii,192p.	326	1
8vo	[4],60p.,table	NA	1
12mo	[4],131,[1]p.,table	NA	1
12mo	8p.	251	1
2fo	[6],126,[28],8,[2],59,[3]p.	686	1
2fo	[4],156p.	100	1
24long	[4],138p.	1025	1
8vo	68p.	478	1
2fo	vii,[1],58p.	2619	1
2fo	22,[2]p.	639	1
2fo	245,[1]p., plate	100	1
8vo	[6],iv,29,[3]p.	36	1
4to	[12],335,[1]p.	384	1
8vo	[2],v-70p.	360	1
8vo	xxviii,176p.	96	1
8vo	6p.	96	1
4to	1 sheet	384	1
8vo	19,[1]p.	1211	1
8vo	[2]p.	360	1
4to	[2],34p.	100	1
8vo	15,[1]p.	512	1
2fo	[4],268p.	100	1
4to	6p.	100	1
4to	[4],vii,[1],209,[3], VI plates	100	1
8vo	2v.	653	1
8vo	2 v.(iv, 355, [1]; [5], 482-866, [6] p.)	96	1
8vo	199,[1]p.,plate	96	1
2fo	36p.	184	1
2fo	[2],5-11,[1]p.	922	1
8vo	3v.	1394	1
8vo	204p.	NA	1
NA	[2],xi,[1],2,336p.,plate	NA	1
12mo	3v.,plates	100	1
