original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
obl.1/12⁰.	12mo	NA	NA	 TRUE	12mo	19.0	12.5	 1	 237.50	   2
16⁰ in 8's.	16mo	NA	NA	FALSE	16mo	12.0	15.0	 0	 180.00	   2
1/2.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   2
long 12⁰	12long	NA	NA	FALSE	12long	13.0	20.0	 0	 260.00	   2
octavo [fewer than 50 pages]	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   2
23 cm.	NA	NA	23.0	FALSE	4to	18.0	23.0	 0	 414.00	   2
31 x 20 cm.	NA	20	31.0	FALSE	NA	20.0	31.0	NA	 620.00	   2
1/4⁰	4to	NA	NA	FALSE	4to	22.0	28.0	 0	 616.00	   2
obl. 8⁰.	8vo	NA	NA	 TRUE	8vo	19.0	13.0	 1	 247.00	   2
43 cm (2⁰)	2fo	NA	43.0	FALSE	2fo	28.0	43.0	 0	1204.00	   2
29 x 20 cm.	NA	20	29.0	FALSE	NA	20.0	29.0	NA	 580.00	   2
8⁰ (20 cm.).	8vo	NA	20.0	FALSE	8vo	13.0	20.0	 0	 260.00	   2
8.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   2
32 x 18 cm.	NA	18	32.0	FALSE	2fo	18.0	32.0	 0	 576.00	   2
21 cm. (8⁰)	8vo	NA	21.0	FALSE	8vo	14.0	21.0	 0	 294.00	   2
34 cm (1/2⁰)	2fo	NA	34.0	FALSE	2fo	22.0	34.0	 0	 748.00	   2
42 x 33 cm.	NA	33	42.0	FALSE	1to	33.0	42.0	 0	1386.00	   2
obl.24⁰.	24mo	NA	NA	 TRUE	24mo	12.5	 8.5	 1	 106.25	   2
39 x 31 cm.	NA	31	39.0	FALSE	2fo	31.0	39.0	 0	1209.00	   1
20-21 cm. (8⁰)	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   1
43 x 31 cm.	NA	31	43.0	FALSE	1to	31.0	43.0	 0	1333.00	   1
53 x 44 cm.	NA	44	53.0	FALSE	1to	44.0	53.0	 0	2332.00	   1
31 x 24 cm.	NA	24	31.0	FALSE	NA	24.0	31.0	NA	 744.00	   1
1/2⁰ (34 x 20 cm)	2fo	20	34.0	FALSE	2fo	20.0	34.0	 0	 680.00	   1
21 x 15 cm.	NA	15	21.0	FALSE	NA	15.0	21.0	NA	 315.00	   1
27 x 21 cm.	NA	21	27.0	FALSE	4to	21.0	27.0	 0	 567.00	   1
8⁹.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	   1
2₀	NA	NA	NA	FALSE	NA	NA	NA	 0	NA	   1
1 /2⁰.	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	   1
21 x 11 cm.	NA	11	21.0	FALSE	NA	11.0	21.0	NA	 231.00	   1
obl. 4⁰.	4to	NA	NA	 TRUE	4to	28.0	22.0	 1	 616.00	   1
46 x 17 cm.	NA	17	46.0	FALSE	NA	17.0	46.0	NA	 782.00	   1
64 x 44 cm.	NA	44	64.0	FALSE	1to	44.0	64.0	 0	2816.00	   1
43 x 25 cm.	NA	25	43.0	FALSE	2fo	25.0	43.0	 0	1075.00	   1
