"metadata_ESTCID,""Freq"",""TotalLength"""
"N000829,""2"",""73033"""
"T109329,""2"",""7404"""
"T134195,""2"",""10055"""
"T045723,""6"",""36959"""
"T144855,""2"",""171558"""
"T177178,""2"",""30199"""
"T147520,""2"",""7401"""
"T018833,""4"",""21878"""
"T120849,""4"",""87477"""
"T146632,""2"",""11373"""
"T049607,""2"",""21559"""
"T135436,""4"",""93813"""
"T143846,""2"",""16751"""
"T122204,""2"",""10577"""
"T110699,""2"",""5322"""
"P003137,""2"",""118509"""
"W031739,""2"",""29508"""
"T134469,""2"",""88481"""
"T034687,""2"",""17512"""
"T150279,""2"",""29165"""
"T178800,""2"",""167933"""
"T143995,""2"",""92705"""
"T080385,""2"",""42777"""
"N011409,""2"",""17854"""
"T213455,""2"",""169805"""
"T145739,""4"",""116701"""
"T137107,""4"",""66738"""
"T044627,""4"",""36452"""
"T110031,""4"",""7421"""
"T035201,""2"",""65763"""
"T058117,""4"",""22828"""
"T138902,""2"",""30243"""
"T061607,""2"",""10660"""
"T046800,""2"",""10548"""
"T143104,""2"",""182185"""
"T199206,""2"",""484"""
"T145739,""4"",""117292"""
"T070110,""2"",""274022"""
"T081899,""4"",""5377"""
"N000137,""2"",""20927"""
"T061859,""2"",""73795"""
"N014717,""2"",""11613"""
"T082477,""2"",""122436"""
"T005295,""2"",""10882"""
"T046819,""4"",""5643"""
"T145739,""4"",""116607"""
"T109392,""4"",""92605"""
"T147414,""2"",""274539"""
"N017965,""2"",""24594"""
"T101200,""2"",""1051566"""
"T180965,""2"",""12389"""
"T147414,""2"",""264118"""
"T135246,""2"",""36464"""
"T113579,""2"",""307528"""
"T114572,""2"",""77115"""
"T135737,""8"",""117941"""
"T188569,""2"",""93648"""
"W032281,""2"",""16793"""
"T140011,""2"",""52504"""
"T109311,""2"",""31983"""
"P002032,""2"",""53465"""
"T149453,""4"",""36092"""
"P002028,""2"",""286153"""
"T005309,""2"",""34466"""
"T095115,""2"",""107409"""
"N021421,""4"",""29909"""
"T146110,""4"",""65723"""
"T113413,""2"",""689486"""
"N009675,""2"",""11330"""
"T110695,""2"",""184339"""
"T089094,""2"",""67404"""
"T101010,""6"",""67808"""
"T135014,""8"",""92560"""
"T089314,""14"",""68783"""
"T138361,""2"",""121820"""
"T082473,""6"",""121412"""
"T135437,""4"",""94182"""
"T118934,""2"",""22130"""
"T135596,""4"",""118447"""
"T135028,""8"",""122370"""
"T048431,""4"",""82022"""
"T110437,""2"",""69015"""
"T096147,""4"",""177802"""
"T138966,""6"",""169292"""
"T138428,""2"",""262484"""
"T072056,""2"",""47972"""
"T151984,""2"",""118380"""
"T144899,""2"",""264028"""
"T144463,""2"",""10662"""
"T144225,""2"",""262326"""
"T037700,""8"",""124028"""
"T135596,""14"",""127100"""
"T112615,""4"",""177780"""
"T092935,""2"",""17482"""
"T090186,""2"",""1081521"""
"T055321,""8"",""116848"""
"T146102,""8"",""66321"""
"T116228,""4"",""29219"""
"T133188,""4"",""65604"""
"T116228,""4"",""42082"""
"T148073,""4"",""86230"""
"T137514,""16"",""1135757"""
"T088108,""4"",""466186"""
"N011417,""2"",""22177"""
"T151984,""2"",""69968"""
"T143265,""2"",""67801"""
"T137266,""4"",""72909"""
"T122584,""2"",""196397"""
"T165416,""2"",""17555"""
"T133813,""4"",""147219"""
"N011308,""2"",""30298"""
"N033437,""6"",""205682"""
"T116228,""4"",""42035"""
"T138208,""2"",""117118"""
"T163485,""4"",""116705"""
"T127958,""2"",""22317"""
"T082475,""6"",""178816"""
"T138163,""2"",""87092"""
"T031705,""2"",""20979"""
"T143880,""8"",""66737"""
"T145377,""2"",""66908"""
"T106800,""6"",""65819"""
"T089046,""2"",""188797"""
"T070851,""2"",""92340"""
"T065099,""2"",""73296"""
"T124114,""10"",""1067455"""
"T055315,""8"",""167866"""
"T082467,""2"",""168576"""
"T090794,""2"",""169931"""
"T101006,""2"",""69031"""
"T036370,""4"",""96654"""
"T071403,""2"",""43725"""
"T151984,""2"",""90429"""
"T145000,""2"",""60156"""
"T135596,""4"",""116611"""
"T036369,""2"",""87670"""
"T131242,""4"",""66075"""
"T140532,""2"",""65668"""
"T038157,""2"",""22207"""
"T034503,""2"",""85745"""
"T081944,""4"",""123693"""
"T137522,""8"",""125353"""
"T107127,""6"",""86400"""
"T132809,""4"",""1096095"""
"T110864,""4"",""68433"""
"T110454,""2"",""469151"""
"N019849,""2"",""121707"""
"T055302,""6"",""42040"""
"T082466,""4"",""186260"""
"T084888,""2"",""7297"""
"T114591,""2"",""16680"""
"T083681,""2"",""128564"""
"T025316,""2"",""168559"""
"T146458,""2"",""85678"""
"T091241,""2"",""120812"""
"T116228,""2"",""42054"""
"T087914,""2"",""184922"""
"T055317,""4"",""167856"""
"T055315,""2"",""127734"""
"T200749,""2"",""66331"""
"T045492,""2"",""66790"""
"T167548,""8"",""67406"""
"N008931,""4"",""138894"""
"W031339,""2"",""68787"""
"T121767,""2"",""70959"""
"T086586,""2"",""7337"""
"T140787,""2"",""197118"""
"T058716,""22"",""364934"""
"T138965,""8"",""167925"""
"T144689,""6"",""355112"""
"W020561,""4"",""29231"""
"T063903,""8"",""124093"""
"T055769,""2"",""123917"""
"T135572,""4"",""68731"""
"T146108,""4"",""85721"""
"T079968,""2"",""58328"""
"T106229,""4"",""118827"""
"T116228,""4"",""45603"""
"T055317,""6"",""116848"""
"T053946,""2"",""298052"""
"T071933,""2"",""271195"""
"T083506,""2"",""267299"""
"T036187,""2"",""87977"""
"T143262,""4"",""119555"""
"T071204,""6"",""72140"""
"T138965,""2"",""167925"""
"T139234,""2"",""16700"""
"T139203,""2"",""40462"""
"T091253,""2"",""4485"""
"T110422,""8"",""77282"""
"T132548,""2"",""197217"""
"T116228,""2"",""42084"""
"T077915,""8"",""31749"""
"T146104,""2"",""67430"""
"T146094,""4"",""96157"""
"N008549,""2"",""42033"""
"T117422,""10"",""124251"""
"T123299,""2"",""70325"""
"T113948,""4"",""168580"""
"T087914,""2"",""167899"""
"T082473,""2"",""138466"""
"T114343,""2"",""185220"""
"T194857,""4"",""170570"""
"T137522,""6"",""127641"""
"T121271,""2"",""23481"""
"T059906,""2"",""69590"""
"T027645,""8"",""107401"""
"T169040,""2"",""42697"""
"T145482,""2"",""31376"""
"T068758,""2"",""53801"""
"T068767,""2"",""173414"""
"N008404,""14"",""697371"""
"T100109,""2"",""66809"""
"T089825,""12"",""123966"""
"T146705,""2"",""16424"""
"T138102,""16"",""279307"""
"T098662,""2"",""43364"""
"T160979,""6"",""173015"""
"T036370,""2"",""138473"""
"T082469,""4"",""202876"""
"T040956,""4"",""134027"""
"T146104,""6"",""66065"""
"N030899,""2"",""171388"""
"T138966,""4"",""169292"""
"T036373,""6"",""117287"""
"T068979,""2"",""197318"""
"T146026,""2"",""85636"""
"T038481,""2"",""43294"""
"T141201,""240"",""493281"""
"T055322,""4"",""116632"""
"T144217,""4"",""262351"""
"T107370,""2"",""67651"""
"T089920,""2"",""86127"""
"T078954,""2"",""84752"""
"N008499,""4"",""117259"""
"T079698,""2"",""90042"""
"T068986,""2"",""381142"""
"T089239,""2"",""2637"""
"T145856,""6"",""34389"""
"T139683,""2"",""172055"""
"T127952,""4"",""20389"""
"T061757,""2"",""94362"""
"T094802,""2"",""86081"""
"N033357,""12"",""89778"""
"T137332,""10"",""517726"""
"T036369,""4"",""203665"""
"T146832,""2"",""63859"""
"N014922,""2"",""85678"""
"T115227,""14"",""35289"""
"T150272,""6"",""109987"""
"T145183,""6"",""483025"""
"T139562,""2"",""68802"""
"T082476,""2"",""90279"""
"T146111,""2"",""65610"""
"T116228,""4"",""42035"""
"T114278,""2"",""116152"""
"T053594,""4"",""117251"""
"T131579,""4"",""1090956"""
"T117715,""2"",""85709"""
"T055321,""2"",""127625"""
"T146090,""2"",""70959"""
"T055302,""2"",""116619"""
"T102020,""4"",""38774"""
"T117715,""2"",""85690"""
"T106563,""8"",""66417"""
"T079078,""2"",""498011"""
"T097072,""2"",""478082"""
"T126086,""2"",""42103"""
"T127954,""2"",""30932"""
"T116228,""4"",""42054"""
"T114555,""4"",""173460"""
"T126046,""8"",""168264"""
"T087890,""4"",""108022"""
"T082473,""4"",""172124"""
"T160982,""4"",""178853"""
"T160978,""10"",""184289"""
"T116228,""4"",""42083"""
"T090581,""10"",""24296"""
"T113685,""2"",""77737"""
"N008500,""4"",""122409"""
"T111542,""2"",""509419"""
"T071143,""4"",""93995"""
"T114414,""2"",""43334"""
"T134557,""2"",""16545"""
"T096428,""2"",""18942"""
"T111602,""2"",""11999"""
"T063893,""2"",""123854"""
"T098162,""2"",""29949"""
"T080757,""2"",""46446"""
"T112261,""2"",""10693"""
"T076342,""2"",""42982"""
"T039874,""2"",""66777"""
"T070501,""4"",""4106"""
"T138885,""4"",""172019"""
"T146281,""2"",""33716"""
"N001671,""2"",""26879"""
"T223275,""2"",""25271"""
"T138158,""2"",""531765"""
"T060417,""6"",""177840"""
"T005796,""2"",""34339"""
"T036345,""2"",""178177"""
"N012778,""2"",""16929"""
"T033845,""2"",""74945"""
"T146097,""2"",""115323"""
"T061455,""6"",""5365"""
"N013975,""4"",""13770"""
"N018164,""2"",""73198"""
"P003085,""2"",""86410"""
"T113105,""2"",""24314"""
"N015608,""2"",""2637"""
"T050226,""2"",""7518"""
"T099700,""2"",""45891"""
"N000448,""2"",""126897"""
"T064409,""2"",""5621"""
"T223278,""4"",""33445"""
"T018768,""2"",""9323"""
"T126263,""8"",""96658"""
"T149622,""4"",""170026"""
"T078605,""8"",""67126"""
"T107370,""6"",""65801"""
"T135546,""84"",""1119922"""
"T138966,""6"",""169775"""
"T082472,""4"",""122404"""
"T136377,""2"",""126076"""
"T138215,""14"",""1114331"""
"T087543,""2"",""21055"""
"T145446,""2"",""118075"""
"T117715,""2"",""72909"""
"T110453,""6"",""1068297"""
"T087776,""2"",""29463"""
"T085674,""2"",""132236"""
"T202828,""4"",""1101757"""
"T140789,""10"",""736805"""
"T095447,""2"",""86926"""
"T137515,""602"",""845058"""
"T055322,""6"",""116848"""
"T089919,""2"",""85958"""
"T121703,""4"",""167883"""
"T082071,""2"",""42054"""
"T139227,""2"",""173787"""
"T036370,""2"",""119878"""
"T146112,""10"",""85698"""
"T146750,""6"",""282257"""
"T089478,""2"",""121751"""
"N015458,""2"",""4498"""
"T099478,""2"",""122010"""
"W020115,""2"",""127134"""
"T106930,""2"",""10922"""
"T139974,""2"",""509512"""
"N015009,""6"",""7577"""
"W042494,""22"",""98843"""
"T145502,""16"",""697361"""
"T138215,""6"",""713298"""
"T128567,""2"",""7836"""
"T052807,""2"",""15208"""
"T030007,""4"",""17891"""
"T143097,""4"",""1369823"""
"T057548,""10"",""173450"""
"T013203,""6"",""92391"""
"T195034,""2"",""167984"""
"T005547,""2"",""52742"""
"N014880,""2"",""7447"""
"T213420,""2"",""270301"""
"T132960,""2"",""472842"""
"T214053,""6"",""262922"""
"T185824,""22"",""17948"""
"T021609,""8"",""29666"""
"T085826,""2"",""78087"""
"T128573,""8"",""118392"""
"T028702,""2"",""82929"""
"T011070,""8"",""127732"""
"T054076,""10"",""42475"""
"T009569,""18"",""46250"""
"T003188,""4"",""118406"""
"T030186,""14"",""66267"""
"T134353,""4"",""6727"""
"T128305,""2"",""22626"""
"P002165,""2"",""42596"""
"T012719,""18"",""123251"""
"T127537,""6"",""44831"""
"T003193,""8"",""87432"""
"T083804,""8"",""65890"""
"T011909,""10"",""107833"""
"T094803,""2"",""117636"""
"T145503,""20"",""697342"""
"T068624,""8"",""42627"""
"T213341,""6"",""277055"""
"T013047,""4"",""29659"""
"T011420,""4"",""71902"""
"T055635,""20"",""172692"""
"T128306,""2"",""42575"""
"T012055,""4"",""10513"""
"T110766,""4"",""34339"""
"T089356,""2"",""58402"""
"T039854,""4"",""54825"""
"T131978,""4"",""123805"""
"T100086,""2"",""679414"""
"T117065,""2"",""127116"""
"T082475,""2"",""122635"""
"T082472,""2"",""138473"""
"T082468,""6"",""90413"""
"T012289,""8"",""134164"""
"N014899,""2"",""1040"""
"T013257,""8"",""48848"""
"T121895,""2"",""10501"""
"T003191,""14"",""26034"""
"T079696,""2"",""36671"""
"T057827,""6"",""93251"""
"T028816,""6"",""67833"""
"T013049,""2"",""4400"""
"T030154,""6"",""97327"""
"T030176,""6"",""21675"""
"T138314,""2"",""66636"""
"T144244,""2"",""7291"""
"T079697,""2"",""153900"""
"T138966,""8"",""169292"""
"T095404,""4"",""293340"""
"T036378,""2"",""71913"""
"T146457,""4"",""186129"""
"T154466,""8"",""262340"""
"T111487,""4"",""279298"""
"T139721,""2"",""71402"""
"T085928,""2"",""168774"""
"T144688,""4"",""355093"""
"T135745,""6"",""441628"""
"T146723,""2"",""29191"""
"T116228,""4"",""29238"""
"T069144,""50"",""470641"""
"T055302,""6"",""116619"""
"T107371,""6"",""85884"""
"T200696,""2"",""211299"""
"T036370,""2"",""122639"""
"T123803,""2"",""66438"""
"N008500,""4"",""96646"""
"T143315,""2"",""66643"""
"T074297,""6"",""135075"""
"T068756,""2"",""8609"""
"N008500,""2"",""121351"""
"T040547,""8"",""66420"""
"T132240,""8"",""93753"""
"T143096,""2"",""1048955"""
"W020479,""4"",""5433"""
"T145358,""6"",""1216771"""
"T032698,""2"",""116851"""
"T045791,""4"",""29155"""
"T021573,""2"",""66384"""
"T143096,""6"",""364235"""
"T076875,""6"",""21858"""
"T011395,""14"",""91017"""
"T145358,""8"",""671523"""
"T009571,""12"",""103084"""
"T084057,""4"",""5932"""
"N015230,""10"",""42219"""
"T030078,""14"",""21880"""
"T013087,""2"",""16488"""
"T030269,""26"",""123678"""
"T118252,""4"",""87127"""
"T009138,""10"",""43337"""
"T197983,""6"",""65596"""
"T131834,""4"",""354789"""
"T062490,""4"",""29936"""
"T012416,""38"",""67170"""
"T013077,""40"",""116867"""
"T009572,""8"",""82647"""
"T076330,""30"",""121621"""
"T088108,""8"",""466186"""
"T146095,""6"",""97200"""
"N010938,""2"",""7434"""
"N008549,""2"",""42028"""
"T145033,""2"",""193378"""
"T151984,""6"",""73153"""
"T079694,""4"",""30556"""
"T146849,""2"",""77151"""
"N033540,""2"",""353061"""
"T199797,""4"",""116639"""
"T143285,""16"",""119868"""
"T167543,""2"",""179073"""
"T147355,""2"",""95190"""
"T126073,""8"",""173407"""
"T145605,""2"",""65579"""
"T100897,""2"",""42401"""
"T055308,""6"",""115055"""
"T036544,""2"",""621097"""
"T116228,""4"",""42054"""
"T126079,""4"",""66539"""
"T096039,""6"",""29515"""
"T146089,""4"",""70965"""
"T082476,""4"",""178845"""
"T094803,""2"",""146088"""
"T144795,""2"",""85199"""
"T146090,""4"",""72891"""
"T144462,""2"",""16577"""
"W030298,""6"",""88299"""
"T002510,""4"",""42495"""
"T009563,""4"",""168889"""
"T145358,""2"",""671620"""
"T139082,""2"",""87218"""
"T030068,""12"",""69148"""
"T144145,""2"",""173486"""
"T087480,""2"",""535925"""
"T055317,""2"",""116611"""
"T068980,""4"",""297039"""
"T116228,""4"",""42084"""
"T055315,""4"",""167872"""
"T111606,""6"",""35570"""
"N008549,""4"",""42052"""
"T087883,""2"",""16428"""
"T194095,""2"",""41999"""
"T138630,""8"",""16751"""
"T055317,""10"",""167875"""
"T110211,""2"",""67090"""
"T145187,""8"",""283623"""
"T106230,""4"",""117696"""
"T092801,""2"",""45735"""
"T141005,""4"",""49828"""
"P006219,""4"",""172636"""
"T107371,""12"",""65935"""
"T073035,""2"",""69126"""
"T122632,""2"",""118528"""
"T160968,""2"",""178646"""
"T108852,""4"",""47517"""
"T078304,""2"",""174753"""
"T110648,""2"",""86823"""
"T131404,""2"",""117929"""
"T195795,""2"",""30328"""
"T100651,""2"",""82323"""
"T122501,""4"",""29183"""
"N033437,""2"",""167911"""
"T146091,""2"",""70979"""
"T139246,""2"",""269711"""
"T137626,""2"",""85690"""
"T087090,""6"",""263700"""
"T139599,""14"",""122233"""
"T144504,""2"",""264315"""
"T076206,""2"",""86003"""
"T127912,""2"",""67617"""
"T079696,""6"",""206550"""
"T052807,""6"",""77830"""
"T011413,""2"",""344404"""
"T119678,""20"",""29866"""
"T028857,""8"",""68351"""
"T012718,""6"",""91088"""
"T039469,""2"",""65749"""
"T030175,""8"",""22401"""
"T007945,""2"",""29778"""
"T092979,""2"",""66388"""
"T009563,""4"",""170709"""
"T098951,""4"",""7297"""
"T213461,""2"",""263986"""
"T016873,""2"",""19408"""
"T195053,""2"",""343800"""
"T119679,""4"",""45303"""
"T030049,""6"",""68908"""
"T052756,""2"",""85922"""
"N002510,""2"",""16904"""
"W029739,""2"",""5405"""
"T009142,""14"",""68500"""
"T127536,""4"",""42160"""
"T012414,""22"",""89143"""
"P006448,""2"",""122620"""
"T039468,""2"",""65746"""
"N068934,""2"",""116325"""
"T139691,""2"",""87745"""
"T127414,""2"",""29219"""
"T138215,""28"",""1086881"""
"T106139,""10"",""69989"""
"T139263,""8"",""1066211"""
"T070981,""2"",""30524"""
"T146951,""2"",""85672"""
"T122897,""24"",""1390689"""
"T167543,""2"",""122723"""
"T082471,""2"",""172774"""
"T131168,""2"",""745097"""
"T144799,""4"",""67795"""
"T167543,""4"",""171808"""
"T003281,""2"",""16763"""
"T072735,""2"",""87463"""
"T144228,""10"",""262330"""
"T151984,""2"",""69968"""
"T136504,""2"",""495387"""
"T140789,""10"",""713184"""
"T064284,""2"",""86795"""
"T036369,""2"",""138442"""
"T082469,""2"",""96818"""
"T057083,""12"",""299578"""
"T089512,""2"",""34102"""
"T147338,""4"",""610559"""
"T065970,""2"",""72363"""
"T072058,""2"",""71110"""
"T093697,""10"",""170182"""
"T082475,""2"",""121363"""
"T088108,""12"",""466276"""
"T135027,""2"",""122057"""
"N030237,""2"",""42591"""
"T105889,""2"",""104951"""
"T134012,""6"",""5359"""
"T118337,""6"",""467456"""
"T160976,""10"",""272759"""
"T055306,""66"",""116582"""
"T135755,""2"",""66171"""
"T145636,""2"",""21780"""
"N008383,""4"",""70965"""
"T110951,""2"",""67292"""
"T116228,""4"",""42035"""
"N052204,""8"",""140326"""
"T078254,""2"",""30608"""
"T113336,""6"",""122367"""
"N005096,""4"",""676774"""
"T031660,""2"",""17768"""
"T036373,""4"",""168944"""
"T114762,""18"",""67775"""
"N020364,""10"",""1057820"""
"T095746,""2"",""10776"""
"T040978,""2"",""31306"""
"T110897,""2"",""53412"""
"T120635,""2"",""123084"""
"T014147,""2"",""29949"""
"T107127,""2"",""86440"""
"T087041,""78"",""681707"""
"T106230,""6"",""103056"""
"T053586,""6"",""117078"""
"N008500,""6"",""138459"""
"T114720,""4"",""42884"""
"T053953,""2"",""273745"""
"N008498,""2"",""96818"""
"T080490,""2"",""123974"""
"N052195,""8"",""185141"""
"T154467,""2"",""118592"""
"T056038,""2"",""479023"""
"T036373,""6"",""118644"""
"T134494,""2"",""184289"""
"T160965,""4"",""71085"""
"T066352,""2"",""22170"""
"N011473,""2"",""2897"""
"T146458,""2"",""85678"""
"T117249,""4"",""77092"""
"T224729,""2"",""68903"""
"T064484,""2"",""128507"""
"T151984,""4"",""90108"""
"T064482,""2"",""167949"""
"T071403,""2"",""66826"""
"T144145,""2"",""268948"""
"T093602,""2"",""178503"""
"T133597,""4"",""21739"""
"T053588,""4"",""120394"""
"T080890,""2"",""168900"""
"T135596,""2"",""167875"""
"T059870,""4"",""43846"""
"T127102,""22"",""168048"""
"T146088,""2"",""70978"""
"T116228,""2"",""42035"""
"T132722,""2"",""66720"""
"T139601,""10"",""125219"""
"T055317,""2"",""127625"""
"T082892,""6"",""85884"""
"N008500,""2"",""119672"""
"T025331,""4"",""119761"""
"T088371,""2"",""65612"""
"T078366,""2"",""86973"""
"T146093,""4"",""90995"""
"T055322,""6"",""167896"""
"T082472,""8"",""172398"""
"T056380,""4"",""119310"""
"T082471,""4"",""121315"""
"N017593,""2"",""178992"""
"T061699,""2"",""182427"""
"T078058,""10"",""65943"""
"T138966,""6"",""169725"""
"T082557,""4"",""73820"""
"T063423,""2"",""65669"""
"T193624,""2"",""67790"""
"T134320,""2"",""86109"""
"T222920,""4"",""21511"""
"T136504,""4"",""106511"""
"T120122,""6"",""48262"""
"T082469,""2"",""168753"""
"T094802,""4"",""117680"""
"T127102,""2"",""133698"""
"T070486,""4"",""86825"""
"T116228,""4"",""42054"""
"T036373,""6"",""179000"""
"T116228,""8"",""43078"""
"T111489,""44"",""466535"""
"T090053,""12"",""168880"""
"T148503,""8"",""127267"""
"T087079,""6"",""168787"""
"N008549,""2"",""42052"""
"T102215,""2"",""274820"""
"T070500,""6"",""38928"""
"T105950,""2"",""117723"""
"T130688,""2"",""26795"""
"T089032,""2"",""134421"""
"T033120,""2"",""168013"""
"T069013,""10"",""284296"""
"T016530,""4"",""66640"""
"T138966,""6"",""169292"""
"T096758,""2"",""107799"""
"T070486,""2"",""95856"""
"T107370,""2"",""85891"""
"T106800,""2"",""65813"""
"T146458,""6"",""133427"""
"T055315,""4"",""167872"""
"T107370,""14"",""65924"""
"T063093,""2"",""68750"""
"T160980,""2"",""177370"""
"T098191,""2"",""117267"""
"N026698,""4"",""88128"""
"T145481,""12"",""52353"""
"T082468,""4"",""87997"""
"T079258,""2"",""181518"""
"T136783,""2"",""30057"""
"T078364,""4"",""264839"""
"T149791,""14"",""117302"""
"T139672,""2"",""278937"""
"T128630,""6"",""168943"""
"T068069,""2"",""47186"""
"T160137,""2"",""122843"""
"T139745,""2"",""292534"""
"T135573,""2"",""6657"""
"T112825,""14"",""121398"""
"N011178,""6"",""65640"""
"T126046,""18"",""169509"""
"T131979,""2"",""104812"""
"T194764,""2"",""44117"""
"T082468,""6"",""87762"""
"T098789,""6"",""43339"""
"N008549,""2"",""42025"""
"T146106,""4"",""66065"""
"T138215,""16"",""692793"""
"T082471,""2"",""121149"""
"T066307,""2"",""43876"""
"T138965,""12"",""262297"""
"N039133,""2"",""68093"""
"N027361,""2"",""140996"""
"T114764,""4"",""24167"""
"T144145,""6"",""172106"""
"T090280,""2"",""23162"""
"N008547,""2"",""168876"""
"T139683,""2"",""182815"""
"T036369,""2"",""117039"""
"T144832,""2"",""44906"""
"T108852,""2"",""67004"""
"T078370,""2"",""129417"""
"T147084,""4"",""68749"""
"T135577,""4"",""71364"""
"T226210,""4"",""264961"""
"T063101,""2"",""86859"""
"T074038,""6"",""90939"""
"T134562,""6"",""90286"""
"T091201,""6"",""175301"""
"T150273,""4"",""109219"""
"T067308,""4"",""17532"""
"T037701,""2"",""73304"""
"T116228,""4"",""42035"""
"T079436,""2"",""65962"""
"T068988,""2"",""488546"""
"T082473,""4"",""96661"""
"T068757,""2"",""117689"""
"N048133,""2"",""88416"""
"T107010,""2"",""91662"""
"T055315,""2"",""116897"""
"T194095,""2"",""41999"""
"T139246,""2"",""175337"""
"T043830,""2"",""182599"""
"T140788,""4"",""327843"""
"T187076,""2"",""168518"""
"T110813,""2"",""10511"""
"T132818,""2"",""1096045"""
"T137782,""2"",""69225"""
"N007003,""2"",""123907"""
"T127952,""4"",""22341"""
"T114188,""4"",""117019"""
"T167543,""4"",""125296"""
"T099000,""2"",""44408"""
"T154521,""4"",""88505"""
"T070500,""4"",""33646"""
"T200696,""2"",""197316"""
"T027645,""4"",""91337"""
"T101742,""4"",""477858"""
"T110011,""12"",""1067447"""
"T110014,""2"",""284485"""
"T140296,""2"",""92599"""
"T105291,""2"",""70959"""
"T114649,""4"",""1231"""
"T140373,""4"",""262511"""
"T055305,""10"",""117234"""
"T075203,""2"",""69718"""
"T115225,""6"",""28343"""
"T117715,""2"",""85709"""
"T057740,""2"",""69858"""
"T144147,""8"",""172497"""
"T097895,""10"",""1077310"""
"T070854,""2"",""89270"""
"T146095,""2"",""92963"""
"T069220,""2"",""116983"""
"N008499,""2"",""117043"""
"T053979,""2"",""167856"""
"T094802,""2"",""116931"""
"T113417,""2"",""121625"""
"T146543,""2"",""87189"""
"T093697,""8"",""173860"""
"T088310,""2"",""117304"""
"T057347,""2"",""30244"""
"T139678,""2"",""184255"""
"T113903,""6"",""122597"""
"T080889,""2"",""85731"""
"T112826,""2"",""145974"""
"T140590,""2"",""185421"""
"T139624,""4"",""185950"""
"N002779,""2"",""117167"""
"T056430,""4"",""102584"""
"T148778,""2"",""129901"""
"T115041,""2"",""43788"""
"T139625,""8"",""186433"""
"T160972,""4"",""178400"""
"T121530,""2"",""71738"""
"T083706,""2"",""93140"""
"T053989,""10"",""98991"""
"T160970,""2"",""186242"""
"T086640,""4"",""172021"""
"T160977,""10"",""189348"""
"T055305,""10"",""114796"""
"T167543,""46"",""119915"""
"T076207,""2"",""66009"""
"T067790,""2"",""107117"""
"T082471,""2"",""138461"""
"N007448,""4"",""115888"""
"T107371,""8"",""65723"""
"T063903,""2"",""173262"""
"T140174,""2"",""66757"""
"T082476,""4"",""146198"""
"T088108,""22"",""466186"""
"T139810,""2"",""177864"""
"T110656,""4"",""77042"""
"T056039,""2"",""477498"""
"N027048,""4"",""359707"""
"T098604,""6"",""168507"""
"N003358,""10"",""71008"""
"N008867,""2"",""86620"""
"T111487,""12"",""176207"""
"T122143,""2"",""11066"""
"T087891,""12"",""177688"""
"T078356,""2"",""234190"""
"T138966,""4"",""264147"""
"T110536,""2"",""117941"""
"T088108,""4"",""466236"""
"T146105,""4"",""67430"""
"T140786,""2"",""167913"""
"T117354,""4"",""364371"""
"T086581,""12"",""48125"""
"T066307,""2"",""71110"""
"T139262,""6"",""1048786"""
"T145250,""2"",""106362"""
"T119958,""2"",""169263"""
"T146091,""2"",""71983"""
"T122309,""2"",""51902"""
"T100441,""4"",""87261"""
"T089825,""4"",""117110"""
"T082475,""8"",""172108"""
"T055318,""4"",""167856"""
"T111487,""4"",""272423"""
"N008549,""2"",""68908"""
"T116228,""4"",""42118"""
"T135574,""2"",""7764"""
"T055301,""2"",""342769"""
"N017729,""2"",""168082"""
"N011302,""2"",""262922"""
"T105420,""6"",""70171"""
"T181791,""6"",""88881"""
"T078365,""6"",""308513"""
"T055321,""8"",""116597"""
"T082469,""4"",""168307"""
"T081959,""2"",""42014"""
"T055302,""2"",""116619"""
"T068982,""2"",""344724"""
"N011154,""4"",""125786"""
"T140779,""34"",""1081942"""
"T155111,""6"",""66527"""
"T146109,""4"",""66065"""
"T111137,""2"",""22615"""
"T110273,""4"",""120654"""
"T140777,""4"",""262301"""
"T088371,""2"",""88485"""
"T133680,""2"",""183457"""
"T078584,""4"",""124322"""
"N015692,""2"",""488078"""
"T110722,""20"",""738315"""
"T140788,""6"",""262313"""
"T049228,""2"",""4181"""
"N007255,""6"",""72170"""
"T138965,""6"",""262297"""
"T124073,""2"",""86729"""
"T060998,""2"",""86363"""
"T099652,""2"",""66209"""
"T139080,""2"",""86181"""
"T114399,""2"",""65709"""
"T060638,""2"",""25762"""
"T088306,""2"",""87737"""
"N008549,""4"",""42052"""
"T133607,""10"",""304516"""
"T138155,""8"",""512967"""
"T116228,""2"",""42198"""
"T110846,""10"",""65782"""
"T140787,""2"",""169733"""
"T080489,""6"",""178384"""
"T141125,""2"",""175052"""
"T055318,""8"",""127629"""
"T128056,""2"",""267632"""
"T082472,""2"",""121351"""
"T146314,""2"",""66123"""
"T116228,""4"",""42035"""
"T145165,""2"",""262563"""
"N000521,""2"",""127092"""
"T232363,""2"",""10825"""
"T187076,""6"",""151673"""
"N008499,""2"",""117726"""
"T121836,""2"",""121791"""
"T140777,""8"",""262317"""
"N033357,""4"",""86137"""
"T140778,""2"",""117140"""
"T082473,""4"",""72861"""
"N008499,""2"",""117259"""
"T127102,""30"",""169005"""
"T079287,""2"",""342790"""
"T001936,""4"",""36519"""
"N011154,""22"",""124621"""
"T079965,""2"",""70105"""
"T110200,""2"",""67412"""
"T160969,""2"",""179022"""
"T075181,""2"",""44219"""
