"metadata_ESTCID,""Freq"",""TotalLength"""
"N033258,""6"",""69716"""
"N016941,""2"",""284588"""
"T186889,""4"",""85674"""
"T107340,""38"",""127170"""
"T113231,""2"",""22330"""
"N024578,""4"",""117745"""
"T109334,""4"",""43401"""
"N015693,""4"",""529854"""
"T078977,""2"",""102439"""
"T140787,""4"",""262285"""
"T071888,""2"",""43099"""
"T106230,""4"",""119556"""
"N020132,""2"",""198066"""
"T121786,""4"",""118148"""
"T136038,""4"",""96854"""
"T040980,""2"",""29816"""
"T135771,""2"",""87060"""
"N004948,""2"",""29931"""
"T144458,""2"",""47394"""
"T117715,""4"",""85690"""
"T139624,""2"",""92752"""
"T177160,""4"",""88311"""
"T080702,""2"",""31345"""
"T059408,""2"",""49343"""
"T113454,""4"",""33347"""
"T131649,""2"",""70029"""
"T118916,""2"",""91685"""
"P002572,""2"",""266314"""
"T074517,""4"",""43882"""
"P002572,""4"",""266570"""
"T055020,""2"",""25051"""
"P002028,""4"",""511613"""
"W028887,""4"",""15213"""
"T195286,""2"",""21779"""
"T160848,""4"",""584366"""
"T117440,""8"",""81243"""
"T110018,""2"",""11186"""
"T144855,""2"",""191019"""
"T004776,""2"",""33478"""
"T132241,""4"",""38568"""
"T056418,""2"",""29280"""
"T110402,""4"",""95248"""
"T037329,""2"",""8671"""
"T131733,""6"",""4124"""
"N024666,""2"",""42721"""
"N015090,""2"",""19161"""
"T175281,""2"",""88470"""
"T102460,""10"",""42219"""
"N033296,""2"",""5476"""
"T153772,""4"",""120011"""
"T145739,""4"",""168895"""
"W028865,""2"",""171521"""
"T075822,""6"",""68999"""
"N008403,""2"",""38288"""
"T086831,""2"",""16889"""
"P002032,""2"",""59577"""
"P002719,""4"",""266316"""
"N042273,""6"",""17092"""
"T117572,""2"",""23099"""
"T145739,""4"",""116607"""
"T054578,""2"",""170387"""
"T221183,""2"",""268186"""
"T010289,""4"",""16547"""
"T101008,""2"",""70706"""
"T099202,""4"",""118384"""
"T103678,""2"",""5433"""
"T082477,""2"",""123784"""
"W030511,""4"",""92280"""
"T154544,""2"",""264873"""
"T171358,""2"",""67424"""
"T176349,""2"",""85687"""
"T129343,""4"",""86301"""
"T081921,""2"",""23426"""
"T102847,""2"",""185715"""
"T108629,""2"",""30563"""
"T143723,""2"",""58455"""
"W031742,""4"",""29174"""
"T145739,""4"",""116637"""
"T072118,""2"",""4505"""
"T038384,""2"",""16763"""
"T044628,""4"",""36488"""
"T072493,""2"",""11244"""
"T046336,""2"",""4309"""
"T033674,""2"",""47622"""
