doc.dimension,mean.pages,median.pages,n
2fo,277,117,13181
4long,38,38,2
4to,140,66,39870
8long,164,144,69
8vo,159,92,114199
12long,161,144,137
12mo,192,164,49910
16long,200,200,1
16mo,198,129,1944
18mo,181,156,1640
24long,169,117,72
24mo,192,136,1310
32mo,141,93,680
48mo,134,80,16
64mo,140,64,110
NA,139,73,3125
