"location","unified_form","url","parent_location","level"
"Little Titchfield Street","","","",6
"Little Titchfield-street","","","",6
"Little Titchfield-Street","","","",6
"Little Tower Street","","","",6
"Little Tower-Street","","","",6
"Little Tower-street","","","",6
"Little-Britain","","","",
"Little-Brittain","","","",
"Little-Tower Street","","","",6
"Little-Tower-Street","","","",6
"Little-Turnstile","","","",
"LittleTower-Street","","","",6
"Liverpool","","","",
"Lock's Head","","","",
"Locke's Head","","","",
"Locke's-Head","","","",
"Logographic Press","","","",7
"Lom-Bard-Street","","","",6
"Lombard - Street","Lombard Street","https://mapoflondon.uvic.ca/LOMB1.htm","London",6
"Lombard Street","Lombard Street","https://mapoflondon.uvic.ca/LOMB1.htm","London",6
"Lombard street","Lombard Street","https://mapoflondon.uvic.ca/LOMB1.htm","London",6
"Lombard-Street","Lombard Street","https://mapoflondon.uvic.ca/LOMB1.htm","London",6
"Lombard-street","Lombard Street","https://mapoflondon.uvic.ca/LOMB1.htm","London",6
"Lombardstreet","Lombard Street","https://mapoflondon.uvic.ca/LOMB1.htm","London",6
"Lombaro Street","","","",6
"London","","","",3
"London and Westminster","","","",3
"London Bridge","","","",6
"London bridge","","","",6
"London Gazette","","","",
"London-Bridge","","","",6
"London-bridge","","","",6
"London-Gazette","","","",
"Long Acre","","","",
"Long Lane","","","",6
"Long-lane","","","",6
"Long-Lane","","","",6
"Looking Glass","","","",
"Looking glass","","","",
"Looking-Glass","","","",
"Looking-glass","","","",
"looking-glass shop","","","",
"Lookinglass and Bible","","","",
"Lord Bacon's Head","","","",
"Lower Bridge-Street","","","",6
"Lower Brook Street","","","",6
"Lower Brook-Street","","","",6
"Lower Broon-Street","","","",6
"Lower Liffey-Street","","","",6
"Lower Sloane Street","","","",6
"Lower Sloane-street","","","",6
"Lower Sloane-Street","","","",6
"Ludgate","","","",6
"Ludgate Hill","","","",
"Ludgate Street","","","",6
"Ludgate-Hill","","","",
"Ludgate-Hill London","","","",
"Ludgate-Street","","","",6
"Ludgate-street","","","",6
"Ludgatestreet","","","",6
"Ludlow","","","",
"Lumbard Street","","","",6
"Lumbard-street","","","",6
"Lumbardstreet","","","",6
"Lumbord-streete","","","",6
"Lundgate-Street","","","",6
"Lynn","","","",
"Magdalen-Street","","","",6
"Main Guard","","","",
"Main Street","","","",6
"Main-Street","","","",6
"Malborough-Street","","","",6
"Manchester","","","",
"Mansfield","","","",
"Mansion-House","","","",7
"Margaret-Street","","","",6
"Margate","","","",6
"Market Street","","","",6
"Market-Place","","","",
"Market-Street","","","",6
"Market-street","","","",6
"Market-Street Albany","","","",6
"Market-Street-Lane","","","",6
"Market-street-lane","","","",6
"Marlboro' Street","","","",6
"Marlboro'-Street","","","",6
"Marlborough Street","","","",6
"Marlborough-Street","","","",6
"Marlbro'-Street","","","",6
"Marshall-Street","","","",6
"Marsham Street","","","",6
"Mary-le-bone Street","","","",6
"Mary-Le-Bone Street","","","",6
"Mary-le-Bone Street","","","",6
"Mary-Le-Bone-Street","","","",6
"Mary-le-Bone-Street","","","",6
"Mary-Street","","","",6
"Marybone-street","","","",6
"May-Fair","","","",
"May's-Buildings","","","",
"Meath-Street","","","",6
"Meath-street","","","",6
"Meathstreet","","","",6
"Melsome-Street","","","",6
"Mercer's Chapel","","","",7
"Mercer's-Chaple","","","",
"Mercer's-Chappel","","","",7
"Mercers Chapel","","","",7
"Mercers Chappel","","","",7
"Mercers-Chappel","","","",7
"Mercury","","","",
"Merrimac-Street","","","",6
"Methodist Preaching-Houses","","","",
"Methodist preaching-houses","","","",
"Meuse Back-Gate","","","",6
"Meuse-Gate","","","",6
"Mew's-Gate","","","",6
"Mews Gate","","","",6
"Mews-Gate","","","",6
"Mews' Gate","","","",6
"Michael-Street","","","",6
"Michael-Street","","","",6
"Middle Moorfields","","","",
"Middle Row","","","",
"Middle Street","","","",6
"Middle Street","","","",6
"Middle Temple","","","",
"Middle Temple Cloyster","","","",
"Middle Temple Cloysters","","","",
"Middle Temple Gate","","","",6
"Middle Temple-Cloysters","","","",
"Middle Temple-Gate","","","",6
"Middle-Exchange","","","",
"Middle-Moorfields","","","",
"Middle-Row","","","",
"Middle-Row Holborn","","","",
"Middle-street","","","",6
"Middle-Street","","","",6
"Middle-Temple","","","",
"Middle-Temple Cloysters","","","",
"Middle-Temple Gate","","","",6
"Middle-Temple-Cloisters","","","",
"Middle-Temple-Cloysters","","","",
"Middle-Temple-Gate","","","",6
"Middle-Temple-Lane","","","",6
"Middlesex","","","",
"Middlesex-Hospital","","","",7
"Middlewich","","","",
"Midway Place","","","",
"Mile End New Town","","","",
"Mile-End","","","",
"Mile-End Road","","","",6
"Mile-End-Road","","","",6
"Military Library","","","",7
"Mill-Bridge","","","",6
"Mill-Pond","","","",
"Mill-Street","","","",6
"Mill-Street","","","",6
"Millbrook","","","",
"Miller's-Street","","","",6
"Miller's-Street","","","",6
"Milsom-Street","","","",6
"Milsom-Street","","","",6
"Milton's Head","","","",
"Milton's-Head","","","",
"Minerva","","","",
"Minerva Press","","","",7
"Minerva Printing-Office","","","",
"Minerva-Press","","","",7
"Minister-Yard","","","",6
"Minster-Street","","","",6
"Minster-Street","","","",6
"Minster-Yard","","","",6
"Mitre","","","",
"Mitre and Crown","","","",
"Mitre and Crown against St. Dunstan's Church","","","",7
"Mitre Court","","","",6
"Mitre Tavern","","","",7
"Mitre Tavern Fleetstreet","","","",6
"Mitre-Court","","","",6
"Mitre-Tavern","","","",7
"Molesworth's-Court","","","",6
"Monague-Street","","","",6
"Monague-Street","","","",6
"Monkwell-Street","","","",6
"Monkwell-Street","","","",6
"Monmouth","","","",
"Monmouthshire","","","",
"Montague Street","","","",6
"Montague Street","","","",6
"Montague-street","","","",6
"Montague-street","","","",6
"Montreal","","","",
"Montrose","","","",
"Moor-Fields","","","",
"Moor-fields","","","",
"Moor-street","","","",6
"Moor-street","","","",6
"Moore Street","","","",6
"Moore Street","","","",6
"Moore-field Gate","","","",6
"Moorfields","","","",
"Moorsields","","","",
"most and pamphlet-shops","","","",
"most shops","","","",
"Mount Street","","","",6
"Mount-Row","","","",
"Mount-Street","","","",6
"Mountain Street","","","",6
"Mountain-Street","","","",6
"Mountrath-Street","","","",6
"Mr. Clayton's","","","",
"Mr. Dulue's","","","",
"Mr. James Davidson's shop","","","",
"Mr. Robinson's","","","",
"Mr. Verney's","","","",
"Nagg's Head-Court","","","",6
"Nando's Coffee-House","","","",7
"Narrow-Wine-Street","","","",6
"Naval and Military Printing-Office","","","",
"Nelson's Street","","","",6
"Net-Bond-Street","","","",6
"New Bond Street","","","",6
"New Bond Street London","","","",6
"New Bond-Street","","","",6
"New Bond-street","","","",6
"New Bondstreet","","","",6
"New Bridge-Street","","","",6
"New Bridge-street","","","",6
"New Broad-Street","","","",6
"New Buildings","","","",
"New Canal","","","",
"New Cavendish Street","","","",6
"New Chapel","","","",7
"new chapel","","","",7
"New Fishstreet Hill","","","",6
"New Gate-Street","","","",6
"New Hodge-Street","","","",6
"New London-Street","","","",6
"New Market-street","","","",6
"New North Street","","","",6
"New Room","","","",
"New Sackvile-Street","","","",6
"New Sackville-Street","","","",6
"New Street","","","",6
"New Turnstile","","","",
"New Vond-Street","","","",6
"New-Bond Street","","","",6
"New-Bond-Street","","","",6
"New-Bridge-Street","","","",6
"New-Buildings","","","",
"New-Chapel","","","",7
"New-Exchange","","","",
"New-Fish-street-Hill","","","",6
"New-gate Street","","","",6
"New-Gate-Street","","","",6
"New-Hall-Street","","","",6
"New-London","","","",
"New-Market","","","",
"New-street","","","",6
"New-Street","","","",6
"New-street Birmingham","","","",6
"New-Street Covent-Garden","","","",6
"New-Street-Square","","","",6
"Newark","","","",
"NewBond-Street","","","",6
"Newbond-Street","","","",6
"Newbury Street","","","",6
"Newbury-Street","","","",6
"Newcastle","","","",
"Newcastle Street","","","",6
"Newcastle upon Tyne","","","",
"Newcastle-Street","","","",6
"Newd-Street","","","",6
"Newgate","","","",6
"Newgate Street","Newgate Street","https://mapoflondon.uvic.ca/NEWG3.htm","London",6
"Newgate-Street","Newgate Street","https://mapoflondon.uvic.ca/NEWG3.htm","London",6
"Newgate-street","","","",6
"Newgates Street","Newgate Street","https://mapoflondon.uvic.ca/NEWG3.htm","London",6
"Newiugton Butts","","","",
"Newman Street","","","",6
"Newman-street","","","",6
"Newnorth-Street","","","",6
"Newport","","","",
"Newport Street","","","",6
"Newport-Street","","","",6
"Newport-street","","","",6
"Newstreet","","","",6
"Newton's-head","","","",
"Nicholson Street","","","",6
"Nicholson-Street","","","",6
"Nicholson-street","","","",6
"Nicholson's Street","","","",6
"Nicholson's-Street","","","",6
"Nicolson Street","","","",6
"Nicolson-Street","","","",6
"Nicolson's Street","","","",6
"Noble-Street","","","",6
"Norfolk","","","",
"Norfolk Street","","","",6
"Norfolk-Street","","","",6
"Norris-street","","","",6
"North America","","","",
"North Bridge Street","","","",6
"North Bridge-Street","","","",6
"North College-Street","","","",6
"North Fifth-Street","","","",6
"North Fourth-Street","","","",6
"North Main-Street","","","",6
"North Queenstreet","","","",6
"North Richmond Street","","","",6
"North Second Street","","","",6
"North Second-Street","","","",6
"North Street","","","",6
"North Third Street","","","",6
"North Third-Street","","","",6
"North Third-street","","","",6
"North-Audley Street","","","",6
"North-Bridge Street","","","",6
"North-College Street","","","",6
"North-Green","","","",
"North-Main-Street","","","",6
"North-Street","","","",6
"North-street","","","",6
"Northampton","","","",
"Northum-Berland-House","","","",7
"Northumberland Street","","","",6
"Northumberland-House","","","",7
"Norton-Street","","","",6
"Norwich","Norwich","","",3
"Norwich.","Norwich","","",3
"Notre-Dame Street","","","",6
"Nottingham","","","",
"Number 65","","","",
"office of paper of World","","","",
"Old Bailey","","","",
"Old Bond Street","","","",6
"Old Bond- Street","","","",6
"Old Bond-Street","","","",6
"Old Bond-street","","","",6
"Old Bondstreet","","","",6
"Old Bridge","","","",6
"Old Broad Street","","","",6
"Old Broad-Street","","","",6
"Old Broad-street","","","",6
"Old Change","","","",
"Old Church-Street","","","",6
"Old Fish-streete","","","",6
"Old Gravel Lane","","","",6
"Old Post Office","","","",
"Old Post-Office Coffee House","","","",7
"Old Round Court","","","",6
"Old Street","","","",6
"Old-Bailey","","","",
"Old-Baily","","","",
"Old-Bond-Street","","","",6
"Old-Fish-streete","","","",6
"Old-Street","","","",6
"Olde Fish-street","","","",6
"Opera-House","","","",7
"Opera-Office","","","",
"Orange Street","","","",6
"Orange-Street","","","",6
"Orange-street","","","",6
"Ormond-Quay","","","",
"Otway's-Head","","","",
"Oxendon-Street","","","",6
"Oxford","","","",
"Oxford Arms","","","",
"Oxford Arms Passage","","","",
"Oxford Market","","","",
"Oxford Street","","","",6
"Oxford Theatre","","","",7
"Oxford-Arms","","","",
"Oxford-Market","","","",
"Oxford-Street","","","",6
"Oxford-street","","","",6
"Oxford-Street London","","","",6
"Oxford-Theatre","","","",7
"Paddington Street","","","",6
"Palace Street","","","",6
"Palace-Street","","","",6
"Palace-street","","","",6
"Palace-Street' Manchester","","","",6
"Pall Mall","","","",
"Pall-Mail","","","",
"Pall-Mall","","","",
"Pall-Mall.","","","",
"Pallmall","","","",
"Palsgrave-Head-Court","","","",6
"Palsgrave's-Head-Court","","","",6
"Pamphlet Shops","","","",
"pamphlet shops","","","",
"pamphlet-shops","","","",
"Panton Street","","","",6
"Panton-Street","","","",6
"Panton-street","","","",6
"Paper-Mill","","","",
"Park-Street","","","",6
"Parliament Close","","","",
"Parliament Square","","","",6
"Parliament Street","","","",6
"Parliament-Close","","","",
"Parliament-House","","","",7
"Parliament-Square","","","",6
"Parliament-Street","","","",6
"Parliament-street","","","",6
"Parson's-Street","","","",6
"Partick-Street","","","",6
"Paster-Noster-Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater noster Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater Noster Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater Noster-Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater-Noster Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater-noster Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater-Noster row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater-Noster-Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater-noster-Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater-noster-row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater-Noster-Street","","","",6
"Pater-Nostor-Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Pater-Nostre-Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Paternoster Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Paternoster-Row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Paternoster-row","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Paternoster-Row.","Paternoster Row","https://mapoflondon.uvic.ca/PATE1.htm","London",6
"Patrick-Street","","","",6
"Patrick's-Street","","","",6
"Paul-Street","","","",6
"Pavement","","","",
"Peacock","","","",
"Pearl Street","","","",6
"Pearl-Street","","","",6
"Pembroke-Court","","","",6
"Penchurch-Street","","","",6
"Percy Street","","","",6
"Peter-Street","","","",6
"Peterborough","","","",
"Peterborough Court","","","",6
"Petticoat-Lane","","","",6
"Philadelphia","","","",
"Philobiblian's-Library","","","",7
"Piazza","","","",
"Piazza of Royal Exchange","","","",
"Picadilly","Picadilly","https://mapoflondon.uvic.ca/PICA1.htm","London",
"Piccadilly","Picadilly","https://mapoflondon.uvic.ca/PICA1.htm","London",
"Piccadilly.","Picadilly","https://mapoflondon.uvic.ca/PICA1.htm","London",
"Piccadily-Street","","","",6
"Pike-Street","","","",6
"Pilgrim-Street","","","",6
"Pilgrim-street","","","",6
"Pimlico","","","",
"Pine-Street","","","",6
"Piod-Horse","","","",
"Pitt-Street","","","",6
"Plato's Head","","","",
"Plazza","","","",
"Plymouth","","","",
"Poets Heads","","","",
"Pol-Street","","","",6
"Pool--Lane","","","",6
"Pop-Gun","","","",
"Pope's Head","Pope's Head Alley","https://mapoflondon.uvic.ca/POPE4.htm","London",6
"Pope's-Head","Pope's Head Alley","https://mapoflondon.uvic.ca/POPE4.htm","London",6
"Pope's-Head Alley","Pope's Head Alley","https://mapoflondon.uvic.ca/POPE4.htm","London",6
"Popes-Head.","Pope's Head Alley","https://mapoflondon.uvic.ca/POPE4.htm","London",6
"Popping's Court","","","",6
"Portman-street","","","",6
"Portmouth Street","","","",6
"Portsmooth-Street","","","",6
"Portsmouth Street","","","",6
"Portsmouth-Street","","","",6
"Portsmouth-street","","","",6
"Portugal Street","","","",6
"Portugal-Street","","","",6
"Portugal-street","","","",6
"Post-House","","","",7
"Postern-Row","","","",
"Poultrey","","","",
"Poultry","","","",
"Poulty","","","",
"Primrose-Street","","","",6
"prin-office","","","",
"Prince's Arms","","","",
"Prince's Street","","","",6
"Prince's-Arms","","","",
"Prince's-Street","","","",6
"Prince's-street","","","",6
"Princes Street","","","",6
"Princes-Street","","","",6
"Princes's-Arms","","","",
"Princess-Street","","","",6
"prining-office","","","",
"Printers-Street","","","",6
"Printers' Street","","","",6
"Printing Office","","","",
"printing office","","","",
"Printing-House-Square","","","",6
"printing-office","","","",
"Printing-Office","","","",
"Printing-Press","","","",7
"Priory-Street","","","",6
"Provost's House.","","","",
"Prujean-Court","","","",6
"Pump-Court","","","",6
"Pye-corner","","","",
"Quay-street","","","",6
"Queen Street","","","",6
"Queen-Street","","","",6
"Queen-street","","","",6
"Queen's Head","","","",
"Queen's-Head","","","",
"Queenes-head Tavern","","","",7
"Queens-head Tavern","","","",7
"Queenstreet","","","",6
"Race-Street","","","",6
"Ram-Head-Inn-Yard","","","",6
"Ratcliff-Highway","","","",
"Raven","","","",
"Ray Street","","","",6
"Ray-street","","","",6
"Reading","","","",
"recorder Printing-office","","","",
"Red Cross Street","","","",6
"Red Lion","","","",
"Red Lion Passage","","","",
"Red Lion Street","","","",6
"Red Lion-Street","","","",6
"Red Lyon","","","",
"Red-Cross-Street","","","",6
"Red-Lion","","","",
"Red-Lion Street","","","",6
"Red-Lion-Court","","","",6
"Red-Lion-Passage","","","",
"Red-Lion-Street","","","",6
"Red-Lyon","","","",
"Redcliff-Street","","","",6
"Redcliff-street","","","",6
"Rein-Deer","","","",
"Rev. Mr. Wesley's chapel","","","",7
"Rev. Mr. Wesley's preaching-houses","","","",
"Rich Street London","","","",6
"Richard's Coffee-House","","","",7
"Richd. Scott Argyle Street","","","",6
"Ring","","","",
"Rising-Sun","","","",
"Rixham Row","","","",
"Rochester","","","",
"Roe-Buck","","","",
"Rose","","","",
"Rose and Crown","","","",
"Rose Tavern","","","",7
"Rose-Street","","","",6
"Rose-Tree","","","",
"Rosomans Street","","","",6
"Rosomans Street","","","",6
"Rouen","","","",
"Row Street","","","",6
"Rowe's Head","","","",
"Rowe's-Head","","","",
"Royal - Exchange","Royal Exchage","https://mapoflondon.uvic.ca/ROYA1.htm","London",7
"Royal Exchage","Royal Exchage","https://mapoflondon.uvic.ca/ROYA1.htm","London",7
"Royal Exchange","Royal Exchage","https://mapoflondon.uvic.ca/ROYA1.htm","London",7
"Royal Street","","","",6
"Royal-Exchange","Royal Exchage","https://mapoflondon.uvic.ca/ROYA1.htm","London",7
"Royal-exchange","Royal Exchage","https://mapoflondon.uvic.ca/ROYA1.htm","London",7
"Royal-Excharge.","Royal Exchage","https://mapoflondon.uvic.ca/ROYA1.htm","London",7
"Royal-Street","","","",6
"Rupert-Street","","","",6
"Russel Street","","","",6
"Russel-Court","","","",6
"Russel-Street","","","",6
"Russel-street","","","",6
"Russell Court","","","",6
"Russell Street","","","",6
"Russell-Court","","","",6
"Russell-Street","","","",6
"Russell-street","","","",6
"S. Bartholomews","","","",
"S. Pauls Church-yard","","","",6
"Sackville Street","","","",6
"Sackville-Street","","","",6
"Sackville-street","","","",6
"Sadler Street","","","",6
"Saint Martin's Court","","","",6
"Saint Paul's Church-Yard","","","",6
"Salisbury","","","",
"Salisbury Exchange","","","",
"Salisbury-Court","","","",6
"Salisbury-Street","","","",6
"Saltmarket","","","",
"Sankey-street","","","",6
"Sationers-Hall","","","",
"Savoy","","","",
"Scalding-Alley","","","",6
"School-Room","","","",
"School-Street","","","",6
"Scotland","","","",
"Scrjeants-Inn Gate","","","",6
"Searjeant's Inn","","","",
"Searle's-Street","","","",6
"Seathgate-Street","","","",6
"Second Street","","","",6
"Second-Street","","","",6
"Second-street","","","",6
"Second-Streets","","","",6
"Seething-Lane","","","",6
"Serjeant's Inn","","","",
"Serjeant's Inn Gate","","","",6
"Serjeant's-Inn","","","",
"Serjeant's-Inn-Gate","","","",6
"Serjeants Inn","","","",
"Serjeants-Inn","","","",
"Serjeants-Inn-Gate","","","",6
"Serles Gate","","","",6
"Seven Dials","","","",
"Seven Stars","","","",
"Seven-Dials","","","",
"Seven-Stars","","","",
"several pamphlet-shops","","","",
"Shakespear's Head","","","",
"Shakespear's-head","","","",
"Shakespear's-Head","","","",
"Shakespeare's Head","","","",
"Shakspeare's Head","","","",
"Sheffield","","","",
"Sherborn","","","",
"Sherborne","","","",
"Sherbourn-Lane","","","",6
"Sherburn","","","",
"Ship","","","",
"Ship and Black-Swan","","","",
"ship and Black-Swan","","","",
"Shoemaker-Row","","","",
"shop of Alex. Weir","","","",
"shop of Messieurs Davidson and Trail","","","",
"shops","","","",
"Shrewsbury","","","",
"Sign of Book and Angel","","","",
"Sign of Globe","","","",
"sign of Goat","","","",
"Sign of New Testament","","","",
"Silver Street","","","",6
"Silver-Street","","","",6
"Sir Isaac Newton's Head","","","",
"Skinner Row","","","",
"Skinner-Row","","","",
"Small-Street","","","",6
"Smoak-Alley","","","",6
"Sobo","","","",
"Sohe","","","",
"Soho","","","",
"Somerset House","Somerset House","https://mapoflondon.uvic.ca/SOME1.htm","",7
"Somerset-House","Somerset House","https://mapoflondon.uvic.ca/SOME1.htm","",7
"Somerset-Place","","","",
"Soubise-street","","","",6
"South Andler Street","","","",6
"South Audley Street","","","",6
"South Audley-Street","","","",6
"South Bridge Street","","","",6
"South Bridge-Street","","","",6
"South Front-Street","","","",6
"South Great George's Street","","","",6
"South Great George's-Street","","","",6
"South Great-George's-Street","","","",6
"South Gt. George's-Street","","","",6
"South Market Street","","","",6
"South Piaza","","","",
"South Piaza of Royal-Exchange","","","",
"South Secon-Street","","","",6
"South Second Street","","","",6
"South Second-Street","","","",6
"South Street","","","",6
"South Third Street","","","",6
"South-Audley-Street","","","",6
"South-Bridge-Street","","","",6
"South-Gate-Street","","","",6
"South-Great-George's-Street","","","",6
"South-Sea House","","","",7
"South-Second-Street","","","",6
"South-street","","","",6
"South-Street","","","",6
"South-West","","","",
"Southampton","","","",
"Southampton street","","","",6
"Southampton Street","","","",6
"Southampton-Street","","","",6
"Southbridge-Street","","","",6
"Southgate-Street","","","",6
"Southton.","","","",
"Southwark","","","",
"Spiceal-Street","","","",6
"Spicer-Street","","","",6
"Spinning-wheel","","","",
"Spital-Square","","","",6
"Spitalfields","","","",
"Spring-Gardens","","","",
"Spring-street","","","",6
"Spring-Street","","","",6
"Spruce-street","","","",6
"Spruce-Street","","","",6
"Spur-Street","","","",6
"Sr. Dunstan's-Church","","","",7
"St Andrew's Street","","","",6
"St Dunstan's Church","","","",7
"St James's Square","","","",6
"St James's Street","","","",6
"St John's Lane","","","",6
"St Paul's Church-Yard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"St Paul's Churchyard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"St. Alban's-Street","","","",6
"St. Alban's-street","","","",6
"St. Andrew's Street","","","",6
"St. Ann's","","","",
"St. Clement's Church","","","",7
"St. Clement's Church-Yard","","","",6
"St. Clement's-Church","","","",7
"St. Clements Church","","","",7
"St. Dunstan's Church","","","",7
"St. Dunstan's-Church","","","",7
"St. Dunstans Church","","","",7
"St. Giles's","","","",
"St. Iohn Street","","","",6
"St. Jame's-Street","","","",6
"St. James Street","","","",6
"St. James-Street","","","",6
"St. James' Street","","","",6
"St. James's","","","",
"St. James's House","","","",7
"St. James's Square","","","",6
"St. James's Street","","","",6
"St. James's-Square","","","",6
"St. James's-Street","","","",6
"St. James's-street","","","",6
"St. Jameses Street","","","",6
"St. Jameses-Street","","","",6
"St. John Street","","","",6
"St. John-Street","","","",6
"St. John's Lane","","","",6
"St. John's Square","","","",6
"St. John's Street","","","",6
"St. John's-Street","","","",6
"St. Magnus Church","","","",7
"St. Magnus-Church","","","",7
"St. Martin's Church","","","",7
"St. Martin's Court","","","",6
"St. Martin's Lane","","","",6
"St. Martin's Lanz","","","",
"St. Martin's-Court","","","",6
"St. Martin's-Lane","","","",6
"St. Martin's-Street","","","",6
"St. Mary Aldermary Church-yard","","","",6
"St. Paul","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",
"St. Paul's","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",
"St. Paul's Church Yard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"St. Paul's Church Yards","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",
"St. Paul's Church-Yard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"St. Paul's Church-yard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"St. Paul's Church-Yard.","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",
"St. Paul's Churchyard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"St. Paul's-Church-Yard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"ST. Paul's-Church-Yard","","","",6
"St. Paul's-Churchyard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"St. Pauls","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",
"St. Pauls Church Yard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"St. Pauls' Church-Yard","St. Paul's Churchyard","https://mapoflondon.uvic.ca/STPA3.htm","",6
"St. Peter's Church-Yard","","","",6
"St. Thomas Street","","","",6
"St. Thomas's Street","","","",6
"St. Thomas's-Street","","","",6
"St. Thomas's-street","","","",6
"St.Duncan's hurch","","","",
"Stafford","","","",
"Stafford Street","","","",6
"Stafford-Street","","","",6
"Stafford-street","","","",6
"stage-door","","","",
"Stamford","","","",
"Stamp-Office","","","",
"Stanford Street","","","",6
"Staple Inn-Gate","","","",6
"Star","","","",
"State Street","","","",6
"State-Street","","","",6
"Stationer's Court","","","",6
"Stationer's Hall","Stationers’ Hall","https://mapoflondon.uvic.ca/STAT1.htm","",
"Stationer's-Hall","Stationers’ Hall","https://mapoflondon.uvic.ca/STAT1.htm","",
"Stationer's-hall","Stationers’ Hall","https://mapoflondon.uvic.ca/STAT1.htm","",
"Stationers Court","","","",6
"Stationers Hall","Stationers’ Hall","https://mapoflondon.uvic.ca/STAT1.htm","",
"Stationers-Court","","","",6
"Stationers-Hall","Stationers’ Hall","https://mapoflondon.uvic.ca/STAT1.htm","",
"Stationers-hall","Stationers’ Hall","https://mapoflondon.uvic.ca/STAT1.htm","",
"Stationers' Court","","","",6
"Stationers' Hall.)","Stationers’ Hall","https://mapoflondon.uvic.ca/STAT1.htm","",
"Stationers'-Court","","","",6
"Stationers's-Court","","","",6
"Stationery Hall","Stationers’ Hall","https://mapoflondon.uvic.ca/STAT1.htm","",
"Statiouer's-Hall","Stationers’ Hall","https://mapoflondon.uvic.ca/STAT1.htm","",
"Stephen-Street","","","",6
"Stephen's Green","","","",
"Stirling","","","",
"Stocks-Market","","","",
"Stonecutter Fleet market","","","",
"Stonecutter-Street","","","",6
"Strana","","","",
"Strand","","","",
"strand","","","",
"Strand-Street","","","",6
"Strawberry Hill Press","","","",7
"Suffolk","","","",
"Suffolk-Street","","","",6
"Sun","","","",
"Sun and Bible","","","",
"Sun and Moon","","","",
"Sun Street","","","",6
"Sun-Street","","","",6
"Surgeon's-Hall","","","",
"Surry","","","",
"Surry Side","","","",
"Surry-Street","","","",6
"Swaffham","","","",
"Swal-Low-Street","","","",6
"Swallow Street","","","",6
"Swallow-Street","","","",6
"Swan and Fan","","","",
"Swan-Close","","","",
"Swift's Head","","","",
"Swine Newgate-Street","","","",6
"Sword and Buckler Court","","","",6
"Sword and Buckler-Court","","","",6
"Sycamore-Alley","","","",6
"Sympson's","","","",
"Sympson's Warehouse","","","",7
"Tabernacle","","","",
"Talbot-Court","","","",6
"Tanfield Court","","","",6
"Taunton","","","",
"Tavistock-Street","","","",6
"Tavistock-street","","","",6
"Tember-Bar","Temple Bar","https://mapoflondon.uvic.ca/TEMP1.htm","",
"Temple Bar","Temple Bar","https://mapoflondon.uvic.ca/TEMP1.htm","",
"Temple Church","Temple Church","https://mapoflondon.uvic.ca/TEMP4.htm","",7
"Temple Cloisters","","","",
"Temple Gate","","","",6
"Temple Gates","","","",
"Temple-Bar","Temple Bar","https://mapoflondon.uvic.ca/TEMP1.htm","",
"Temple-bar","Temple Bar","https://mapoflondon.uvic.ca/TEMP1.htm","",
"temple-bar","Temple Bar","https://mapoflondon.uvic.ca/TEMP1.htm","",
"Temple-Bar.","Temple Bar","https://mapoflondon.uvic.ca/TEMP1.htm","",
"Temple-Barr","Temple Bar","https://mapoflondon.uvic.ca/TEMP1.htm","",
"Temple-Cloysters","","","",
