"location","unified_form","url","parent_location","level"
"Avemary Lane","Ave Maria Lane","https://mapoflondon.uvic.ca/AVEM1.htm","London",6
"Avemary-Lane","Ave Maria Lane","https://mapoflondon.uvic.ca/AVEM1.htm","London",6
"Aylesbury","","","",
"Back-lane","","","",6
"Balsover Street","","","",6
"Baltimore","","","",
"Banastre Street","","","",6
"Banastre-street","","","",6
"Banbury","","","",
"Band-Street","","","",6
"Bannastre-street","","","",6
"Barnard's-Inn","","","",
"Bartholomew-Close","","","",
"Bartholomew-Close'","","","",
"Bartholomew-Lane","","","",6
"Barton-Street","","","",6
"Basinghall-Street","","","",6
"Bath","","","",
"Bear","","","",
"Beaufort-Buildings","","","",
"Bedford Street","","","",6
"Bedford-Street","","","",6
"Beech Street","","","",6
"Beech-Street","","","",6
"Beech-street","","","",6
"Bell Yard","","","",6
"Bell-Yard","","","",6
"Berkeley-Square","","","",6
"Bernard's-Inn-Gate","","","",6
"Berners Street","","","",6
"Berwick Street","","","",6
"Berwick-Street","","","",6
"Berwick-street","","","",6
"Bible","","","",
"Bible and Anchor","","","",
"Bible and Ball","","","",
"Bible and Cross Keys","","","",
"Bible and Crown","","","",
"Bible and Heart","","","",
"Bible and Ink-Bottle","","","",
"Bible and Key","","","",
"Bible and Star","","","",
"Bible and Sun","","","",
"Bible and Three Crowns","","","",
"Bible and Three-Crowns","","","",
"Bible-And-Crown","","","",
"Bible-Warehouse","","","",7
"Bible-warehouse","","","",7
"Billericay","","","",
"Birchin-Lane","","","",6
"Bird-Street","","","",6
"Birmingham","","","",
"Bishop-gate-street","","","",6
"Bishop's Head","","","",
"Bishopgate Street","","","",6
"Bishopgate-Street","","","",6
"Bishops-Gate Street","","","",6
"Bishops-Gate-Street","","","",6
"Bishopsgate Street","","","",6
"Bishopsgate-Street","","","",6
"Bishopsgate-street","","","",6
"Bishopsgate-Street-Within","","","",6
"Bishopsgatestreet","","","",6
"Black and White Court","","","",6
"Black Boy","","","",
"Black Boy and Anchor","","","",
"Black Bull","","","",
"Black Pull","","","",
"Black Raven","","","",
"Black Spread Eagle","","","",
"Black Swan","","","",
"black swan","","","",
"Black Swan and Bible","","","",
"Black-Boy","","","",
"Black-Boy-Alley","","","",6
"Black-Bull","","","",
"Black-Friars Bridge","","","",6
"Black-Fryars","","","",
"Black-fryars","","","",
"Black-Fryers","","","",
"Black-Raven","","","",
"Black-Swan","","","",
"Blackfriars","","","",
"Blackfriers","","","",
"Blackfryars","","","",
"Blackman Street","","","",6
"Blakestreet","","","",6
"Blandford-Street","","","",6
"Blew Anchor","","","",
"Blind Quay","","","",
"Blind-Kay","","","",
"Blind-Quay","","","",
"Blowbladder Street","","","",6
"Blue Anchor","","","",
"Blue Ball","","","",
"Blue-Ball","","","",
"Blundell","","","",
"Bolten-Street","","","",6
"Bolton-Street","","","",6
"Bond Street","","","",6
"Bond-Street","","","",6
"Bond-street","","","",6
"Bondstreet","","","",6
"Bonetstreet","","","",6
"Book Ware-House","","","",7
"Borough","","","",
"Bow Church yard","","","",6
"Bow Church Yard","","","",6
"Bow church yard","","","",6
"Bow church-yard","","","",6
"Bow Church-yard","","","",6
"Bow Lane","","","",6
"Bow Street","","","",6
"Bow-church yard","","","",6
"Bow-Church yard","","","",6
"Bow-Church-Yard","","","",6
"Bow-church-yard","","","",6
"Bow-Lane","","","",6
"Bow-Street","","","",6
"Braud-Street","","","",6
"Bread-Street","","","",6
"Bredstreet","","","",6
"Bredstreet-hill","","","",6
"Brewer-Street","","","",6
"Bride street","","","",6
"Bride Street","","","",6
"Bride-Lane","","","",6
"Bride-Street","","","",6
"Bride-street","","","",6
"Bride's-Alley","","","",6
"Bridge Street","","","",6
"Bridge-Parade","","","",
"Bridge-Street","","","",6
"Bridge-street","","","",6
"Bridges Street","","","",6
"Bridges-Street","","","",6
"Bridges-street","","","",6
"Bridgestreet","","","",6
"Bridlesmith Gate","","","",6
"Brighthelmstone","","","",
"Bristol","","","",3
"Britannia Printing-Office","","","",
"British Library","","","",7
"Broad Street","","","",6
"Broad Streets","","","",6
"Broad-Street","","","",6
"Broad-street","","","",6
"Broadstreet","","","",6
"Brook Street","","","",6
"Brook-Street","","","",6
"Brunswick-Street","","","",6
"Bruton Street","","","",6
"Bruton-Street","","","",6
"Brydges Street","","","",6
"Brydges-Street","","","",6
"Brydges-street","","","",6
"Buchanan's Head","","","",
"Buchanan's-Head","","","",
"Buck","","","",
"Buck and Sun","","","",
"Buckingham-Street","","","",6
"Bucklersbury","","","",
"Bull-Ring","","","",
"Bull-Street","","","",6
"Bull-street","","","",6
"Burke-Street","","","",6
"Burlington House","","","",7
"Burlington-House","","","",7
"Burlington-Huse","","","",
