"","x"
"1","Abbey-Street"
"2","Aberdeen"
"3","Amsterdam"
"4","Barnard's-Inn"
"5","Bath"
"6","Berwick Street"
"7","Billericay"
"8","Birchin-Lane"
"9","Bond Street"
"10","Borough"
"11","Bristol"
"12","Bucklersbury"
"13","Capel-Street"
"14","Catherine-Street"
"15","Chancery-Lane"
"16","Chandos-Street"
"17","Charing-Cross"
"18","Chelmsford"
"19","Cleveland-Row"
"20","College"
"21","Cornhill"
"22","Covent-Garden"
"23","Dame-Street"
"24","Drury Lane"
"25","Dublin"
"26","Edinbrugh"
"27","Exeter"
"28","Fenchurch-Street"
"29","Finsbury-Place"
"30","Fleet Street"
"31","Fleet-Street"
"32","Fleetstreet"
"33","George-Yard"
"34","Glasgow"
"35","Great George's-Street"
"36","Great Russel-Street"
"37","Greville Street"
"38","Holborn"
"39","Ingram-Court"
"40","Jonathan's Coffee-House"
"41","Leadenhall Street"
"42","Leadenhall-Street"
"43","Leeds"
"44","Leeds?"
"45","Lincoln's-Inn"
"46","Little Queen Street"
"47","Lombard Street"
"48","Lombard-Street"
"49","London"
"50","London Bridge"
"51","Long-lane"
"52","Ludgate-Hill"
"53","Middle-Row"
"54","New Bond Street"
"55","New Bond-Street"
"56","New Buildings"
"57","Newcastle"
"58","North-Green"
"59","Orange-Street"
"60","Oxford"
"61","Oxford-Street"
"62","Pall Mall"
"63","Pall-Mall"
"64","Parliament Square"
"65","Pater-Noster Row"
"66","Pater-Noster-Row"
"67","Paternoster Row"
"68","Paternoster-Row"
"69","Peterborough"
"70","Philadelphia"
"71","Piccadilly"
"72","Pool--Lane"
"73","Portugal-Street"
"74","Queen Street"
"75","Russel-Court"
"76","Saltmarket"
"77","Seething-Lane"
"78","Sherbourn-Lane"
"79","Soho"
"80","Southampton-Street"
"81","Southton. London"
"82","St. Dunstan's Church"
"83","St. James's"
"84","St. James's Square"
"85","St. Martin's Lanz"
"86","St. Paul's Church Yard"
"87","St. Paul's Church Yards"
"88","St. Paul's Church-Yard"
"89","St. Paul's-Church-Yard"
"90","St. Thomas's Street"
"91","Stationers'-Court"
"92","Stationers's-Court"
"93","Stirling"
"94","Strand"
"95","Temple Bar"
"96","Temple-Bar"
"97","Tower-Hill"
"98","Trongate"
"99","West-smithfield"
"100","Worship-Street"
"101","York"
"102","York-Street"
"103","Russel-Street"
"104","Poultry"
"105","Oxford-Arms"
"106","King's-Arms"
"107","Cross-Keys"
"108","Buck"
"109","Bartholomew-Close"
"110","Shakespeare's Head"
"111","Shakespear's Head"
"112","Dunciad"
"113","Oxford Arms"
"114","Angel and Bible"
"115","Lamb"
"116","Catherine Street"
"117","Black-Fryars"
"118","Amen-Corner"
"119","Homer's Head"
"120","Burlington-House"
"121","Dove"
"122","Salisbury-Court"
"123","Kings Arms"
"124","Bible and Crown"
"125","Cock and Swine"
"126","Three Flower-de-Luces"
"127","Black-Boy"
"128","Black Swan"
"129","Cowley's Head'"
"130","Mercury"
"131","Princes's-Arms"
"132","Prince's Arms"
"133","Chiswell-Street"
"134","Globe"
"135","Burlington House"
"136","Corner of Copper-Alley"
"137","Red-Lion-Court"
"138","Angel"
"139","Aldermary church-yard"
"140","Little-Turnstile"
"141","Looking-Glass"
"142","Adelphi"
"143","Johnson's Head"
"144","Rose"
"145","King's-Bench"
"146","Addison's-Head"
"147","Cicero's Head"
"148","Black-Swan"
"149","Great Piazza"
"150","Stationers-Hall"
"151","Sword and Buckler Court"
"152","Hercules"
"153","London-Gazette"
"154","Stationers Court"
"155","Stationer's Court"
"156","Sun"
"157","Rochester"
"158","Bible"
"159","Sun against St. Dunstan's Church"
"160","Ludgate-Street"
"161","St. Paul's"
"162","St. James's-Street"
"163","Cow-Lane"
"164","Ship"
"165","Lincoln's-Inn-Square"
"166","Minerva-Press"
"167","Flower-de-Luce"
"168","Middle Row"
"169","Golden Buck"
"170","Middle-Temple Gate"
"171","Tully's Head"
"172","Popping's Court"
"173","Crown"
"174","Paper-Mill"
"175","Golden-Ball"
"176","Golden Lion"
"177","Gray's-Inn Gate"
"178","Old Bond-Street"
"179","Peacock"
"180","Gray's Inn-Gate"
"181","White : Hart"
"182","Essex-Street"
"183","Black Boy"
"184","Skinner-Row"
"185","Temple-Gates"
"186","Dryden's Head"
