gatherings	physical_extent	estimated_pagecount	Count
8vo	3v.,XXXIX plates	978	   1
12mo	v.19-21	429	   1
12mo	30v.	NA	   1
4to	310pt.	346	   1
8vo	2v., XVI plates	652	   1
8vo	Vols.8-9,plates	652	   1
8vo	Vols.1-3,5-7,plates	978	   1
8vo	Vol.4, plates	NA	   1
8vo	Vols.6-7,9-12,plates	652	   1
8vo	4v.,VIII tables	1304	   1
12mo	Vols.9-11	429	   1
8vo	5v.,table	1630	   1
24mo	24v.	NA	   1
18mo	109v.,plates	NA	   1
4to	5v.,plate	NA	   1
8vo	2v.,LVIIIplates	652	   1
2fo	14 parts, plates	NA	   1
8vo	10 v., plates	3260	   1
8vo	4v.[in 6v.]	1304	   1
8vo	7v.(XLI,[47],4076p.),plates	2282	   1
8vo	15v.	NA	   1
8vo	vols.1,2	652	   1
8vo	8 v., [1] leaf of plates	2608	   1
2fo	vols.1,2	924	   1
8vo	5pts.	385	   1
8vo	2v.,2 plates	652	   1
8vo	2 v. ([8], xxxviii, [10], 394, [6], 24, 17-70; [2], xlvi, xlv-l, [18], 512, 529-536 p.)	652	   1
8vo	v.2-3.	652	   1
12mo	34v.,plates	5338	   1
8vo	9 pts.	385	   1
12mo	v.5-6,plate	286	   1
8vo	9v.,plate,table	2934	   1
8vo	4 v., plate	1304	   1
8vo	v.4-10	2282	   1
8vo	4 v., 1 plate	1304	   1
4to	2 v., plate	NA	   1
12mo	3v.,plate	471	   1
4to	29pts.	346	   1
8vo	14v.,plate	NA	   1
4to	1 5heet	346	   1
4to	10v.	NA	   1
8vo	10pt.	385	   1
64mo	???	NA	   1
8vo	2 v. ([4], xiv, [2], 331, [1]; [12], 337, [1] p.)	652	   1
8vo	2 v. (v, [17], xlviii, 336; [2], 367, [1] p.)	652	   1
4to	7v.,plate	NA	   1
8vo	16pts.	385	   1
2fo	6 parts	NA	   1
8vo	21v.,plates	NA	   1
24mo	8v.,plates	892	   1
8vo	4v.,XI plates	1304	   1
8vo	24pts.	385	   1
8vo	21v.	5229	   1
8vo	2 pts.	385	   1
12mo	2 v. ([2], lviii, 250, [2]; [4], 287, [1] p.)	286	   1
12mo	2v.,plates	314	   1
8vo	31pts.	385	   1
4to	8v.,plates	872	   1
4to	7v.,plates	NA	   1
16mo	6v.,plates	1746	   1
12mo	v. 5-7	429	   1
12mo	v. 2-4	429	   1
4to	56pts.,plates	346	   1
8vo	3pts.	385	   1
8vo	5 v., [2] leaves of plates, [1] folded	1630	   1
8vo	2 v. ([2], xvi, 162; [1] 181 p.)	652	   1
32mo	6v.	NA	   1
8vo	[16]p.416p.	385	   1
8vo	3v.,plate,tables	978	   1
8vo	2 v.,plates	652	   1
8vo	2v.,V plates	652	   1
2fo	111pt.	NA	   1
8vo	11 parts	385	   1
12mo	18v.	2826	   1
24mo	v.1-3,7-8	334.5	   1
12mo	2v.plate	478	   1
4to	v.2-3	NA	   1
12mo	2 v. ([2], 250, [6] p.)	286	   1
4to	9pt.	346	   1
12mo	2 v. (xvii, xxvi, [4], 147, [1]; viii, 191, [1]; [6], 184; [2], 212 p.)	286	   1
12mo	v.1-4	628	   1
8vo	2v.,table,plate	652	   1
16mo	5v.,plates	1455	   1
4to	2v.,IItables	NA	   1
4to	12pts.,plates	346	   1
4to	2 v.,plates	NA	   1
12mo	14v.	NA	   1
8vo	4v.,IX plates	1304	   1
8vo	4v,plate	385	   1
12mo	50v.,plates	7850	   1
12mo	9pts.	478	   1
8vo	2v.,tables	498	   1
8vo	10v.	2490	   1
12mo	2 v., [1] leaf of plates	286	   1
4to	9pts.	346	   1
12mo	3v,plates	478	   1
8vo	3 v., [39] leaves of plates (1 folded)	978	   1
12mo	vols. 15-36	3454	   1
18mo	13v.,plates	NA	   1
4to	14pt.	346	   1
4to	22 pts.	346	   1
8vo	27pts.	385	   1
12mo	v. 1	478	   1
2fo	11v.	532.714285714286	   1
4to	5 parts,plate	346	   1
2fo	[2],vi,[1],vi-xx,38.,plates	NA	   1
32mo	7v.	NA	   1
16mo	2v.,plate	582	   1
4to	10v.,plate	NA	   1
8vo	3v.,plate	747	   1
8vo	4v.[i.e.11v.]	1304	   1
2fo	vols.7,8	924	   1
8vo	2v.,.plate	652	   1
4to	5v.,plate	545	   1
4to	66pts.	346	   1
4to	8v.,plate	872	   1
12mo	v.5-6,plates	286	   1
8vo	7 v., [30] leaves of plates	2282	   1
12mo	4v.,plates(fronts)	572	   1
2fo	19v.	NA	   1
12mo	2 v. ([36], 312; 358, [2] p.), plates	286	   1
12mo	11v.,plate	NA	   1
8vo	12parts	385	   1
12mo	17pts.	478	   1
8vo	13v.,fold.plate	NA	   1
8vo	55[i.e. 71][1]p.	385	   1
4to	8pts.,plate	346	   1
8vo	26v.	6474	   1
8vo	2pt.	385	   1
8vo	6v., [2] folded leaves of plates	1956	   1
8vo	15pts.	385	   1
2fo	6v.,fold.tables	2772	   1
8vo	2v., [2] leaves of plates	652	   1
12mo	4v., plate	572	   1
12mo	v.1-16	NA	   1
8vo	12 pt.	385	   1
8vo	12 pts.	385	   1
18mo	3 v., plates	648	   1
4to	16v.,plate	NA	   1
4to	11pts.	346	   1
4to	2 v. ([6], 474; [1], v, 452 p.)	NA	   1
24mo	3 v., plate	334.5	   1
2fo	Vol.5-6, plates	924	   1
2fo	18pts.,plates	NA	   1
8vo	7pts.	385	   1
8vo	2 v., [1] folded leaf of plates	652	   1
8vo	11pts.,plates	385	   1
18mo	7v.,plate	1512	   1
NA	19v.	NA	   1
2fo	4v.,plates(some fold.)	193.714285714286	   1
12mo	3v	429	   1
8vo	6v.,foldplate	1956	   1
1to	4v.,plates	NA	   1
12mo	2 v. (vi, [2], 274, [2]; 244, [12] p.)	286	   1
4to	12pts.,plate	346	   1
2fo	8 parts,plate,tables	NA	   1
2fo	15l.	NA	   1
8vo	58v.,plates	14442	   1
2fo	14 leaves of plates (11 folded)	NA	   1
12mo	11pts.	478	   1
12mo	11 parts	478	   1
8vo	3v.,plates(some fold.)	978	   1
8vo	Vols.3-5	978	   1
8vo	2 v. (xxvi, 422; 459, [1] p.), plates	652	   1
12mo	3v.plates	478	   1
2fo	6v.,plate	290.571428571429	   1
8vo	V.1,3	978	   1
8vo	10v., plates	3260	   1
2fo	52parts	NA	   1
4to	4v., plate	NA	   1
8vo	4v.(490p.)plates	1304	   1
8vo	8v.(1260p)plates	2608	   1
8vo	4v.(366p.)plates	1304	   1
4to	3v.,plates(one fold.)	327	   1
2fo	2 v. ([8], 911, [1]; [4], 916, [2] p.)	924	   1
8vo	2 v. in 3, [2] leaves of plates	652	   1
4to	10v.	1090	   1
12mo	4v.,tables	572	   1
2fo	52 parts	NA	   1
8vo	2 v., [1] leaf of plates	652	   1
4to	4v.,table	NA	   1
8vo	8pt.	385	   1
4to	4v.,plate,tables	NA	   1
8vo	5v.,tables	1630	   1
12mo	24⁰	478	   1
2fo	4 v. in 8, plates	193.714285714286	   1
2fo	25pts.	NA	   1
2fo	40pts.	NA	   1
2fo	63pts.	NA	   1
2fo	10pts.	NA	   1
2fo	57pts.	NA	   1
8vo	6 parts,plate	385	   1
2fo	89pts.	NA	   1
8vo	v.7-12	1956	   1
4to	7pts.	346	   1
8vo	v.1-3,table	978	   1
8vo	v.1-2,table	652	   1
8vo	5v.,table	1245	   1
8vo	5v.,folding plate	1630	   1
8vo	2v.,plates(1 fold.)	652	   1
18mo	20v.,plates	NA	   1
8vo	Vol. 3-4	652	   1
8vo	Vol.1-2	652	   1
8vo	Vols.3-4	652	   1
4to	[2],42.p,plate	346	   1
2fo	2v., [1] leaf of plates	924	   1
4to	10pt.	346	   1
12mo	V. 1-2	314	   1
24mo	14v.,plates	NA	   1
8vo	3v.,plates(some fold)	978	   1
12mo	v.4	NA	   1
12mo	2v.,table	314	   1
12mo	2v.table	286	   1
8vo	Vols.1,2	652	   1
12mo	2 v. (94, [2]; 87, [1] p.)	314	   1
8vo	v.7-9,plates	978	   1
8vo	v. 1-6,plates	1956	   1
12mo	6v,plates	478	   1
4to	4pts.	346	   1
8vo	21pt.	385	   1
8vo	20pts.	385	   1
8vo	3v.,fold.plates	978	   1
18mo	2v.,plate.	432	   1
8vo	21pts.	385	   1
2fo	106pt.(478p.)	NA	   1
2fo	128pt.(462p.)	NA	   1
2fo	160pt.(502p.)	NA	   1
2fo	87pt.(296p.)	NA	   1
2fo	120pt.(500p.)	NA	   1
2fo	99pt.(370p.)	NA	   1
2fo	101pt.(296p.)	NA	   1
2fo	90pt.(354p.)	NA	   1
2fo	74pt.(328p.)	NA	   1
2fo	96pt.(328p.)	NA	   1
2fo	87pt.(366p.)	NA	   1
2fo	77pt.(256p.)	NA	   1
2fo	62pt.(178p.)	NA	   1
2fo	98pt.(296p.)	NA	   1
2fo	100pt. (292p.)	NA	   1
2fo	76pt.(234p.)	NA	   1
2fo	89pt.(242p.)	NA	   1
2fo	89pt.(224p.)	NA	   1
2fo	17pt.(38p.)	NA	   1
2fo	89pt.(200p.)	NA	   1
2fo	98pt.(216p.)	NA	   1
2fo	136pt.(282p.)	NA	   1
2fo	79pt.(164p.)	NA	   1
2fo	150pt.(318p.)	NA	   1
2fo	96pt.(196p.)	NA	   1
2fo	8pt.(20p.)	NA	   1
2fo	170pt.(348p.)	NA	   1
2fo	142pt.(292p.)	NA	   1
2fo	117pt.(244p.)	NA	   1
2fo	80pt.(170p.)	NA	   1
2fo	106pt.(226p.)	NA	   1
2fo	16pt.(36p.)	NA	   1
2fo	83pt.(180p.)	NA	   1
2fo	146pt.(326p.)	NA	   1
2fo	109pt.(232p.)	NA	   1
12mo	1v.	478	   1
12mo	v.5-6.	286	   1
12mo	2v.,tables	286	   1
12mo	81[ie.80]p.	478	   1
2fo	12pts.,plate	NA	   1
2fo	[4],52.,plates	NA	   1
4to	2 vols.	NA	   1
12mo	viii,232.,plates	478	   1
4to	2v. plates	218	   1
12mo	7v.(2359,[i.e.3359]p.),plates	1001	   1
8vo	2 vols.	652	   1
4to	24pts.	346	   1
4to	12 pts.	346	   1
4to	10pts.	346	   1
8vo	8 pts.	385	   1
8vo	[8],76.,plate	385	   1
8vo	5pts.,plates	385	   1
12mo	5v.	785	   1
8vo	[2],116.,plate	385	   1
8vo	2 v., fold. plates	652	   1
12mo	[12],192.,plate	478	   1
8vo	10pt.,plate	385	   1
8vo	[2].30p.	385	   1
12mo	2v. [1] leaf of plates	286	   1
12mo	6 v., plates	858	   1
12mo	v.3-5,plates	429	   1
12mo	v.1-2,plates	314	   1
4to	[40],580.,plates	346	   1
8vo	2v., fold plates	652	   1
8vo	2v.,plates (2 fold.)	652	   1
8vo	29.[1]p.	385	   1
12mo	2 v. ([4], xvj, 240; [4], 264 p.)	286	   1
12mo	5 v. (vi, 125, [1]; 132; 119, [1]; 122; 114, [2] p.)	715	   1
12mo	11v.	NA	   1
18mo	11v.	NA	   1
8vo	v.2-5,plates	1304	   1
12mo	35v.,plates	5495	   1
8vo	2 v. (xiv, [2], 446; [4], 431, [3] p.)	652	   1
8vo	2 v. ([2], viii, 169, 3; [2], 169, 3 p)	652	   1
12mo	tables	478	   1
12mo	2 v. (21,[1]; 21,[1]p.)	286	   1
8vo	vols. 5-8	1304	   1
12mo	vols.15-16,19-21	286	   1
12mo	vols. 4-8	715	   1
12mo	2 v. ([8], 303, [37]; 286, [2] p.)	286	   1
12mo	2 v. (168; 168 p.)	286	   1
12mo	v.29-30	286	   1
8vo	v.1,plates	NA	   1
8vo	20pts	385	   1
8vo	17 parts	385	   1
12mo	v.1,2,plates	478	   1
8vo	v.5-8,plates	1304	   1
8vo	v.25-46	5478	   1
8vo	2 v. ([2], ix, [1], 256; [2], 203, [1] p.)	652	   1
16mo	1 v.	NA	   1
2fo	1v.,plate	NA	   1
8vo	vols.4-6	978	   1
8vo	18v.,plates	4482	   1
18mo	3v.,plates.	648	   1
12mo	16v.,plate	NA	   1
18mo	v.5-6	432	   1
NA	A slip-song - 'When Fanny blooming fair:'.	NA	   1
12mo	8 parts	478	   1
18mo	7 parts	NA	   1
4to	30v.	3270	   1
4to	30 parts	346	   1
8vo	18pts.,plate	385	   1
12mo	2 v. (117, [1]; xii, 288 p.), plates	286	   1
4to	5pts.,plates	346	   1
4to	1 sheet ([1] p. :ill. (woodcut)	346	   1
8vo	25 v., plates	6225	   1
NA	Drop-head title, dated at head: January 16. 1735. - Concerning a suit brought by John Cuninghame of Enterkine against Lady Enterkine for repairs.	NA	   1
8vo	5v., plates	1630	   1
2fo	4pts. in 7v.,plates	NA	   1
12mo	?	478	   1
8vo	6 v. , plate	1956	   1
4to	2 vols.,plate	NA	   1
12mo	4 v., plate	572	   1
NA	Dated at head: February 7. 1735. - Concerning Colquhoun's administration of the estate of a minor.	NA	   1
12mo	v.12-13,plate	286	   1
12mo	v.3-7	715	   1
12mo	v.7-8,plates	286	   1
12mo	4v,.plates	478	   1
NA	14p.c4⁰.	NA	   1
12mo	35.[1]p.	478	   1
12mo	31 parts	478	   1
8vo	5v.,plates (some fold.)	1245	   1
12mo	2 v. (24, 40, 348, cxxvii, [1]; 24, 40, 268, cxxvii, [5] p.)	286	   1
NA	8p.c12⁰.	NA	   1
8vo	16 pts.	385	   1
8vo	18 parts	385	   1
12mo	2v.,plate	314	   1
8vo	10v.(XLI,[47],4076),plates	3260	   1
8vo	3 v. (455, [1]; 576; 526 p.)	978	   1
8vo	7 parts,plate	385	   1
4to	3v., plates	NA	   1
8vo	13 parts,plates	385	   1
12mo	2 v. ([8], 360; [4], 310, [2] p.)	286	   1
4to	v. 2-3, plates	NA	   1
4to	9v.,plate	NA	   1
12mo	2 v. ([2], 202; 219, [1] p.)	286	   1
24mo	11v.,plates	NA	   1
8vo	132 parts,plates	385	   1
2fo	1 v. (52 pts.)	NA	   1
NA	[2]p.1/2⁰.	NA	   1
2fo	7 parts,plate	NA	   1
2fo	7 parts	NA	   1
NA	36p.12⁰.	NA	   1
NA	36p.8⁰.	NA	   1
4to	20v.,plates	2180	   1
12mo	13 parts	478	   1
NA	[2]p.1/8⁰.	NA	   1
12mo	v.5-7	429	   1
8vo	v.2-6	1630	   1
4to	13 parts,plate	346	   1
8vo	15v.	3735	   1
8vo	vols. 9-12	1304	   1
NA	6v.,plates	NA	   1
12mo	11v.	1727	   1
4to	7v.,plates	763	   1
12mo	v.3,4	286	   1
12mo	v.5,6	286	   1
8vo	51v.	12699	   1
8vo	2v.,XXVI plates	652	   1
4to	3v.,XIX plates	327	   1
12mo	12p.23 leaves	478	   1
4to	v.47-56	1090	   1
24mo	6v.	669	   1
8vo	4v., [2] leaves of plates	1304	   1
2fo	1 sheet ([2] p.) :bill. (woodcuts)	NA	   1
4to	5v.,plates	545	   1
8vo	75v.,plates (ports.)	18675	   1
8vo	14v.	3486	   1
8vo	5v., [2] leaves of plates	1630	   1
8vo	v.1-6	1956	   1
4to	2v.,XVII tables	NA	   1
2fo	30 parts	NA	   1
8vo	16v.,plates	3984	   1
8vo	21v.,plates	5229	   1
12mo	v.1,2	286	   1
12mo	6v.,tables	858	   1
8vo	3v., plate	978	   1
2fo	2 tables	NA	   1
18mo	4 vols.,plates	864	   1
12mo	8 v., plates	1144	   1
8vo	9v.,XXIV plates	2934	   1
12mo	4v., [1] leaf of plates	572	   1
8vo	42[ie.72]p.	385	   1
12mo	24 parts,plate	478	   1
8vo	42v.,plate	10458	   1
24mo	19 parts	NA	   1
4to	7pts	346	   1
4to	v.3-4	NA	   1
4to	8v.,plate	NA	   1
12mo	16[ie.14]p.	478	   1
8vo	3v., fold. plates	978	   1
8vo	42[ie24]p	385	   1
12mo	v. 3-4,plates	286	   1
4to	6pt.,plates	346	   1
8vo	13v.	3237	   1
12mo	13v.	2041	   1
12mo	6pt.	478	   1
2fo	21v.,plates	1017	   1
8vo	x,[2],52.,plate	385	   1
8vo	24 parts	385	   1
2fo	5 v., plates	242.142857142857	   1
12mo	34v.	5338	   1
2fo	29.[1]p.	NA	   1
2fo	1 sheet ([1] p.) : 1 ill.	NA	   1
12mo	8pts.	478	   1
2fo	86 pages, [1] leaf of plates	NA	   1
4to	[2],54.,plates	346	   1
12mo	32v.	5024	   1
8vo	2 v.,plates	498	   1
12mo	27pts.	478	   1
4to	5v., plate	NA	   1
8vo	v.5-7	978	   1
12mo	v.5-8	572	   1
8vo	98p.2 fold.tables	385	   1
4to	48 columns	346	   1
24mo	9v.,plates	1003.5	   1
12mo	2 v. ([2], 148; [ii], [149]-314) p.	286	   1
4to	2 parts (2 v.)	NA	   1
8vo	6 v. of music (142 p.)	1494	   1
8vo	2 v. ([62], 184; [16], 264 p.) [22] leaves of plates	652	   1
NA	Arr. on two staves for voice and keyboard; with a version for the flute.	NA	   1
4to	v. of music (166+ p.)	346	   1
12mo	3 v. (192, 188, 218 p.)	429	   1
2fo	v. of music	NA	   1
2fo	4 p. of music	NA	   1
8vo	2 v. ([6], xl, 325, [1]; [2], 366 p., [18] leaves of plates)	652	   1
18mo	2 v. (35; 35 p., [5] leaves of plates)	432	   1
12long	2 v. (24, 24 p.)	276	   1
12mo	4 v. ([12], xxiii, 371; 336 p.)	572	   1
12mo	2 v. (xxiii, [1], 213, [3]; xi, [1], 202, [2] p., [1] leaf of plates)	286	   1
8vo	2 v. ([4], 286; [4], 320 p.)	652	   1
8vo	2 v. (125 p., IV leaves of plates)	652	   1
12mo	3 v. ([2], 432, [8]; [2], 332, [8]; [2], 392, [8] p., [1] leaf of plates)	429	   1
18mo	5 v.	1080	   1
12mo	2 v. (216, 219 p.)	286	   1
12mo	2 v. (241, 263 p.)	286	   1
12mo	2 v. (p. [1-2], [13]-310; [1]-316)	286	   1
12long	3 v. (72 p.)	414	   1
8vo	2 v. (928 p., [2] leaves of plates)	652	   1
4to	ccvii.+ leaves	346	   1
8vo	b[64] p.	385	   1
NA	4 v. in l. ([xxxvi], 239, [vii]; [xxii], 316, [ii]; [iv], 36; [xxviii], 190, [ii] p.	NA	   1
16mo	ccxxxix. leaves	NA	   1
16mo	1 vol.	NA	   1
8vo	412 l.	385	   1
8vo	unpaged	385	   1
8vo	16 folios	385	   1
NA	s.sh.fol.	NA	   1
2fo	viii. leaves	NA	   1
2fo	[1] pasted sheet ([1] p.)	NA	   1
2fo	[1+] plates	NA	   1
8vo	cclvj leaves	385	   1
16mo	[360] folios	NA	   1
16mo	2 pts bb	NA	   1
2fo	2 v. ([xx], 216, [4] p., plates ; [iv], 217-462, [4] p, plates	924	   1
2fo	[72] leaves of plates ([8] folded)	NA	   1
2fo	[20] engraved plates	NA	   1
4to	38 p. bb	346	   1
NA	1/2⁰.	NA	   1
4to	[244] p. :ill. (woodcuts)	346	   1
2fo	2 v. ([8], 126, [1] leaves, 289, [9], 22, [2], 518, [30], p., 28 leaves, 115, [9] p.; [4], 291-659, 700-981, 990-1593, [1], 1593-1876, [34] p.)	924	   1
4to	35 p.c	346	   1
4to	ca. 1248 p. in various foliations.	346	   1
2fo	xxvi [26, i.e. 52] p.	NA	   1
NA	xviii [18, i.e. 36] p.	NA	   1
2fo	xv [15, i.e. 30] p.	NA	   1
2fo	x [10, i.e. 20] p.	NA	   1
NA	1 v. (various pagings)	NA	   1
2fo	xvii [i.e. 54] p.	NA	   1
2fo	1 sheet ([1] p.) :ill. (woodcut)	NA	   1
8vo	[208] l.	385	   1
8vo	134 l.	385	   1
1to	[4+] p. :ill. (woodcuts)	NA	   1
8vo	2 v. ([22], 747, [1]; [38], 748-1270, [3] p.)	652	   1
2fo	2 v. ([12], 303, [1]; 195, [1]; 335 [i.e. 339], [1]; 263 [i.e. 259], [1]; 335, [1]; [40], 1091, [1] p.)	924	   1
4to	[44] p. plates	346	   1
NA	xxix [i.e. 54] p.	NA	   1
2fo	viii [i.e. 15] p.	NA	   1
2fo	xxxi [i.e. 60] p.	NA	   1
2fo	viij [i.e. 16] p.	NA	   1
NA	9 pts.	NA	   1
8vo	2 v. ([8], 147, [1]; 172; [52]; [8], 56; 147, [1]; [120] leaves)	652	   1
2fo	2 v. ([20], ccccccviii; [27]; [6], cccxxvi, [12] leaves)	924	   1
4to	2 v. (v.1: [10], cxiiii, [2]; [46]; [110] leaves; v.2: [10], xxvi [i.e. 113], [3]; [40] leaves)	NA	   1
2fo	xxvj leaves	NA	   1
2fo	2 v. ([20], 37, [1] p., 38-46 leaves, 47-54 p., 55-66, 65-78, [2], 79-80 leaves, 81-82 p., 83-94 leaves, 95-98 p., 99-116 leaves, 117-120 p., 121-122 leaves, 123-126 p., 127-164, 163-216 leaves, [6], 217-220 p., 221-222 leaves, 223-225, [1] p., 227-228, 227-228 leaves, 227-22 p., 229-246, 245-252, 251-252, 251-262, 261-268 leaves, 269-276 p., 277-278 leaves, 279-282 p., 383-384, 285-338 leaves, 339-342 p., 343-370 leaves, 371-374 p., 375-428 leaves, 427-428 p., 429-442, 441-462 leaves, [4] p.)	924	   1
2fo	2 vol. ([44], 1200 [i.e. 1196], [28]; [20], 708, [8], 85, [3] p.)	924	   1
2fo	3 v. (vol. 1: [10], 250; [4], 202, [2] p.; vol. 2: 61, [13], 183, [1]; 421, 424-430, 436-438, 431-433, 439-445, 450-464, [56] p.; vol. 3: [8], 1080, 1080-1327, [2], 1332-1371, 1371-1421, 1490-1491, 1536-1555, 1574-1592, [62] p.)	1386	   1
2fo	2 v. ([1], 379; [1], 128; [1], 207 leaves)	924	   1
2fo	3 v. ([1], CClxxxvii; [1], CCix, CCxi-CClxxiiii; CxCii, CxCiiii-CCxxxi leaves)	1386	   1
8vo	6 parts	385	   1
2fo	1 map on two plates	NA	   1
4to	3 v. ([244]; 150, [2], 70, [2], 71, [9], 96, 105-238, [2] p.)	327	   1
2fo	3 v. ([2], 177, [1]; [4], 196; [4], 225, [3] p.)	1386	   1
2fo	xvj leaves	NA	   1
4to	a-t leaves	346	   1
2fo	3 v. ([12], 8, [4], 11-554, [3], 556-779, [17]; [14], 727, [29]; [10], 264, [14], 206, [14], 207-370, [10], 371-409, [7], 411-427, [7], 429-439, [5], 441-463, [5], 465-477, [9], 479-605, [11], 607-652, [2], 953 [i.e. 653]-667, [9], 669-700, [16] p., [6] tables (1 folded))	1386	   1
2fo	2 1/2 p.	NA	   1
4to	2 v. ([28], 784, [6]; 936, [8] p.)	NA	   1
8vo	3 v. (v.1: [72], 658, [32] p.; v.2: [144], 530, [14]; 237, [1] p.; v.3: [116], 465, [21]; 370, [2] p.)	978	   1
2fo	4 v. (v.1: [36], 186, [10], 468, 479-642, 645-748, [24] p. (first leaf blank), [2] leaves of plates (1 folded); v.2: [4], 749-857, 860-1270, 1269-1860, [40] p.; v.3: [28], 668, 699-1006, 1009-1140, [68] p., [3] folded leaves of plates; v.4: [8], 1141-1234, 1237-1973 , [41] p. [2] folded leaves of plates)	1848	   1
4to	[4] lxxiiij leaves	346	   1
2fo	lj leaves	NA	   1
2fo	lxx. leaves	NA	   1
2fo	xiii [xiiii] leaves	NA	   1
NA	[36] p.c8⁰.	NA	   1
4to	[232] l.	346	   1
2fo	3 v. ([14], 300 [i.e. 306], [2]; [14], 324, [2]; [10], 206 [i.e. 225], [3] p.]	1386	   1
2fo	3 v. (Vol. 1: [21], xxvii, xxix-xcvi, [1], xcvii-cxliii, [1], cxliiii-clxix, [1], clxx-clxxxxviii, [1], clxxxxix-ccxxiiii, [1], ccxxv-cclxiii, cclxiii-cclxxiii, cclxxix-cclxxv, cclxxv-cclxxvi, cclxxvi-cccxvi, ccc.xviii-ccc.xlviii, ccc.xlv-cccxlvii, ccclii-cccclx, cccclxxi-ccccclviii, [2], CCCCClxj-CCCCC.xcvi, CCCCC.xcvi-D.c, DC.ii-DClix, DClxi-DClxvi, DClxviii-DCLxxviii leaves; vol. 2: xxvii, xxvii-lxxx, lxxxx-cliii, clv-cclxxxiii, [1], cclxxxiiii-cclxxxxix leaves; vol. 3: [7], cxxii, cxxiiii-cxxvii, cxxvii-cxxx, [2], cxlv-clxxxviij, lxxxx [i.e. clxxxx]-ccxxiii, ccxxiii-cccccxxi leaves)	1386	   1
2fo	2 v. ([8], 286; 215 [i.e. 217], [1]; [4], 261, [1]; 192, [2]; [2], 11 [i.e. 12], 12, [2] leaves)	924	   1
2fo	2 v. ([6], 127, 146-210, [2]; [14], 134, 137-187 [i.e. 188] leaves)	924	   1
4to	CC.v leaves	346	   1
NA	[C.lxxxvi] leaves	NA	   1
4to	cxix [21] p.	346	   1
2fo	2 v., plate	924	   1
NA	octavo.	NA	   1
NA	1 map.	NA	   1
2fo	1 sheet ([1] p.) :ill. (woodcuts)	NA	   1
8vo	[16] p. :ill. (woodcut, table)	385	   1
8vo	{16] p.	385	   1
NA	[octavo]	NA	   1
4to	[24] p. 31 leaves of plates	346	   1
8vo	12 p. (extent of DFo copy)	385	   1
4to	30 engraved plates	346	   1
2fo	8 p. : coat of arms.	NA	   1
48mo	[No pagination provided]	NA	   1
2fo	[fewer than 50 pages]	NA	   1
18mo	NA	NA	   1
8vo	3 v., plates (front.)	978	   1
8vo	[Pagination not given]	385	   1
4to	1 sheet ([1] p.) : ill. (woodcut)	346	   1
8vo	in 4s	385	   1
NA	sixes	NA	   1
12long	[ii] 12 p.	226	   1
16mo	1 p.l., 3 col. plates, 129 col. maps (part. fold.)	NA	   1
1to	1 sheet ([1] p.) :ill., (woodcuts)	NA	   1
2fo	6 pts.	NA	   1
24mo	? p.	NA	   1
NA	1 sheet ([1] p.) : 1/4⁰.	NA	   1
NA	1⁰.	NA	   1
8vo	3 vol.	978	   1
4to	18 engraved plates	346	   1
4to	2 leaves of plates	346	   1
NA	[12] leaves of plates (1 folded)	NA	   1
NA	coctavo	NA	   1
1to	1 sheeet ([1] p.)	NA	   1
2fo	1 sheet ([2] recto p.)	NA	   1
NA	c8⁰.	NA	   1
1to	[No pagination recorded]	NA	   1
24mo	NA	NA	   1
1to	1 sheet 9[1] p.)	NA	   1
8vo	[Pagination not provided]	385	   1
NA	12⁰.	NA	   1
8vo	p.	385	   1
16mo	NA	NA	   1
2fo	1 sheet ([1] p.) :bill. (woodcuts)	NA	   1
12mo	23v.	NA	   1
NA	1 sheet ([1] p.).m.	NA	   1
NA	2 ¹.	NA	   1
2fo	2 v. in 1 ([xxii], 444, [ii] 192 p.)	924	   1
2fo	6 maps.	NA	   1
NA	2 l.	NA	   1
NA	[34] leaves of plates (2 folded)	NA	   1
8vo	[24] p. :bill. (woodcut)	385	   1
1to	1 sheet +	NA	   1
4to	357 p. in various paginations.	346	   1
4to	1 v. ([16], 394, [2], 26, 49, [3] p.)	346	   1
2fo	2 v. ([4], 956 p. ; [2], 957-1767, [221] p.)	924	   1
1to	1 sheet ([1] p.) :b.ill.	NA	   1
2fo	1 v. [1172] p.	NA	   1
8vo	2 v. ([42], 134, 200; [2], 88, 208, 77, [1] p.)	652	   1
2fo	2 v. ([26], 892 [i.e. 884]; [2], 893-1133, 1142-1519, 1518-1666 p.)	924	   1
2fo	1 sheet ([1] pg.)	NA	   1
4to	[ ]	346	   1
1to	Two sheets (versos blank)	NA	   1
NA	Date of publication from Wing.	NA	   1
NA	1 sheet ([1] p.)1/2⁰.	NA	   1
8vo	2 v. ([16], 176, 168-173, [2], 178; 39, [1] p.)	652	   1
12mo	2 v. (168, 189-450 [i.e. 440], [4]; 508 p.)	286	   1
2fo	4 v. ([4],21,[1],21,[1],21,[1],21,[1] p.)	1848	   1
8vo	4 v. (v.1: [28], 128, 139-482, [12] p., 9 plates (1 folded) v.2: [12], 523, [9] p., 7 plates. v.3: [16], 552, [8] p., 5 plates; v.4: [14], 365, [3]; [4], 122, [2] p.)	1304	   1
8vo	39 (i.e. 51) p.	385	   1
8vo	2 v. ([120], 303, [1]; [4], 231, [1], 163 [i.e. 363], [1] p., [2] folded leaves of plates)	652	   1
NA	16 p.4⁰.	NA	   1
