volumes	parts	pages.original	count
1	NA	[4],202p.	1
1	NA	4,2p.	1
1	NA	[4],147,[1]p.	1
1	NA	vi,[2],111,[1]p.	1
1	NA	iv,196p.,table	1
1	NA	[4],413,[7]p.	1
2	NA	2v.,plate,table	1
1	NA	[12],467,[1]p.,plate	1
1	NA	[2],63,[1],xxv,[1]p.,table	1
1	NA	[4],144p.	1
1	NA	[4],22[i.e.30],[2]p.	1
1	NA	xi,[1],96p.	1
NA	NA	v. 4.([8],402,[6]p.)	1
NA	NA	v.4.([6],402,[6]p.),plate	1
NA	NA	v.4([8],416,403-404,[6]p.), plate	1
NA	NA	v.2([14],560,[8]p.)	1
NA	NA	v.2([14],560p,plate)	1
NA	NA	v.5 ([10],425,[23]p.), plate	1
NA	NA	v.5 ([10],425,[7]p.), plate	1
NA	NA	v. 5([10],425,[7]p.)	1
NA	NA	v.3([14],381,[19]p.)	1
NA	NA	v.1. ([22],452,[20]p.),plate	1
1	NA	[12],139,[1]p.	1
1	NA	LVI,383,[1]p.,table	1
1	NA	[10],42,45-88p.	1
1	NA	152p.,plate	1
1	NA	viii,7-150p.	1
1	NA	[2],5-141,[1]p.	1
1	NA	[4],149,[3]p.	1
1	NA	36,33-40,45-48p.	1
1	NA	[2], 68, [2] p.	1
1	NA	iv,10p.,plate	1
1	NA	29,[7]p.	1
1	NA	[14],168p.,plate	1
1	NA	[2],44,[i.e.48];[2]p.	1
1	NA	xv,[1],120p.	1
1	NA	[4],81,[1]p.	1
10	NA	10v.,plate	1
1	NA	x,[1],36-44p.	1
1	NA	[2],4,[2],11,[1]p.	1
1	NA	vi,61,[1]p.	1
1	NA	[4],viii,279,[1]p.	1
1	NA	viii,95,[1]p.	1
1	NA	[2],57,[3]p.	1
1	NA	[12], 80, 93-112, 3, [1] p.	1
1	NA	25[i.e.34],[2]p.	1
1	NA	[4],ii,[1],6-34;[4],9-48p.	1
1	NA	102,[2]p.,plate	1
1	NA	[8],47,[17]p.	1
1	NA	[54],176p.	1
1	NA	[6],383,[1]p.,plates	1
NA	NA	v.1([2],xxiv,228,184p.),plate	1
1	NA	[4],229,[1]p.	1
1	NA	[4],xxxi,[1],4,199,[11]p.	1
1	NA	[4],572,[32]p.,plates	1
1	NA	[2],lxxii,247,[3]p.	1
1	NA	[16],xxxiv,412,[2]p.	1
1	NA	[4],69,[1]p.	1
1	NA	[4],iii,[1],48p.	1
1	NA	[8],3-146;158p.,plates	1
1	NA	[12],3-146;158p.,plates	1
1	NA	18,[2],xxxix,[1]p.	1
1	NA	xvi,447,[7]p.,plates,table	1
1	NA	xx,538,[8]p.,plates	1
1	NA	vii,[5],312,[1],122-144,337-400,[2]p.	1
1	NA	[2],vi,207,[1]p.	1
1	NA	[4],60,57-76;164;64;175-196p.	1
1	NA	[2],iv,[1],4-240p.	1
1	NA	[2],396p.	1
1	NA	[2],iii,[11],324,[2]p.,VII plates	1
1	NA	xvi,184,[2]p.,plate	1
1	NA	vii,[5],312,[1],122-144,337-400p.	1
1	NA	xiii,[1],311,[1],14,[20]p.,plates	1
1	NA	viii,225,[1]p.,plates	1
1	NA	[4],iv,334,[2]p.	1
1	NA	[2],vii,[1],81,[1]p.,plates	1
1	NA	[2],ix,[1],108p.	1
1	NA	77,[3];15,[1]p.	1
1	NA	vi,34p.	1
1	NA	31,[1],iii,[1]p.	1
1	NA	[4],xi,[1],224p.	1
1	NA	[2],5-33,[1]p.	1
1	NA	xvi,308,[2]p.,plate	1
1	NA	xii,[4],632p.	1
1	NA	184;83,[1]p.,table	1
1	NA	xvii,[1],379,[1]p.,plate	1
1	NA	65,2v.	1
1	NA	[28],xxxvi,231,[1];[2],314,[2]p.	1
NA	NA	v.5 (451.[1]p.),plates	1
NA	NA	v.4 (535,[1]p.),plates	1
1	NA	XLVI,[2],444,[4]p.	1
1	NA	viii,329,[3]p.	1
1	NA	[2],112,105-124p.	1
1	NA	195,[1]p.	1
1	NA	[16],205,[8],116-163[i.e.162],23,178-216,[84]p.	1
1	NA	[12],723,[21]p.	1
1	NA	[24],424,[16]p.	1
1	NA	xxii,167,[1]p.	1
1	NA	[16],120,113-160,169-692,[24]p.,plate	1
1	NA	[8],45,[1],6,540,[2],22,56,57,[1],65,[1],32,33,[1]p.,plate	1
1	NA	[4],xxiii,[1],412p.,plate	1
1	NA	xviii,456,[2]p.,plate	1
2	NA	2v.(xxxii,792,[4]p.)	1
1	NA	xviii,[2],252p.	1
1	NA	210[i.e.110]p	1
1	NA	[4],67,68*-73*,68-90p.,III plates	1
1	NA	[4],382p.,plate,table	1
1	NA	VIII,144p.	1
1	NA	[12],176p.	1
1	NA	612,[16]p.	1
1	NA	xii,[2],632p.	1
1	NA	[16],333,[19]p.	1
1	NA	[4],xxviii,313,[1]p.	1
1	NA	[2],333,[19]p.	1
1	NA	[10],556,[2]p.plates	1
2	NA	2v.(CIII,[1],919,[1]p.)	1
1	NA	[10],408,xl p., plate	1
17	NA	v.1-17,plates	1
1	NA	Pp.9-10	1
1	NA	51,[5]p.	1
1	NA	xiv,[3],xxvii,[1],153,[1]p.	1
1	NA	vii,[1],xix,[1],226,[2]p.,III plates	1
1	NA	[8],690,[2]p.,plates	1
1	NA	[4],iv,71,[1]p.	1
1	NA	xx,280,[4]p.,plate	1
1	NA	viii,464,[4]p.,plates	1
1	NA	[4],420,[10]p.,plate	1
1	NA	iv,224p.	1
1	NA	xix,[1];xxvii,[1],153,[1];99,[1];[4],iv,71,[1]p.	1
1	NA	xi,[1],126p.	1
1	NA	[28],212p.	1
1	NA	viii,304,295-331,[1];v,[1],34p.	1
1	NA	xiv,ix-316p.	1
1	NA	xii,166,124,[2]p.,plates	1
1	NA	[8],204,[4]p.	1
1	NA	[6],viii,108p.	1
1	NA	[21],vi-xlviii,248,[20]p.,plate,table	1
1	NA	xii,[4],463,[1]p.	1
1	NA	xxii,137,[9]p.	1
1	NA	[16],376,[32]p.	1
1	NA	[2],iv,81,[7]p.,plates	1
1	NA	xlix-liip.	1
1	NA	50p.,table	1
1	NA	29,[101]p.	1
1	NA	22,[2];[196]p.	1
1	NA	x,[1],xvi-xxx[i.e.xxxiv],104,41,[1]p.,plate	1
1	NA	[2],2862;2070p.,tables	1
1	NA	xii,439,[5]p.	1
1	NA	xi,[5],375,[1]p.,plate	1
1	NA	[4],132;viii,132;55,[1]p.	1
1	NA	[20],232p.	1
1	NA	[40],198,[2]p.	1
1	NA	xvi,371,[3]p.	1
1	NA	[4],16,21-40p.	1
1	NA	[7],iv,[11],197,[12],202-237,[1]p.,plates	1
1	NA	xxi,[1],601,[1],50p.,plates	1
1	NA	46,[196]p.,tables	1
1	NA	20,[12]p.	1
1	NA	[6],xviii,[2],407,[1],344,[8]p.,plate	1
1	NA	[4],iii,[1],x,741,[27]p.	1
2	NA	2v.([4],x,741,[25],iii,[4],744-853,[1]p.)	1
1	NA	[2],iii,[1],146p.	1
2	NA	2v.(li,[13],839,[1]p.,table)	1
2	NA	2v.(li,[13],839,[1]p.,tables)	1
1	NA	18[i.e.418]p.	1
1	NA	[4],48,31,[1]p.	1
1	NA	[6],231,[3]p.	1
1	NA	[10],626,[164]p.	1
1	NA	[2],cxi,[17],401,[55]p.	1
1	NA	[24],224,*225-*248,225-435,440-591,[1];63,[1];24p.	1
NA	NA	v.3([40],624;274;88p.)	1
1	NA	[14],134p.	1
1	NA	[9],8-259,[5]p.	1
1	NA	xiv,[2],368p.	1
1	NA	iv,241,[3]p.	1
NA	NA	v.1([2],2,309,[3]p.)	1
1	NA	xvi,300p.,plates	1
1	NA	[2],423,[5]p.,plates	1
1	NA	[4],356p.,plate	1
1	NA	[4],402,[2]p.	1
1	NA	[8],359,[21]p.,plate	1
2	NA	2v.(CXCI,[1],736p.)	1
1	NA	[4],37,[39]p.	1
3	NA	3 v., plate	1
1	NA	[34],160,163-210,111-118p.	1
1	NA	[32], 160, 163-210, 111-118 p.	1
1	NA	[2],101,[3],103-178,[4]p.,plate	1
1	NA	[4],403,[1];[16],dxciii[i.e. dlxciii],[1]p.	1
1	NA	84,22p.,plates	1
1	NA	vi,[2],13,[3],370p.,plates,tables	1
1	NA	xv,[1],296p.,plates	1
1	NA	[4],iv,44p.	1
1	NA	viii,[8],509,[1]p.	1
1	NA	viii,59,[1];155,[2],154-186,[1],186-232;211,[1]p.	1
1	NA	[16],196;281,[1]p.	1
2	NA	2v.([34],502,[18]p.,plates)	1
1	NA	viii,622p.	1
1	NA	[2],640p.	1
1	NA	x,322p.,plates	1
1	NA	vii,[1],374,[8];[4],222p.,plates	1
1	NA	vii,[1],374,[8],222p.,plates	1
1	NA	18,2p.	1
1	NA	[6],734,[16]p.	1
1	NA	xxiv,711,[1]p.	1
1	NA	[4],viii,iv,[152],468p.	1
1	NA	xvi,352p.,plate	1
1	NA	[4],x,265,[5]p.	1
1	NA	xv,[1],134,[2]p.,2plates	1
1	NA	xvi,466,[2]p.	1
1	NA	viii,viii,608p.	1
1	NA	xii,276p.	1
1	NA	[2],iv,ii,xviii,261,[1]p.	1
1	NA	[3],94,[1]p.,plate	1
1	NA	[8],CCXXXII,[8],248,104,[8]p.	1
1	NA	[4],335,[1]p.	1
1	NA	xv,[1],504p.	1
1	NA	8p.,plate	1
1	NA	6,[3],1p.	1
1	NA	[16],200,xlvi,xlix-lvi,24p.,plate	1
1	NA	[10],viii,4,[2],877,[7]p.,plates	1
1	NA	[10],8,iii,[3],84,81-84,85-362,[200],[363]-410;52,[3],44-49,[17];[ 2],lixp.	1
1	NA	[8],8,iv,[4],84,81-84,85-400;49,[17];[2],lix,[1]p.	1
NA	NA	v.1(xvi,672p.)	1
1	NA	464,12p.	1
1	NA	xviii,243,[1],53,[1]p.	1
1	NA	viii,184,183-366,[8]p.	1
1	NA	202,[2]p.	1
1	NA	xiii,[3],xxxii,270;15,[1];48;xix,[1]p.,plates	1
1	NA	[8],360[i.e.364]p.,plates	1
1	NA	iv[i.e. vi],331,[5]p.,plate	1
1	NA	[44],224p.	1
1	NA	[4],viii,178,[2]p.	1
1	NA	xi,[1],422p.	1
1	NA	xii,471,[1]p.	1
1	NA	xi,[1],468p.	1
1	NA	xii,254,[2]p.	1
1	NA	[2],iii,[13],324p.,vii plates	1
1	NA	[10],702,[14]p.	1
1	NA	[16],13-248,[12]p.	1
1	NA	384p.,plate	1
1	NA	[4],lxix,[1],510,[26]p.plate	1
1	NA	[4],270,[2]p.	1
1	NA	[42],xlii,396,[16]p.,table	1
1	NA	viii;vi,108;334,5,[1]p.	1
1	NA	viii,280p.,plates	1
1	NA	[8], 95, [1]; 90, [2] p.	1
1	NA	xv,[1],506,[2]p.	1
1	NA	xiv,346p.	1
1	NA	xv,[1],502,ivp.	1
1	NA	[4],183,[1]p.,fold.table	1
11	NA	11v.	1
1	NA	186,[6]p.	1
1	NA	viii,264,257-278p.	1
1	NA	[4],xx,333,[19]p.	1
1	NA	[2],18;11,[1];39,[3]p.	1
1	NA	[4],lxx,510,[24]p.,plate	1
1	NA	[8],LXXXVI,[4],432,[4]p.	1
1	NA	[4],vi,[2],102;28p.	1
1	NA	[9],12-46p.	1
1	NA	xiv,148,148*-*151,149-712p.	1
1	NA	[2],935-1024,[4]p.	1
1	NA	[8],271,[1]p.	1
1	NA	[2],1107-1217,[1]p.	1
1	NA	[2],769-838p.	1
1	NA	[2],841-931,[3]p.	1
1	NA	[4],1025-1106p.	1
1	NA	xxv,[3],50p.	1
1	NA	[16],vi,570p.	1
1	NA	[12],156;160p.	1
1	NA	viii,xv,[1],252,[4]p.	1
1	NA	xii,66,[2]p.	1
1	NA	iii,[1],lviii,456p.	1
1	NA	lxxi,[1],128p.	1
1	NA	[22],246,20p.	1
1	NA	[2],lviii,[12],352,361-376,369-392p.	1
1	NA	iv,7-204,[2]p.	1
1	NA	[2],153,[1]p.	1
1	NA	[2],248p.	1
1	NA	[1],iv-xii,176p.	1
NA	NA	v.12 (460,vii,[1],civ p.),plates	1
NA	NA	v.11 (679,[1]p.),plates	1
NA	NA	v.10 ([2],545,[1]p.)	1
NA	NA	v.9 (524p.)	1
NA	NA	v.7 ([2],590p.),plates	1
NA	NA	v.6 (590,[2]p.),plate	1
NA	NA	v.5 (451,[1]p.),plates	1
15	NA	15v.,plates	1
NA	NA	v.1 ([14],168,175-434p.),plates	1
1	NA	xxiv,528,[2]p.	1
1	NA	[22],439,[1]p.,plate	1
1	NA	xix,[1],363,[1]p.	1
1	NA	[30],393,[23]p.,plates	1
1	NA	xi,[1],564p.	1
1	NA	[56],800,[34]p.,plates	1
1	NA	[54],800,[32]p.,plates	1
1	NA	xxvi,457,[29]p.	1
1	NA	[2],iv,[3],x-xvi,36;[4],64;[4],95,[1];iv,140p.	1
1	NA	60,[2],95-100;3-31,[1]p.	1
1	NA	[4],65,[1]p.	1
1	NA	[8],255,[25]p.,plates	1
1	NA	[4],xxxv,[1],504,[16]p.	1
1	NA	[8],clxxxiv,259,[1]p.	1
1	NA	[4],92p.,plate	1
1	NA	[3],6-72p.,plate	1
1	NA	vii,[1],117,[1]p.	1
1	NA	x,[2],346p.	1
1	NA	[4], viii, 188; [4], 151, [1]; [2], 198; [2], 194, [2] p.	1
1	NA	vii,[2],6-106p.	1
1	NA	[4],148,[4]p.	1
1	NA	[4],195,[1],28,[1],26-28p.,plates	1
1	NA	13,[12],18-820p.	1
1	NA	212,[2]p.	1
8	NA	8v.plates	1
1	NA	vi,[2],282,[2]p.	1
1	NA	xii,674,[1],654-656,667-677,[3]p.,plates	1
1	NA	[2],75,[1];51,[5]p.,plate	1
1	NA	[24], 424, [2] p.	1
1	NA	[12],440,451-598,[28]p.,plates	1
1	NA	x,194p.	1
1	NA	[2],235,[1]p.	1
1	NA	viii,50p.,plate	1
1	NA	xii,656,667-677,[1]p.,plates	1
1	NA	[10];x,[2],60;[10],72;[2],75,[1];51,[5]p.	1
1	NA	xii,[4],190,[2]p.	1
1	NA	427,[1]p.	1
1	NA	[2],202,[12]p.	1
1	NA	[2],202p.	1
1	NA	[8],520,xix,[1]p.	1
1	NA	[8],455,[1],xxvii,[1]p.	1
1	NA	iv,248p.	1
1	NA	[2],ii,[1],54,54,[1]p.	1
1	NA	[2],40,[3],42-68p.	1
1	NA	[8],348p.,plates	1
1	NA	[2],52,[2],53-104,[2]p.,plate	1
1	NA	[26],343,[21]p.,plate	1
1	NA	52,[2]p.,plate	1
1	NA	99,[1]p	1
1	NA	xii,[2],545,[1]p.	1
1	NA	[6],85,[1]p.	1
1	NA	[16],96p.	1
3	NA	v.19-21	1
30	NA	30v.	1
1	NA	Pp.119-134	1
1	NA	[2],xli,[1],534p.	1
1	NA	49*-96*p.	1
1	NA	Pp.63*-*66	1
1	NA	24p.,plates	1
1	NA	[8],xxxvi,387,[1]p.,plates	1
1	NA	Pp.113-126;plates	1
1	NA	Pp.57*-*62	1
1	NA	[4],xxix,[9],272,[28]p.	1
1	NA	[4],397,[3]p.	1
1	NA	xxxii,[8],194,[4]p.	1
NA	NA	v.3 ([2],412,xii,xiip.),plate	1
1	NA	[2],248p.,plate	1
1	NA	[14],670,[20]p.	1
1	NA	[8],624,[8]p.	1
1	NA	[16],515,[13]p.	1
1	NA	40,15,[1]p.	1
1	NA	[6],423,[1];8p.	1
1	NA	[4],cxc,[16]p.	1
3	NA	3v.(viii,[24],222,[2];1318p.)	1
1	NA	[32],118[i.e.218]p.	1
1	NA	iv,46,36p.	1
2	NA	Vols.8-9,plates	1
3	NA	Vols.1-3,5-7,plates	1
NA	NA	Vol.4, plates	1
1	NA	[2],274,iv,40,22p.,plates	1
2	NA	Vols.6-7,9-12,plates	1
NA	NA	v.1 (xxxii,511,[1]p.),plates	1
1	NA	[4],413,[3],*415-*417,[1],417-459,[5]p.	1
1	NA	[2],14;[4],85,[1];[4],92;[4],96;[4],165[i.e. 167],[1]p.,tables	1
1	NA	[2],viii,216p.,plates	1
1	NA	[20],260,[8]p.,plates	1
1	NA	3-5,[1]p.	1
1	NA	[22],188,193-196,193-624,[8]p.	1
1	NA	xx,813,[1]p.	1
1	NA	xiv,362p.,plate	1
1	NA	[4],17,[3]p.	1
1	NA	[34],509,[3]p.	1
1	NA	xvi,310p.	1
2	NA	2v.([2],vi,x,[2],712,xv,[1]p.),plate	1
1	NA	xviii,[2],323,[1]p.,plates	1
1	NA	[2],iv,[2],323,[1]p.,plate	1
1	NA	xii,507,[1]p.	1
1	NA	[4],132p.	1
1	NA	[8],120;112p.	1
1	NA	vii,[1],148p.,plate	1
1	NA	486p.,plate	1
1	NA	xi,[1],247,[1]p.,plates	1
1	NA	[2],32;32p.	1
1	NA	[8], 152 p., 5 leaves of plates	1
1	NA	[4], 233, [3] p., 4 folded leaves of plates	1
1	NA	xx,551,[3]p.	1
1	NA	xiv,[2],176,177*-184*,177-483,[1]p.	1
1	NA	xvi,155,[6],clxii-clxxvi,[8],177-368,[40]p.	1
1	NA	[4],67[i.e.76]p.,plates	1
1	NA	[12],viii,[4],383,[1]p.,plates	1
1	NA	xi,[5],357,[3]p.,plates	1
1	NA	[6],234;110p.	1
1	NA	xxii,[2],420,[8],46p.,table	1
1	NA	v,[3],82,[ie 81],[1]p.,plates	1
1	NA	[4],156p.	1
1	NA	iv,265,[19]p.	1
1	NA	[2],xxv,[9],428,[2]p.,plates	1
3	NA	3v.([4],xliv[i.e.xliii],[1],1875,[1]p.),plates	1
1	NA	[8],219,[1];[2],120,[2]p.,plate	1
1	NA	viii,74,[2];[2],xi,[1],3-94,73*-77*,[3]p.,plates	1
1	NA	[2],xi,[1],3-94,73*-77*,[3]p.,plate	1
1	NA	32p.,table	1
1	NA	52p.,table	1
1	NA	18;[2],xxxix,[1]p.	1
1	NA	[2],iv,[1],4-109[i.e.117],[1]p.,plate	1
1	NA	xii,383,[5]p.	1
1	NA	xxvii,[1],674,[2]p.	1
1	NA	221,[3]p.,plate	1
1	NA	[12],242,[14]p.,plate	1
1	NA	[26],347,[33]p,plate	1
1	NA	XL,236p.,plates	1
1	NA	[4],xxxiv,537,[5]p.	1
1	NA	xxviii,755,[1]p.	1
1	NA	xvi,502,[2]p.	1
1	NA	vi,135,[1]p.	1
1	NA	v,[3],viii,106,107*-108*,107-488p.	1
1	NA	[6],5,[1],13,[5],13,[3],20p.	1
1	NA	xvi,300p.	1
1	NA	[8],xvi,111,[46],114-314,[6]p.,table	1
1	NA	XXXVI,236p.,plates	1
1	NA	Pp.[14],52,293,[1],103,[1],plates	1
1	NA	[6],519,[1]p.	1
1	NA	[10],v-792,4p.,plates	1
1	NA	iv,80p.	1
1	NA	108,[4]p.	1
1	NA	xv,[1],112p.	1
1	NA	x,viii,670,viii,plate	1
1	NA	[4],464p.	1
1	NA	[4],vii-xii,[4],222p.,plates	1
1	NA	[2],iv,815,[5]p.,plates	1
1	NA	[4],713,[3]p.,plates	1
1	NA	[6],717,[1]p.,plates	1
1	NA	[2],5-24p.	1
1	NA	[12],275,[1]p.	1
1	NA	x,[2],268,[4]p.	1
1	NA	33[i.e.37],[1]p.	1
1	NA	[8],55,[1]p.	1
1	NA	[2],ii,[4],192p.	1
1	NA	[16],192p.,plates,table	1
1	NA	[2],viii,335,[1]p.	1
1	NA	xii,254,[2]p.,plate	1
1	NA	[4],iv,446,[2]p.	1
1	NA	[4],887,[11]p.,plates	1
1	NA	[16],271,[9]p.	1
1	NA	[8],188,88p.	1
1	NA	[8],228,[20]p.	1
1	NA	xxviii,164,[92]p.,plate	1
1	NA	[8],62,[2],551,[17]p.,plates	1
1	NA	[16],84[i.e.106],[22]p.	1
1	NA	iv,155,[1]p.	1
1	NA	[2],iv,60;105,[7]p.,plates	1
1	NA	xii,[2],304,[34]p.	1
1	NA	[6],304,[34]p.	1
1	NA	[14],144,129-255,[1]p.	1
1	NA	[2],238p.,plates	1
20	NA	20v.	1
1	NA	[2],iv,284p.,plates	1
1	NA	[28],404p.,plate	1
1	NA	[30],404p.,plate	1
1	NA	viii,160p.,plates	1
1	NA	[6],127,[1]p.	1
1	NA	[6],86;[2],31,[1]p.	1
1	NA	xvi,214,[2]p.	1
1	NA	[4],11,[1]p., plate	1
1	NA	[16],263,[9]p.	1
1	NA	[16],1150,[34]p.,plates	1
2	NA	2v.([24],699,[53]p.),plate	1
1	NA	[2],434,[11],444-600p.,plates	1
1	NA	[16],214,[26]p.	1
1	NA	149,[17]p.	1
1	NA	[4],182,[2]p.	1
1	NA	[2],iv,130p.	1
1	NA	[7],x-xii,274,[2]p.	1
1	NA	219,[21]p.	1
1	NA	[16],253,[19]p.	1
1	NA	[8],173,[15]p.	1
1	NA	[4],284;80,65-71,[3],100[i.e.104];285-304p.	1
1	NA	xxii,363,[3]p.	1
1	NA	205,[1]p.	1
1	NA	[4],500,[20]p.	1
1	NA	[20],406,[2]p.	1
1	NA	xiv,[2]p.	1
1	NA	viii,363,[5]p.,plates	1
1	NA	xl,459,[1]p.	1
1	NA	[2],xxiv,374p.	1
2	NA	2v.,plates.	1
1	NA	37,[11]p.	1
1	NA	xi,[1],191,[1]p.	1
1	NA	11,[1],272p.,plates	1
1	NA	viii,275,[7]p.	1
1	NA	94p.,plates	1
1	NA	[6],560p.,87plates	1
1	NA	xvi,478,[2]p.	1
1	NA	viii,277[i.e.247],[1]p.	1
1	NA	[8],550p.	1
1	NA	[16],279,[1]p.	1
4	NA	4 v., 1 plate	1
1	NA	[2],xviii,294p.	1
1	NA	xvi,245,[1]p.,plate	1
2	NA	2v.([2],4,[2],v-xv,[1],460p.),plates	1
1	NA	241,[7]p.	1
1	NA	[4],xxiv,813,[3],827-1058,[36],v,[1],220,[6]p.	1
1	NA	16,[8]p.	1
1	NA	283,[5]p.	1
1	NA	[12],civ,335,[21]p.,86 plates	1
1	NA	[22],422,[22]p.,plates	1
1	NA	[4],751,[5];96,[34]p.,plates	1
1	NA	[24],422,[22]p.,plates	1
1	NA	[2],506,[14]p.,plates	1
1	NA	[4],498p.	1
1	NA	[4],378,[14]p.	1
1	NA	vi,490,[128]p.,plates	1
1	NA	[2],34,[2],752[i.e.751],[1];96,[34]p.,plates	1
1	NA	viii,96p.,plate	1
1	NA	xi,[1],170,[2]p.,plate	1
1	NA	ix,[1],165,[1]p.,plate	1
1	NA	116,[4]p.	1
1	NA	[2],74p.,plate	1
1	NA	[4],viii,[4],902,[42]p.,plates	1
1	NA	[4],80;[2],110p.	1
1	NA	[2], 65-70 p.	1
1	NA	[4],871,[5]p.,plates	1
1	NA	[6],lxi,[1],862p.	1
1	NA	620, [14] p., plates	1
1	NA	Pp.[3],6-610,[14],plates	1
1	NA	viii,128p.	1
1	NA	viii,425,[7]p.	1
1	NA	8,232p.,plates	1
1	NA	viii,398,[2]p.	1
1	NA	xv,[1],272,[1],276-460p.,plates	1
1	NA	[2],ii,44p.	1
1	NA	[10],xii,406,409-572,575-648,[18]p.	1
1	NA	viii,[6],640,617-728,719-808,[24]p.	1
1	NA	xv,[1],208,207-328,[6]p.	1
1	NA	xiv,123,[5],90p.,plates	1
1	NA	xvi,123,[5],90p.,plates	1
1	NA	186p.,plates	1
1	NA	[2],iv,[2],136p.,plates	1
1	NA	[8],172p.,plates	1
1	NA	[9],14-184p.,plates	1
1	NA	[12],168p.,plates	1
1	NA	156p.,plates	1
1	NA	[18],163,[1];252;152p.,plates	1
1	NA	vii,[1],356p.	1
1	NA	202p.,plate	1
1	NA	viii,303,[1],71,[1]p.	1
1	NA	xiv,543,[3]p.	1
1	NA	[8],297,300-522;121,[7]p.	1
1	NA	[16],288,285-387,[1];113,[7]p.	1
1	NA	vii,[1],527,[1]p.,plate	1
1	NA	[32],216p.	1
1	NA	36,4,[1],38-102,[3],104-138p.,plates	1
1	NA	[3],VI-427,[1]p.	1
1	NA	154,[6]p.	1
1	NA	[12],60,69-86,[2]p.	1
1	NA	[4],319,[1],320*-321*,321-348p.	1
1	NA	xiv,564,[2]p.	1
1	NA	xiv,582,[4]p.	1
1	NA	xiv,604,[2]p.	1
1	NA	[10],439,[1]p.	1
1	NA	[2],iv,[2],355,[1]p.	1
1	NA	iv,247,[1]p.	1
1	NA	[12],456p.	1
1	NA	[4],xxxii,317,[3]p.	1
1	NA	[4],xxxviii,313,[17]p.	1
1	NA	[2],xii,196,[30]p.	1
1	NA	xviii,470p.	1
1	NA	16,339,[1]p.,plates	1
1	NA	vii,[9],360p.,plates	1
1	NA	[2],388,[12]p.	1
1	NA	vi,368,[14]p.	1
1	NA	539,iv,[1]p.	1
1	NA	[4],xcv[i.e.lxxv],[1],387,[1];[12],19,[21]p.	1
1	NA	[4],iv,149,[1]p.	1
1	NA	x,[2],252p.	1
1	NA	xxii,344,[16]p.,plates	1
1	NA	[2],xv,[3],xvii-xxviii,454,[2]p.,plates	1
1	NA	xii,246p.	1
1	NA	iv,10;[2],14,[16]p.	1
1	NA	xvi,vi,7-115,[3],ii,[1],122-224,31,[3],39-160p.	1
1	NA	[4],380p.	1
1	NA	xxiv,264p.,plate	1
1	NA	xxiv,420p.	1
1	NA	viii,294,[4]p.,plate	1
1	NA	ix,[1],584,[12]p.	1
1	NA	xvi,462,2,[4]p.	1
1	NA	vi,57,[1]p.	1
1	NA	xxi,[3],502p.	1
1	NA	[12],378,[42]p.,plates	1
1	NA	203,[1]p.,plate	1
2	NA	2v.(cxlviii,558[i.e.548]p.),plate	1
1	NA	[2],50p.,plate	1
1	NA	[4], 154, [2] p.	1
1	NA	xvi,xxviii,202,xiv,336,[10]p.	1
1	NA	[2],xxiii,[1],820,[10]p.,plates	1
1	NA	[12],327,[1];[4],43,[1]p.,plates	1
1	NA	viii,471,[1]p.	1
1	NA	[20],112p.	1
1	NA	xxvi,500p.	1
1	NA	[20],270,124p.	1
1	NA	xii,144p.plate	1
1	NA	[4],317,[1]p.	1
1	NA	vii,[1],267,[1]p.	1
1	NA	16p.,table	1
1	NA	14p.,table	1
1	NA	[6], 260, [8] p., [4] leaves of plates	1
1	NA	[2],144p.,plate	1
1	NA	[12],617,[85],50p.	1
1	NA	[12],99,[1]p.	1
1	NA	168p.	1
1	NA	xl,294;203,[1];294p.	1
1	NA	[12],xxxix,[1],208;148;326,[2]p.	1
1	NA	[2],ii,[8],xxxii,176;187,[1];312p.	1
1	NA	xxii,298p.	1
1	NA	[4],291,[1]p.	1
1	NA	368p.	1
1	NA	viii,491,[29]p.	1
1	NA	xxiv,279,[1]p.	1
1	NA	[2],xx,256p.	1
1	NA	[4],324p.	1
1	NA	167, [1] p.	1
1	NA	36p.,plate	1
1	NA	xxviii,297,[1];328;320p.	1
1	NA	xxviii,318,[2];251,[1];344p.	1
1	NA	[2] p., LXIV plates	1
1	NA	xii,12,11-16,13-250p.	1
1	NA	xii,[i.e.xi],[1],312p.	1
1	NA	vi,150p.	1
1	NA	194p.	1
1	NA	88p.,plate	1
1	NA	[130]p.,plates	1
1	NA	xiii,[3],364,[4]p.	1
1	NA	[2],140p.,plate	1
1	NA	[2],5-176p.	1
1	NA	xiii,[3],76,[2]p.	1
1	NA	[4],47,[5]p.	1
1	NA	[14],251,[1],273,[1]p.	1
1	NA	[12],xx,319,[1]p.	1
1	NA	[8],136p.	1
1	NA	[4],148,[8]p.	1
1	NA	[2],xlvii,[1],320p.	1
2	NA	2v.(vi,iii-xviii,340p.)	1
21	NA	21v.,plates	1
1	NA	xx,395,[1]p.,plate	1
1	NA	[4],647,[5]p. ill., plates	1
1	NA	[2],179,[3]p.	1
1	NA	[2],xvi,[4],204;86,[2],iv,[1],90-283,[1]p.,plate	1
1	NA	307,[5]p.	1
1	NA	v,[7],xxxii,172;240;335,[1]p.	1
1	NA	vi,[10],xxvii,[1],156;183,[1];256p.	1
1	NA	[4],301,[3]p.,plate	1
1	NA	iv[i.e.vi],[2],66p.	1
1	NA	viii,124[i.e.424]p.	1
