volumes	parts	pages.original	count
1	NA	30, [2] p.	27
1	NA	80p.	27
1	NA	14p.	27
1	NA	[2], 8 p.	26
1	NA	29,[1]p.	26
6	NA	6v.	26
1	NA	[4], 12 p.	26
1	NA	27, [1] p.	25
1	NA	[2], 11, [1] p.	25
1	NA	68p.	25
1	NA	[2],22p.	25
1	NA	2 leaves	25
1	NA	[4], 15, [1] p.	25
1	NA	46p.	24
1	NA	1 sheet (verso blank)	24
1	NA	[2], 16 p.	24
1	NA	[2], 4 p.	24
1	NA	35, [1] p.	23
1	NA	39, [1] p.	23
1	NA	51,[1]p.	23
1	NA	88p.	23
1	NA	84p.	23
5	NA	5v.	23
5	NA	5v.,plates	23
1	NA	[2],54p.	23
1	NA	[2], 16, [2] p.	22
1	NA	[No pagination provided]	22
1	NA	[8]p.	22
1	NA	18p.	22
1	NA	[4], 44 p.	22
1	NA	[4],36p.	22
1	NA	[4], 8 p.	22
6	NA	6 v.	22
1	NA	18 p.	21
1	NA	10p.	21
1	NA	[2],21,[1]p.	21
1	NA	9, [1] p.	20
1	NA	47, [1] p.	20
1	NA	[4], 24 p.	20
1	NA	192p.	20
1	NA	46,[2]p.	20
1	NA	[2],45,[1]p.	20
1	NA	[4],39,[1]p.	20
1	NA	[2],26p.	20
1	NA	[2], 33, [1] p.	20
1	NA	[44] p.	20
1	NA	[4], 19, [1] p.	20
1	NA	[2], 46 p.	20
1	NA	[4], 11, [1] p.	19
1	NA	[4], 20 p.	19
1	NA	[2], 28 p.	19
1	NA	96p.	19
1	NA	[4],28p.	19
1	NA	[4],56p.	19
1	NA	[4], 27, [1] p.	19
1	NA	[4],43,[1]p.	18
1	NA	62p.	18
1	NA	[4],60p.	18
1	NA	[64] p.	18
1	NA	1 sheet ([1] p)	18
1	NA	[2], 24 p.	17
1	NA	44 p.	17
1	NA	[4], 23, [1] p.	17
1	NA	30 p.	17
1	NA	9,[1]p.	17
1	NA	13,[1]p.	17
1	NA	[2],29,[1]p.	17
4	NA	4v.,plate	17
8	NA	8v.	17
1	NA	[2] sheets (versos blank)	17
1	NA	[2], 8 [i.e. 6] p.	17
1	NA	5, [1] p.	16
1	NA	[4], 48 p.	16
1	NA	[4], 4 p.	16
1	NA	2 p.	16
1	NA	[2], 37, [1] p.	16
1	NA	14,[2]p.	16
1	NA	[4],44p.	16
1	NA	76p.	16
1	NA	5,[1]p.	16
1	NA	[2],33,[1]p.	16
1	NA	[2], 45, [1] p.	16
1	NA	71,[1]p.	16
1	NA	[2],17,[1]p.	16
1	NA	[2],46p.	16
1	NA	[2],37,[1]p.	16
1	NA	26p.	16
1	NA	[4],47,[1]p.	16
1	NA	[56] p.	16
