original	polished	Count
8⁰.	247	162773
4⁰.	616	87984
12⁰.	237.5	69051
2⁰.	1350	57136
1/2⁰.	1350	34758
1⁰.	5400	16355
1/4⁰.	616	9085
1/8⁰.	247	2773
18⁰.	160	1998
16⁰.	180	1976
24⁰.	106.25	1761
4°.	616	1461
4⁰	616	1269
8⁰	247	1013
obl. 1⁰.	5400	1010
obl. 1/2⁰.	1350	980
broadsheet	5400	821
obl.1/2⁰.	1350	814
12⁰	237.5	715
32⁰.	84	708
1/12⁰.	237.5	679
octavo	247	530
2⁰	1350	495
quarto [fewer than 50 pages]	616	488
1/2⁰	1350	435
quarto	616	343
duodecimo	237.5	304
17 cm.	204	242
34 x 21 cm.	714	224
obl.4⁰.	616	219
obl.2⁰.	1350	195
16 cm.	176	194
19 cm.	247	179
18 cm.	216	163
1/16⁰.	180	160
21 cm.	294	158
long 12⁰.	260	157
obl. 4⁰.	616	141
obl.8⁰.	247	141
20 cm.	260	136
folio	1350	134
obl.1/8⁰.	247	124
64⁰.	35	121
octavo [fewer than 50 pages]	247	120
obl. 1/4⁰.	616	112
obl.12⁰.	237.5	111
folio [fewer than 50 pages]	1350	111
21 cm (8⁰)	294	109
15 cm.	180	108
obl.1/12⁰.	237.5	108
35 x 21 cm.	735	107
20 cm. (4⁰)	340	107
22 cm.	330	105
16⁰ in 8's.	180	95
4⁰ in 8's.	616	94
long 12⁰	260	91
obl.1⁰.	5400	89
1⁰	5400	88
obl. 8⁰.	247	85
4.̊	616	85
obl. 2⁰.	1350	79
1/4⁰	616	75
14 cm.	154	74
15 cm. 8⁰	165	73
11 cm.	88	72
10 cm.	70	71
35 x 22 cm.	770	67
8.	247	67
1/fol.	1350	66
4.	616	65
23 cm.	414	65
34 x 22 cm.	748	65
39 cm (2⁰)	1014	65
fol.	1350	64
obl. 1/8⁰.	247	59
long 24⁰.	133	59
33 x 21 cm.	693	57
obl.1/4⁰.	616	56
caption title; folio [fewer than 50 pages]	1350	55
32 x 20 cm.	640	53
8⁰ (22 cm.).	330	52
34 cm.	748	51
obl.16⁰.	180	50
20 cm (8⁰)	260	46
22 cm (8⁰)	330	45
33 x 20 cm.	660	44
2⁰(2).	1350	44
1/2°.	1350	41
33 cm.	726	41
caption title; quarto [fewer than 50 pages]	616	41
31 x 20 cm.	620	40
21 cm. (4⁰)	357	40
44 cm.	1276	38
34 x 20 cm.	680	37
13 cm.	130	34
19 cm (4⁰)	304	34
20 cm (4⁰)	340	34
31 x 19 cm.	589	33
32 cm.	672	33
42 x 34 cm.	1428	33
24 cm.	456	32
36 x 22 cm.	792	32
21 cm. (8⁰)	294	32
long 8⁰.	286	31
duodecimo [fewer than 50 pages]	237.5	31
31 cm.	651	31
30 cm.	600	31
45 cm.	1305	31
39 x 32 cm.	1248	30
1.̊	5400	30
2.̊	1350	30
43 cm.	1204	29
1 ⁰.	5400	29
32 x 19 cm.	608	28
48 cm (2⁰)	1488	28
obl. 1/12⁰.	237.5	27
35 cm.	805	27
18 cm (4⁰)	288	27
18⁰	160	26
32 cm (2⁰)	672	26
16⁰	180	25
39 x 25 cm.	975	25
39 cm.	1014	25
24⁰ in 12's.	106.25	25
15 cm (8⁰)	165	25
35 cm (2⁰)	805	25
19 cm. (4⁰)	304	25
32 x 21 cm.	672	24
36 x 21 cm.	756	24
29 x 20 cm.	580	24
16 cm (8⁰)	176	24
45 cm (2⁰)	1305	24
8⁰ (21 cm.).	294	24
obl. 12⁰.	237.5	23
16 cm. 8⁰	176	23
40 x 26 cm.	1040	23
38 x 31 cm.	1178	23
21 x 17 cm.	357	23
12.	237.5	23
36 cm (2⁰)	864	23
30 x 19 cm.	570	22
41 x 33 cm.	1353	22
26 cm.	520	22
42 cm.	1134	22
31 cm (2⁰)	620	22
46 cm.	1380	22
39 x 31 cm.	1209	21
25 cm.	475	21
12 cm.	108	21
36 x 23 cm.	828	20
44 x 35 cm.	1540	20
40 x 32 cm.	1280	20
40 cm.	1040	20
1/24⁰.	106.25	20
44 cm (2⁰)	1276	20
long 2⁰.	1590	19
40 x 25 cm.	1000	19
43 x 27 cm.	1161	19
1/2.	1350	19
8⁰ in 4's.	247	19
24mo	106.25	19
43 cm (2⁰)	1204	19
48⁰.	65	18
24⁰	106.25	18
14 cm (8⁰)	140	18
43 x 26 cm.	1118	18
20 x 16 cm.	320	18
43 x 34 cm.	1462	18
Obl.4⁰.	616	18
2⁰(3).	1350	18
37 cm (2⁰)	925	18
8⁰ .	247	17
33 x 22 cm.	726	17
42 x 33 cm.	1386	17
22 x 18 cm.	396	17
41 cm.	1107	17
1/2.̊	1350	17
19 cm (8⁰)	247	17
38 cm (2⁰)	950	17
30 cm (4⁰)	690	17
20 cm. (8⁰)	260	17
22 cm. (4⁰)	396	17
30 x 20 cm.	600	16
28 x 21 cm.	588	16
28 cm.	560	16
39 x 26 cm.	1014	16
35 x 20 cm.	700	16
13 x 22 cm.	286	16
38 x 25 cm.	950	16
long12⁰.	260	16
40 cm (2⁰)	1040	16
33 cm (2⁰)	726	16
42 cm (2⁰)	1134	16
23 cm (8⁰)	345	16
1/2⁰ and 2⁰.	1350	16
8⁰ (20 cm.).	260	16
1/8⁰	247	15
26 x 20 cm.	520	15
23 x 19 cm.	437	15
4⁰ in 6's.	616	15
29 cm (2⁰)	551	15
27 cm (4⁰)	567	15
49 cm.	1519	15
36 cm.	864	14
18 cm. 4⁰	288	14
19 cm. 4⁰	304	14
27 cm.	540	14
27 x 21 cm.	567	14
20 x 17 cm.	340	14
23 x 18 cm.	414	14
13 x 21 cm.	273	14
40 x 31 cm.	1240	14
30 cm (2⁰)	600	14
18 cm (8⁰)	216	14
34 cm (1/2⁰)	748	14
50 cm (2⁰)	1600	14
50 cm.	1600	14
32⁰ in 8's.	84	13
4⁰ .	616	13
32⁰	84	13
31 x 21 cm.	651	13
42 x 26 cm.	1092	13
26 x 19 cm.	494	13
25 x 20 cm.	500	13
44 x 27 cm.	1188	13
24 x 20 cm.	480	13
30 x 23 cm.	690	13
43 x 35 cm.	1505	13
38 x 24 cm.	912	13
Broadside.	5400	13
10 cm (16⁰)	70	13
28 cm (4⁰)	616	13
46 cm (2⁰)	1380	13
31 cm (1/2⁰)	620	13
32 cm (1/2⁰)	672	13
27 cm. 2⁰	459	12
31 x 18 cm.	558	12
41 x 31 cm.	1271	12
44 x 28 cm.	1232	12
30 x 24 cm.	720	12
39 x 24 cm.	936	12
35 x 23 cm.	805	12
28 x 23 cm.	644	12
25 x 19 cm.	475	12
24 x 19 cm.	456	12
14 x 23 cm.	322	12
long24⁰.	133	12
29 cm (4⁰)	667	12
22 cm. (8⁰)	330	12
48 cm.	1488	12
52 cm.	1716	12
2.	1350	11
14 cm. 8⁰	140	11
29 x 18 cm.	522	11
33 x 19 cm.	627	11
15 cm. 12⁰	165	11
37 x 23 cm.	851	11
obl.1/16⁰.	180	11
12 x 20 cm.	240	11
38 x 32 cm.	1216	11
27 x 22 cm.	594	11
37 x 25 cm.	925	11
41 x 34 cm.	1394	11
34 x 23 cm.	782	11
41 x 25 cm.	1025	11
20 x 13 cm.	260	11
42 x 25 cm.	1050	11
37 x 24 cm.	888	11
38 x 26 cm.	988	11
obl. 16⁰.	180	11
s.sh.obl.fol.	1350	11
41 cm (2⁰)	1107	11
25 cm (4⁰)	475	11
21 cm (4⁰)	357	11
19 cm. (8⁰)	247	11
20 cm. 4⁰	340	10
27 x 23 cm.	621	10
2⁰ .	1350	10
45 x 28 cm.	1260	10
29 cm.	580	10
28 x 22 cm.	616	10
34 x 19 cm.	646	10
12 x 19 cm.	228	10
31 x 22 cm.	682	10
38 cm.	1330	10
12⁰ .	237.5	10
1/32⁰.	84	10
42 x 27 cm.	1134	10
51 x 40 cm.	2040	10
22 cm (4⁰)	396	10
47 cm (2⁰)	1410	10
33 cm (1/2⁰)	726	10
30 cm (1/2⁰)	600	10
49 cm (2⁰)	1519	10
24 cm. (4⁰)	456	10
1/4°.	616	9
2°.	1350	9
16 cm (12⁰)	184	9
14 cm. 12⁰	140	9
26 x 22 cm.	572	9
54 x 42 cm.	2268	9
21 x 13 cm.	273	9
29 x 23 cm.	667	9
43 x 33 cm.	1419	9
36 x 24 cm.	864	9
32 x 22 cm.	704	9
9 cm.	54	9
37 cm.	925	9
17 cm (8⁰)	204	9
26 cm (4⁰)	520	9
18 cm (12⁰)	216	9
23 cm. (8⁰)	345	9
51 cm.	1632	9
1°	5400	8
56 x 45 cm.	2520	8
30 x 21 cm.	630	8
30 x 22 cm.	660	8
19 x 12 cm.	228	8
23 x 14 cm.	322	8
40 x 24 cm.	960	8
22 x 14 cm.	308	8
43 x 28 cm.	1204	8
1/2⁰?.	1350	8
30 cm. (2⁰)	600	8
29 x 17 cm.	493	7
30 x 18 cm.	540	7
21 x 16 cm.	336	7
31 x 25 cm.	775	7
26 x 21 cm.	546	7
51 x 41 cm.	2091	7
43 x 31 cm.	1333	7
8	247	7
38 x 30 cm.	1140	7
29 x 19 cm.	551	7
50 x 40 cm.	2000	7
29 x 24 cm.	696	7
42 x 24 cm.	1008	7
37 x 31 cm.	1147	7
25 x 21 cm.	525	7
45 x 27 cm.	1215	7
54 x 44 cm.	2376	7
49 x 39 cm.	1911	7
19 x 13 cm.	247	7
fol	1350	7
15 cm (12⁰)	165	7
obl. 16⁰ in 8's.	180	7
8⁰.;8⁰.	247	7
16mo	180	7
34 cm (2⁰)	748	7
24 cm (8⁰)	360	7
17 cm (12⁰)	204	7
47 cm.	1410	7
23 cm. (4⁰)	414	7
35 cm. (2⁰)	805	7
50 cm. (2⁰)	1600	6
13 cm. 12⁰	260	6
19 x 16 cm.	304	6
27 x 20 cm.	540	6
39 x 30 cm.	1170	6
29 x 22 cm.	638	6
11 x 18 cm.	198	6
