Language|Documents
alg|0
arm|0
gla|0
new|0
ice|0.301029995663981
por|0.301029995663981
gre|0.602059991327962
roa|0.602059991327962
grc|0.698970004336019
spa|0.903089986991944
frm|1
sco|1
mul|1.07918124604762
wel|1.32221929473392
ita|1.50514997831991
dut|1.67209785793572
ger|1.9731278535997
fre|2.93500315145365
lat|2.9484129657786
eng|4.683668301533
