gatherings,obl,mean.width,mean.height,n
1to,FALSE,29.0588235294118,41.9655172413793,17474
1to,TRUE,41.9655172413793,29.0588235294118,1120
2long,FALSE,21.9590163934426,29,35
2long,TRUE,29,21.9590163934426,4
2fo,FALSE,21.9590163934426,36.8859857482185,94854
2fo,TRUE,36.8859857482185,25,2124
4long,FALSE,12,27,18
4long,TRUE,27,12,6
4to,FALSE,18.8125,21.7765567765568,101908
4to,TRUE,21.7765567765568,18.8125,581
8long,FALSE,13.5,19.2448680351906,37
8long,TRUE,19.2448680351906,13.5,5
8vo,FALSE,13.5,19.2448680351906,168317
8vo,TRUE,22,16.5,435
12long,FALSE,12,15.504854368932,272
12mo,FALSE,12,15.504854368932,71045
12mo,TRUE,15.504854368932,12,279
16long,FALSE,NA,10.7619047619048,1
16mo,FALSE,NA,10.7619047619048,2310
16mo,TRUE,10.7619047619048,NA,89
18mo,FALSE,NA,15,2035
18mo,TRUE,10,6.5,3
24long,FALSE,NA,11,82
24long,TRUE,11,NA,2
24mo,FALSE,NA,11,1868
24mo,TRUE,11,NA,11
32mo,FALSE,NA,NA,751
32mo,TRUE,NA,NA,4
48mo,FALSE,NA,7,21
48mo,TRUE,7,NA,2
64mo,FALSE,NA,NA,130
NA,FALSE,23.1710924824229,30.0178422571337,17478
NA,TRUE,30.0178422571337,23.1710924824229,43
