original_name	original_date	final_author_id	final_author_birth	final_author_death	Count
Taaffe, Dennis	approximately 1743-1813.	Taaffe, Dennis (1743-1813)	1743	1813	   4
Preston, William	approximately 1680-1752.	Preston, William (1680-1752)	1680	1752	   4
Volusenus, Florentius	1504?-1546 or 1547.	Volusenus, Florentius (1504-NA)	1504	NA	   4
Sayer, Robert	1725-1794.	Sayer, Robert (1725-1794)	1725	1794	   4
Clayton, John	1657-1725.	Clayton, John (1657-1725)	1657	1725	   4
Moritz, Karl Philipp	1756-1793.	Moritz, Karl Philipp (1756-1793)	1756	1793	   4
Le Bègue de Presle, Achille-Guillaume	approximately 1735-1807.	Le Bègue De Presle, Achille-guillaume (1735-1807)	1735	1807	   4
Graves, W	1724?-1801.	Graves, W (1724-1801)	1724	1801	   4
Gautier, Joseph	1714-1776.	Gautier, Joseph (1714-1776)	1714	1776	   4
Bannerman, Patrick	1715-1790.	Bannerman, Patrick (1715-1790)	1715	1790	   4
Mante, Thomas	active 1772.	Mante, Thomas (1772-NA)	1772	NA	   4
Charles	1661-1700.	Charles,  (1661-1700)	1661	1700	   4
Lussan, Marguerite de	1682-1758.	Lussan, Marguerite De (1682-1758)	1682	1758	   4
Cox, Thomas	1655?-1734.	Cox, Thomas (1655-1734)	1655	1734	   4
Colepeper, William	-1726.	Colepeper, William (NA-1726)	NA	1726	   4
Hunter, John	1738-1821.	Hunter, John (1738-1821)	1738	1821	   4
Backhouse, William	1730?-1788.	Backhouse, William (1730-1788)	1730	1788	   4
Walter, Richard	1716?-1785.	Walter, Richard (1716-1785)	1716	1785	   4
Wells, Christopher	1748 or 1749-1792.	Wells, Christopher (1748-1792)	1748	1792	   4
Argenson, René-Louis de Voyer	1694-1757.	Argenson, René-louis De Voyer (1694-1757)	1694	1757	   4
La Marche-Courmont, Ignace Hugary de	1728-1768.	La Marche-courmont, Ignace Hugary De (1728-1768)	1728	1768	   4
Danican, Auguste	1764-1848.	Danican, Auguste (1764-1848)	1764	1848	   4
Benson, Robert	-1796.	Benson, Robert (NA-1796)	NA	1796	   4
Betty, Joseph	1698?-1731.	Betty, Joseph (1698-1731)	1698	1731	   4
Lens, Bernard	1682-1740.	Lens, Bernard (1682-1740)	1682	1740	   4
Dunn, William	1745-1798.	Dunn, William (1745-1798)	1745	1798	   4
Hadfield, James	approximately 1772-1841.	Hadfield, James (1772-1841)	1772	1841	   4
Harris, Katherine	active 1687-1701.	Harris, Katherine (1687-1701)	1687	1701	   4
Meibom, Johann Heinrich	1590-1655.	Meibom, Johann Heinrich (1590-1655)	1590	1655	   4
Jenkins, Joseph	active 1702-1736.	Jenkins, Joseph (1702-1736)	1702	1736	   4
Watson, William	1637?-1689.	Watson, William (1637-1689)	1637	1689	   4
Blower, Elizabeth	1763-	Blower, Elizabeth (1763-NA)	1763	NA	   4
Austin, William	1754-1793.	Austin, William (1754-1793)	1754	1793	   4
Deschamps, François-Michel-Chrétien	1683-1747.	Deschamps, François-michel-chrétien (1683-1747)	1683	1747	   4
Wales, William	1734?-1796.	Wales, William (1734-1796)	1734	1796	   4
Crotus Rubianus	approximately 1480-1539.	Rubianus, Crotus (1480-1539)	1480	1539	   4
Feijóo y Montenegro, Benito Jerónimo	1676-1764.	Feijóo Y Montenegro, Benito Jerónimo (1676-1764)	1676	1764	   4
Innes, Alexander	approximately 1675-1742?.	Innes, Alexander (1675-1742)	1675	1742	   4
Sanders, Robert	1727-1783.	Sanders, Robert (1727-1783)	1727	1783	   4
Gozzi, Gasparo	1713-1786.	Gozzi, Gasparo (1713-1786)	1713	1786	   4
Gale, John	active 18th century-19th century.	Gale, John (1680-1721)	1680	1721	   4
Ellis, W	-1785.	Ellis, W (1744-1785)	1744	1785	   4
Cléry	1759-1809.	Cléry,  (1759-1809)	1759	1809	   4
Spilsbury, John	1739-1769.	Spilsbury, John (1739-1769)	1739	1769	   4
Robertson, George	1750?-1832.	Robertson, George (1750-1832)	1750	1832	   4
Gordon, Charles Hamilton	-1761.	Gordon, Charles Hamilton (NA-1761)	NA	1761	   4
Rogers, Woodes	-1732.	Rogers, Woodes (1679-1732)	1679	1732	   4
Pollexfen, Henry	1632?-1691.	Pollexfen, Henry (1632-1691)	1632	1691	   4
MacSparran, James	1693-1757.	Macsparran, James (1693-1757)	1693	1757	   4
Lawson, John	1723-1779.	Lawson, John (1723-1779)	1723	1779	   4
Houston, John	-1751.	Houston, John (1685-1751)	1685	1751	   4
Reid, Robert	-1766.	Reid, Robert (1689-1766)	1689	1766	   4
Buchan, Henry David Erskine	1710-1767.	Buchan, Henry David Erskine (1710-1767)	1710	1767	   4
Dolce, Lodovico	1508-1568.	Dolce, Lodovico (1508-1568)	1508	1568	   4
Wallace, William	1711-1763.	Wallace, William (1711-1763)	1711	1763	   4
Crosse, Thomas	1663-1738.	Crosse, Thomas (1663-1738)	1663	1738	   4
Gurney, John	1715?-1770.	Gurney, John (1715-1770)	1715	1770	   4
Hall, Westley	1711-1776.	Hall, Westley (1711-1776)	1711	1776	   4
Allardyce, Alexander	1743?-1801.	Allardyce, Alexander (1743-1801)	1743	1801	   4
Lyon, John	1734-1817.	Lyon, John (1734-1817)	1734	1817	   4
Crawford, John Lindsay	-1714.	Crawford, John Lindsay (1702-1714)	1702	1714	   4
Lommius, Jodocus	approximately 1500-approximately 1564.	Lommius, Jodocus (1500-1564)	1500	1564	   4
Brewster, Henry	1747?-1788.	Brewster, Henry (1747-1788)	1747	1788	   4
Phillips, Daniel	1667 or 1668-1748.	Phillips, Daniel (1667-1748)	1667	1748	   4
Singleton, John	active 1767.	Singleton, John (1767-NA)	1767	NA	   4
Lucas, Robert	-1776.	Lucas, Robert (1746-1776)	1746	1776	   4
Parker, Henry	1695 or 1696-1773.	Parker, Henry (1695-1773)	1695	1773	   4
Wimpffen, Christian Peter von	1725-1781.	Wimpffen, Christian Peter Von (1725-1781)	1725	1781	   4
Elsum, John	active 1700-1705.	Elsum, John (1700-1705)	1700	1705	   4
Hadley, George	1685-1768.	Hadley, George (1685-1768)	1685	1768	   4
González, Esteban	1608-	González, Esteban (1608-NA)	1608	NA	   4
Busby, Thomas	1755-1838.	Busby, Thomas (1755-1838)	1755	1838	   4
Draper, William	1721-1787.	Draper, William (1721-1787)	1721	1787	   4
McDowel, Benjamin	1739-1824.	Mcdowel, Benjamin (1739-1824)	1739	1824	   4
Macartney, George Macartney	1737-1806.	Macartney, George (1737-1806)	1737	1806	   4
Cameron, Donald	1695?-1748.	Cameron, Donald (1695-1748)	1695	1748	   4
Weld, Isaac	1774-1856.	Weld, Isaac (1774-1856)	1774	1856	   4
Ambrose, John	approximately 1705-1771.	Ambrose, John (1705-1771)	1705	1771	   4
Waple, Edward	1647-1712.	Waple, Edward (1647-1712)	1647	1712	   4
Walsh, John	1726-1795.	Walsh, John (1726-1795)	1726	1795	   4
Hunt, William	1765-1852.	Hunt, William (1765-1852)	1765	1852	   4
Monro, John	-1719.	Monro, John (NA-1719)	NA	1719	   4
White, John	active 1789-1799.	White, John (1789-1799)	1789	1799	   4
Faden, William	1750?-1836.	Faden, William (1750-1836)	1750	1836	   4
Mant, Richard	1744 or 1745-1817.	Mant, Richard (1744-1817)	1744	1817	   4
Child, Stephen	-1762.	Child, Stephen (NA-1762)	NA	1762	   4
Moreau, Jacob Nicolas	1717-1804.	Moreau, Jacob Nicolas (1717-1804)	1717	1804	   4
Richardson, John	1647-1725?.	Richardson, John (1647-1725)	1647	1725	   4
Walker, William	1745 or 1746-1827.	Walker, William (1745-1827)	1745	1827	   4
Hudson, John	active 1792.	Hudson, John (1792-NA)	1792	NA	   4
Brown, Josiah	-1793.	Brown, Josiah (NA-1793)	NA	1793	   4
Segrais, Jean Regnauld de	1624-1701.	Segrais, Jean Regnauld De (1624-1701)	1624	1701	   4
Ellis, John	1698-1790.	Ellis, John (1698-1790)	1698	1790	   4
Hopkinson, Joseph	1770-1842.	Hopkinson, Joseph (1770-1842)	1770	1842	   4
Hatchett, Charles	1765?-1847.	Hatchett, Charles (1765-1847)	1765	1847	   4
Hallows, Daniel	1669 or 1670-1741.	Hallows, Daniel (1669-1741)	1669	1741	   4
Dunstar	1675-1754.	Dunstar,  (1675-1754)	1675	1754	   4
Merlo Horstius, Jacob	1597-1644.	Merlo Horstius, Jacob (1597-1644)	1597	1644	   4
Graham, Robert	approximately 1735-1797.	Graham, Robert (1735-1797)	1735	1797	   4
Michel, Humfrey	1649 or 1650-1722.	Michel, Humfrey (1649-1722)	1649	1722	   4
Pratt, Benjamin	1669-1721.	Pratt, Benjamin (1669-1721)	1669	1721	   4
Hilliard d'Auberteuil, Michel-René	approximately 1740-1789.	Hilliard D'auberteuil, Michel-rené (1740-1789)	1740	1789	   4
Nugent, Robert	1730-	Nugent, Robert (1730-1788)	1730	1788	   4
Bretland, Joseph	1742-1819.	Bretland, Joseph (1742-1819)	1742	1819	   4
Smelt, Leonard	1719?-1800.	Smelt, Leonard (1719-1800)	1719	1800	   4
Lieberkühn, Samuel	1710-1777.	Lieberkühn, Samuel (1710-1777)	1710	1777	   4
O'Brien, Lucius Henry	-1795.	O'brien, Lucius Henry (NA-1795)	NA	1795	   4
Forster, John	active 18th century.	Forster, John (NA-1667)	NA	1667	   4
Preston, Richard	1768-1850.	Preston, Richard (1768-1850)	1768	1850	   4
Bardwell, Thomas	1704-1767.	Bardwell, Thomas (1704-1767)	1704	1767	   4
Bentham, James	1708-1794.	Bentham, James (1708-1794)	1708	1794	   4
Maury, Jean Siffrein	1746-1817.	Maury, Jean Siffrein (1746-1817)	1746	1817	   4
Thompson, William	1759-1811.	Thompson, William (1759-1811)	1759	1811	   4
Boissy d'Anglas, François-Antoine	1756-1826.	Boissy D'anglas, François-antoine (1756-1826)	1756	1826	   4
Rouse-Boughton, Charles William	-1821.	Rouse-boughton, Charles William (NA-1821)	NA	1821	   4
Bolton, Richard	1570?-1648.	Bolton, Richard (1570-1648)	1570	1648	   4
Whyte, Robert	-1714.	Whyte, Robert (NA-1714)	NA	1714	   4
Clark, Samuel	1684-1750.	Clark, Samuel (1684-1750)	1684	1750	   4
Smith, John	1659-1715.	Smith, John (1659-1715)	1659	1715	   4
Hazeland, William	1700 or 1701-1763.	Hazeland, William (1700-1763)	1700	1763	   4
Goodenough, Richard Josceline	-1781.	Goodenough, Richard Josceline (NA-1781)	NA	1781	   4
Geach, Francis	1724-1798.	Geach, Francis (1724-1798)	1724	1798	   4
Osbaldeston, Richard	1690-1764.	Osbaldeston, Richard (1690-1764)	1690	1764	   4
Moore, John	1730-1805.	Moore, John (1730-1805)	1730	1805	   4
Cressett, Edward	-1755.	Cressett, Edward (NA-1755)	NA	1755	   4
Kenrick, Timothy	1759-1804.	Kenrick, Timothy (1759-1804)	1759	1804	   4
Harison, William	1685-1713.	Harison, William (1685-1713)	1685	1713	   4
Kilborn, Robert	1699 or 1700-1730.	Kilborn, Robert (1699-1730)	1699	1730	   4
Gage, Thomas Gage	approximately 1695-1754.	Gage, Thomas (1695-1754)	1695	1754	   4
Herries, Robert	1730-1815.	Herries, Robert (1730-1815)	1730	1815	   4
Warren, Martin	1696-1735.	Warren, Martin (1696-1735)	1696	1735	   4
Skeete, Thomas	1757-1789.	Skeete, Thomas (1757-1789)	1757	1789	   4
M'Nayr, James	1757 or 1758-1808.	M'nayr, James (1757-1808)	1757	1808	   4
Hawling, Francis	active 1723-1751.	Hawling, Francis (1723-1751)	1723	1751	   4
Pelling, John	1670-1750.	Pelling, John (1670-1750)	1670	1750	   4
Garthshore, Maxwell	1732-1812.	Garthshore, Maxwell (1732-1812)	1732	1812	   4
Manson, John	-1812.	Manson, John (NA-1812)	NA	1812	   4
Naish, Thomas	1668 or 1669-1755.	Naish, Thomas (1668-1755)	1668	1755	   4
Linley, William	1771?-1835.	Linley, William (1771-1835)	1771	1835	   4
Clarke, Edward	1657 or 1658-	Clarke, Edward (1657-1658)	1657	1658	   4
Leeuwenhoek, Antoni van	1632-1723.	Leeuwenhoek, Antoni Van (1632-1723)	1632	1723	   4
Pococke, R	1668 or 1669-	Pococke, R (1668-1669)	1668	1669	   4
Haliday, Samuel	1685-1739.	Haliday, Samuel (1685-1739)	1685	1739	   4
Rogers, John	1716-1790.	Rogers, John (1716-1790)	1716	1790	   4
Arden, James	approximately 1739-1817.	Arden, James (1739-1817)	1739	1817	   4
Davies, Edward	1756-1831.	Davies, Edward (1756-1831)	1756	1831	   4
Norris, Robert	-1791.	Norris, Robert (NA-1791)	NA	1791	   4
Vernes, F	1765-1834.	Vernes, F (1765-1834)	1765	1834	   4
Stoughton, William	-1718.	Stoughton, William (NA-1718)	NA	1718	   4
Hopkins, William	1647-1700.	Hopkins, William (1647-1700)	1647	1700	   4
Norton, Frances	1640-1731.	Norton, Frances (1640-1731)	1640	1731	   4
Cottle, Joseph	1770-1853.	Cottle, Joseph (1770-1853)	1770	1853	   4
Blackrie, Alexander	-1772.	Blackrie, Alexander (NA-1772)	NA	1772	   4
Robertson, George	-1791.	Robertson, George (NA-1791)	NA	1791	   4
Good, John Mason	active 1764-1827.	Good, John Mason (1764-1827)	1764	1827	   4
Cleeve, Bourchier	1715-1760.	Cleeve, Bourchier (1715-1760)	1715	1760	   4
