original	polished	Count
Total count: 	481205	
eng	eng	451565
lat	lat	16055
fre	fre	7752
ger	ger	1649
wel	wel	950
roa	roa	763
ita	ita	587
grc	grc	525
mul	mul	279
dut	dut	222
gla	gla	107
sco	sco	87
por	por	86
gre	gre	85
spa	spa	83
NA	NA	53
tam	tam	50
gle	gle	47
heb	heb	41
frm	frm	36
alg	alg	33
dan	dan	22
per	per	19
glv	glv	18
arm	arm	15
ben	ben	12
n/a	n/a	10
swe	swe	10
ara	ara	7
ang	ang	5
moh	moh	3
ice	ice	3
pau	pau	2
mal	mal	2
rus	rus	2
g c	g c	2
new	new	2
nai	nai	2
gae	gae	1
arw	arw	1
iro	iro	1
del	del	1
got	got	1
san	san	1
may	may	1
guj	guj	1
mon	mon	1
cop	cop	1
enm	enm	1
tur	tur	1
lit	lit	1
pal	pal	1
