Name	Count	Count
Total count: 	n=111 (5550% non-NA values)	Total count: 
aliquis	1	1
amboyna	1	1
anonymos	1	1
antibrownistus	1	1
arise	1	1
armie	1	1
army	1	1
arrived	1	1
augier	1	1
avalos	1	1
beaupoil	1	1
bengal	1	1
bourdeille	1	1
but	1	1
carmarthen	1	1
carretto	1	1
carthage	1	1
chalmont	1	1
city	1	1
clotworthy	1	1
commons	1	1
company's	1	1
concern	1	1
condition	1	1
cornand	1	1
corsican	1	1
countrey	1	1
desires	1	1
draining	1	1
draw	1	1
elphinstone	1	1
esq	1	1
establish'd	1	1
excellency	1	1
factions	1	1
first	1	1
fl	1	1
formerly	1	1
friend	1	1
from	1	1
gerrald	1	1
gerusiphilus	1	1
government	1	1
hang	1	1
happinesse	1	1
hindū	1	1
hippo	1	1
his	1	1
history	1	1
house	1	1
houssay	1	1
howellup	1	1
humble	1	1
improvements	1	1
in	1	1
is	1	1
keep	1	1
kingdome	1	1
kinnoul	1	1
koning	1	1
late	1	1
likes	1	1
lover	1	1
loves	1	1
mathäus	1	1
me	1	1
member	1	1
native	1	1
not	1	1
parliament	1	1
patrike	1	1
pensylvanien	1	1
ph	1	1
philalethes	1	1
philanax	1	1
philanthropus	1	1
pious	1	1
platonicus	1	1
popery	1	1
present	1	1
religion	1	1
resident	1	1
retinue	1	1
rogerson	1	1
servant	1	1
service	1	1
shāh	1	1
shinkin	1	1
siculus	1	1
society	1	1
state	1	1
subjects	1	1
taffie	1	1
that	1	1
this	1	1
toryrorydammeeplotshammee	1	1
unhappy	1	1
up	1	1
vanlore	1	1
venables	1	1
voluntier	1	1
was	1	1
webbe	1	1
well	1	1
wellfare	1	1
willer	1	1
work	1	1
years	1	1
yesurun	1	1
yrieux	1	1
zaphnaphpaaniah	1	1
