original	gatherings	width	height	obl	Count
33 x 22 cm.	NA	NA	NA	NA	   1
32 x 18 cm.	NA	NA	NA	NA	   1
52 x 22 cm.	NA	NA	NA	NA	   1
43 x 18+ cm.	NA	NA	NA	NA	   1
39 x 33 cm.	NA	NA	NA	NA	   1
31 x 24 cm.	NA	NA	NA	NA	   1
48 x 30 cm.	NA	NA	NA	NA	   1
39 x 25 cm.	NA	NA	NA	NA	   1
21x16 cm.	NA	NA	NA	NA	   1
36 x 30 cm.	NA	NA	NA	NA	   1
33 x 19 cm.	NA	NA	NA	NA	   1
24 cm. (folio)	NA	NA	NA	NA	   1
34 x 22 cm.	NA	NA	NA	NA	   1
15 x 17 cm.	NA	NA	NA	NA	   1
13 x 23 cm.	NA	NA	NA	NA	   1
20 cm. (4to & 8vo)	NA	NA	NA	NA	   1
12 x 20 cm.	NA	NA	NA	NA	   1
56 x 45 cm.	NA	NA	NA	NA	   1
42 x 11 cm.	NA	NA	NA	NA	   1
12 x 21 cm.	NA	NA	NA	NA	   1
39 x 24 cm.	NA	NA	NA	NA	   1
58 x 44 cm.	NA	NA	NA	NA	   1
38 x 32 cm.	NA	NA	NA	NA	   1
49 x 37 cm.	NA	NA	NA	NA	   1
36 x 24 cm.	NA	NA	NA	NA	   1
12 x 26 cm.	NA	NA	NA	NA	   1
41 x 26 cm.	NA	NA	NA	NA	   1
19.5 x 14 cm.	NA	NA	NA	NA	   1
Broadside.	NA	NA	NA	NA	   1
44 x 27 cm.	NA	NA	NA	NA	   1
35 cm.	NA	NA	NA	NA	   1
27 x 10 cm.	NA	NA	NA	NA	   1
25 x 21 cm.	NA	NA	NA	NA	   1
54 x 44 cm.	NA	NA	NA	NA	   1
19 x 23 cm.	NA	NA	NA	NA	   1
51 x 32 cm.	NA	NA	NA	NA	   1
13 cm.	NA	NA	NA	NA	   1
10 x 6 cm.	NA	NA	NA	NA	   1
32 x 21 cm.	NA	NA	NA	NA	   1
17 cm. (1m2mo)	NA	NA	NA	NA	   1
34 cm.	NA	NA	NA	NA	   1
24 cm. (8vo and 4to)	NA	NA	NA	NA	   1
23 x 41 cm.	NA	NA	NA	NA	   1
44 x 35 cm.	NA	NA	NA	NA	   1
53 x 60 cm.	NA	NA	NA	NA	   1
48 x 40 cm.	NA	NA	NA	NA	   1
23 x 17 cm.	NA	NA	NA	NA	   1
24 x 19 cm.	NA	NA	NA	NA	   1
46 x 35 cm.	NA	NA	NA	NA	   1
35 x 11 cm.	NA	NA	NA	NA	   1
1/32⁰.	NA	NA	NA	NA	   1
52 x 42 cm.	NA	NA	NA	NA	   1
5.5 cm.	NA	NA	NA	NA	   1
32 x 29 cm.	NA	NA	NA	NA	   1
4⁰ .	NA	NA	NA	NA	   1
41 cm.	NA	NA	NA	NA	   1
35 x 21 cm.	NA	NA	NA	NA	   1
21 x 11 cm.	NA	NA	NA	NA	   1
45 x 26 cm.	NA	NA	NA	NA	   1
4.8 cm.	NA	NA	NA	NA	   1
5.6 cm.	NA	NA	NA	NA	   1
26 cm.	NA	NA	NA	NA	   1
15 cm. (12mo?)	NA	NA	NA	NA	   1
2⁰ .	NA	NA	NA	NA	   1
30 x 19 cm.	NA	NA	NA	NA	   1
62 x 47 cm.	NA	NA	NA	NA	   1
6 x 15 cm.	NA	NA	NA	NA	   1
21 x 17 cm.	NA	NA	NA	NA	   1
41 x 25 cm.	NA	NA	NA	NA	   1
26 x 25 cm.	NA	NA	NA	NA	   1
45 x 21 cm.	NA	NA	NA	NA	   1
21 x 13 cm.	NA	NA	NA	NA	   1
22 x 15 cm.	NA	NA	NA	NA	   1
28 x 15 cm.	NA	NA	NA	NA	   1
13 x 13 cm.	NA	NA	NA	NA	   1
19 x 13 cm.	NA	NA	NA	NA	   1
27 x 22 cm.	NA	NA	NA	NA	   1
22 x 27 cm.	NA	NA	NA	NA	   1
34 x 25 cm.	NA	NA	NA	NA	   1
39 x 18 cm.	NA	NA	NA	NA	   1
39 x 32 cm.	NA	NA	NA	NA	   1
40 x 40 cm.	NA	NA	NA	NA	   1
40 x 27 cm.	NA	NA	NA	NA	   1
32 cm.	NA	NA	NA	NA	   1
