author	author_gender	Count
Acworth, George (NA-1578)	ambiguous	     2
Adair, Jacobus Barter Makittrick	ambiguous	     1
Adair, James	NA	     3
Adair, James (1709-1783)	NA	     1
Adair, James (1743-1798)	NA	     6
Adair, James Makittrick (1728-1802)	NA	    16
Adair, John (1650-1722)	NA	     7
Adair, Robert (1716-1790)	ambiguous	     1
Adair, Robert (1763-1855)	ambiguous	     3
Adair, Robert (NA-1746)	ambiguous	     1
Adair, Thomas (1749-1820)	NA	     7
Adam-lauder, Helen	ambiguous	     1
Adam, 	ambiguous	     1
Adam, Alexander (1741-1809)	ambiguous	    19
Adam, Christian (NA-1709)	ambiguous	     1
Adam, David	ambiguous	     2
Adam, James (1789-1810)	NA	     1
Adam, John (1720-1757)	NA	     1
Adam, John (1720-1792)	NA	     1
Adam, John (1720-NA)	NA	     5
Adam, Katharine	NA	     1
Adam, Margaret	ambiguous	     2
Adam, Melchior (NA-1622)	NA	     4
Adam, Nicolas (1717-1792)	NA	     2
Adam, Poor (1701-NA)	NA	    20
Adam, Robert (1728-1792)	ambiguous	     2
Adam, Thomas (1701-1784)	NA	    16
Adam, William (1689-1748)	ambiguous	     1
Adam, William (1751-1839)	ambiguous	     3
Adams,  (NA-1738)	NA	     6
Adams, Abraham (1777-1782)	ambiguous	     1
Adams, Amos (1728-1775)	ambiguous	    11
Adams, B (1799-NA)	NA	     1
Adams, Daniel (1773-1864)	ambiguous	     2
Adams, Dudley (1760-1826)	NA	     1
Adams, Ebenezer	ambiguous	     3
Adams, Edward	NA	     2
Adams, Eliphalet (1677-1753)	male	    17
Adams, Fitz	NA	     1
Adams, Francis	ambiguous	     2
Adams, Frank (1559-1601)	ambiguous	     3
Adams, Frank (1580-1601)	ambiguous	     2
Adams, George (1680-1724)	ambiguous	     1
Adams, George (1709-1772)	ambiguous	    17
Adams, George (1716-1783)	ambiguous	     8
Adams, George (1750-1795)	ambiguous	    28
Adams, Gulielmus	male	     1
Adams, Hannah (1755-1831)	ambiguous	     3
Adams, J	NA	     1
