original	gatherings.original	width.original	height.original	obl.original	gatherings	width	height	obl	area	Count
11 x 9 cm.	NA	 9.0	11.0	FALSE	NA	 9.0	11.0	NA	  99.00	     1
8 x 11 cm.	NA	 8.0	11.0	FALSE	NA	 8.0	11.0	NA	  88.00	     1
16 cm. (24mo and 12mo)	NA	NA	16.0	FALSE	NA	11.0	16.0	NA	 176.00	     1
30 x 18 cm. 1/2⁰.	2fo	18.0	30.0	FALSE	2fo	18.0	30.0	 0	 540.00	     1
16cm.	NA	NA	16.0	FALSE	NA	11.0	16.0	NA	 176.00	     1
12 x 24 cm.	NA	12.0	24.0	FALSE	NA	12.0	24.0	NA	 288.00	     1
14 cm. (18mo and 12mo)	NA	NA	14.0	FALSE	NA	11.0	14.0	NA	 154.00	     1
20 x 34 cm.	NA	20.0	34.0	FALSE	NA	20.0	34.0	NA	 680.00	     1
13 cm., 12⁰	12mo	NA	13.0	FALSE	12mo	13.0	20.0	 0	 260.00	     1
17 x 13 cm.	NA	13.0	17.0	FALSE	NA	13.0	17.0	NA	 221.00	     1
47 x 11 cm.	NA	11.0	47.0	FALSE	NA	11.0	47.0	NA	 517.00	     1
21 x 18.7 cm.	NA	18.7	21.0	FALSE	NA	18.7	21.0	NA	 392.70	     1
52 x 21 cm.	NA	21.0	52.0	FALSE	NA	21.0	52.0	NA	1092.00	     1
26 x 41 cm.	NA	26.0	41.0	FALSE	NA	26.0	41.0	NA	1066.00	     1
24.3 x 21 cm.	NA	21.0	24.3	FALSE	NA	21.0	24.3	NA	 510.30	     1
52 x 45 cm.	NA	45.0	52.0	FALSE	NA	45.0	52.0	NA	2340.00	     1
8vo.	8vo	NA	NA	FALSE	8vo	13.0	19.0	 0	 247.00	     1
56 x 47 cm.	NA	47.0	56.0	FALSE	NA	47.0	56.0	NA	2632.00	     1
30 x 29 cm.	NA	29.0	30.0	FALSE	NA	29.0	30.0	NA	 870.00	     1
39 x 25 cm. broadside.	1to	25.0	39.0	FALSE	1to	25.0	39.0	 0	 975.00	     1
34 x 21 cm. broadside.	1to	21.0	34.0	FALSE	1to	21.0	34.0	 0	 714.00	     1
2	2fo	NA	NA	FALSE	2fo	30.0	45.0	 0	1350.00	     1
19 x 8 cm.	NA	 8.0	19.0	FALSE	NA	 8.0	19.0	NA	 152.00	     1
10 x 11 cm.	NA	10.0	11.0	FALSE	NA	10.0	11.0	NA	 110.00	     1
17 x 12 cm.	NA	12.0	17.0	FALSE	NA	12.0	17.0	NA	 204.00	     1
24 x 15 cm.	NA	15.0	24.0	FALSE	NA	15.0	24.0	NA	 360.00	     1
