original	polished	Count
Grenville, William Wyndham Grenville	Grenville, William Wyndham	4
Sandoval, Prudencio de	Sandoval, Prudencio De	4
Bigot de Sainte-Croix, Louis Claude	Bigot De Sainte-croix, Louis Claude	4
Craufurd, George.	Craufurd, George	4
Bèze, Théodore de	Bèze, Théodore De	4
Clapham, Henoch.	Clapham, Henoch	4
Chidley, Samuel.	Chidley, Samuel	4
Everard, Edmund.	Everard, Edmund	4
Gand, Louis de.	Gand, Louis De	4
Thou, Jacques-Auguste de	Thou, Jacques-auguste De	4
Willoughby of Parham, Francis Willoughby	Willoughby Of Parham, Francis	4
Campion, Robert.	Campion, Robert	4
Vega, Garcilaso de la	Vega, Garcilaso De La	4
Paget, William Paget	Paget, William	4
Crosfeild, Robert.	Crosfeild, Robert	4
Fannant, Thomas.	Fannant, Thomas	4
Symmons, Edward.	Symmons, Edward	4
Bos, Lambert van den	Bos, Lambert Van Den	4
Saintliger, W.	Saintliger, W	4
Capel of Hadham, Arthur Capel	Capel Of Hadham, Arthur	4
Vaughan, Rice.	Vaughan, Rice	4
Hopton, Ralph Hopton	Hopton, Ralph	4
Basill, William.	Basill, William	4
Rosse, William.	Rosse, William	4
Poyntz, Sydenham.	Poyntz, Sydenham	4
Rishton, Robert.	Rishton, Robert	4
Howe, William Howe	Howe, William	3
Mullenaux, Samuel.	Mullenaux, Samuel	3
La Motte, Yves-Joseph.	Motte, Yves-joseph	3
Croke, Unton.	Croke, Unton	3
Marmontel, Jean-François	Marmontel, Jean-françois	3
Hastings, Francis Rawdon-Hastings	Hastings, Francis Rawdon-hastings	3
Koops, Matthias.	Koops, Matthias	3
Fowler, Benjamin.	Fowler, Benjamin	3
Bird, Benjamin.	Bird, Benjamin	3
M'Culloch, John	M'culloch, John	3
Grey, Isaac.	Grey, Isaac	3
Moreau de Saint-Méry, M. L. E.	Moreau De Saint-méry, M L E	3
Tailfer, Patrick.	Tailfer, Patrick	3
Livingston, Robert R.	Livingston, Robert R	3
Leacock, John.	Leacock, John	3
Thrum, Tam.	Thrum, Tam	3
McAlpine, J.	Mcalpine, J	3
Sénac de Meilhan, Gabriel	Sénac De Meilhan, Gabriel	3
Newcastle, Thomas Pelham-Holles	Newcastle, Thomas Pelham-holles	3
Shaftoe, Frances.	Shaftoe, Frances	3
L'Isle, Evrard de	L'isle, Evrard De	3
Lahontan, Louis Armand de Lom d'Arce	Lahontan, Louis Armand De Lom D'arce	3
D'Anvers, Caleb.	D'anvers, Caleb	3
Larrey, Isaac de	Larrey, Isaac De	3
Lamotte, Charles.	Lamotte, Charles	3
Cunningham, T.	Cunningham, T	3
Fontenelle, Bernard Le Bovier de	Fontenelle, Bernard Le Bovier De	3
Armstrong, Mostyn John.	Armstrong, Mostyn John	3
Saavedra Fajardo, Diego de	Saavedra Fajardo, Diego De	3
M'Mahon, Thomas O'Brien.	M'mahon, Thomas O'brien	3
Craufurd, Q.	Craufurd, Q	3
Schwan, Christian Friedrich.	Schwan, Christian Friedrich	3
Turretin, Jean-Alphonse	Turretin, Jean-alphonse	3
Goguet, Antoine-Yves	Goguet, Antoine-yves	3
Skerret, R.	Skerret, R	3
Duguay-Trouin, René	Duguay-trouin, René	3
Sydney, Temple.	Sydney, Temple	3
Krusiński, Judas Thaddaeus.	Krusiński, Judas Thaddaeus	3
Clarke, Thomas Brooke.	Clarke, Thomas Brooke	3
Tracy, Darby.	Tracy, Darby	3
Retz, Jean François Paul de Gondi de	Retz, Jean François Paul De Gondi De	3
Minucius Felix, Marcus.	Minucius Felix, Marcus	3
Troughton, Thomas.	Troughton, Thomas	3
Thomas, M.	Thomas, M	3
Castéra, Jean-Henri	Castéra, Jean-henri	3
Bousfield, Benjamin.	Bousfield, Benjamin	3
Tonkin, Mary.	Tonkin, Mary	3
Lyttelton, Thomas Lyttelton	Lyttelton, Thomas	3
Seacome, John.	Seacome, John	3
Cawthorne, Joseph.	Cawthorne, Joseph	3
Mairobert, Mathieu François Pidanzat de	Mairobert, Mathieu François Pidanzat De	3
Saint-Pierre, Charles Irénée Castel de	Saint-pierre, Charles Irénée Castel De	3
Mullala, James.	Mullala, James	3
Menteith, Robert.	Menteith, Robert	3
Salmon, N.	Salmon, N	3
Limborch, Philippus van	Limborch, Philippus Van	3
Barnard, Edward.	Barnard, Edward	3
Mairobert, Mathieu François Pidanzat de	Mairobert, Mathieu François Pidanzat De	3
Stuart, C.	Stuart, C	3
Ashburton, Charles Alfred.	Ashburton, Charles Alfred	3
Macartney, George Macartney	Macartney, George	3
Orléans, Pierre Joseph d'	Orléans, Pierre Joseph D'	3
Charlevoix, Pierre-François-Xavier de	Charlevoix, Pierre-françois-xavier De	3
Quesnay de Saint-Germain, Robert-François-Joseph	Quesnay De Saint-germain, Robert-françois-joseph	3
Gerahty, James.	Gerahty, James	3
O'Halloran, Sylvester	O'halloran, Sylvester	3
Wylie, Robert.	Wylie, Robert	3
Antraigues, Emmanuel-Louis-Henri-Alexandre de Launay	Antraigues, Emmanuel-louis-henri-alexandre De Launay	3
McWard, Robert	Mcward, Robert	3
Stanhope, Charles Stanhope	Stanhope, Charles	3
Turnbull, Gordon.	Turnbull, Gordon	3
Asplin, Samuel.	Asplin, Samuel	3
Lattin, Patrick.	Lattin, Patrick	3
La Noue, François de	Noue, François De	3
Valdés, Alfonso de	Valdés, Alfonso De	3
Nixon, Anthony.	Nixon, Anthony	3
Willoughby de Eresby, Peregrine Bertie	Willoughby De Eresby, Peregrine Bertie	3
Duncon, Samuel.	Duncon, Samuel	3
Montagu, Ralph Montagu	Montagu, Ralph	3
Abudacnus, Josephus.	Abudacnus, Josephus	3
Brayne, John.	Brayne, John	3
Reede-Ginckel, Godard	Reede-ginckel, Godard	3
Danvers, John.	Danvers, John	3
Ramsey, Thomas.	Ramsey, Thomas	3
Matthew, Edward.	Matthew, Edward	3
Pora, Charles.	Pora, Charles	3
Burridge, Ezekiel.	Burridge, Ezekiel	3
Chamberlen, Hugh.	Chamberlen, Hugh	3
Monro, Robert.	Monro, Robert	3
Freeman, Francis.	Freeman, Francis	3
Fowler, J.	Fowler, J	3
Knight, Val.	Knight, Val	3
