original	polished	Count
[Nottingham	Nottingham	63
[Hull	Hull	63
[Portsmouth, N.H.]	Portsmouth NH	63
Boston, in N.E.	Boston	63
[Salem, Mass.]	Salem MA	63
[[Dublin]	Dublin	63
A Londres [i.e. Paris]	Paris	62
[Providence?	Providence RI	62
Newport, Rhode-Island	Newport RI	62
London [i.e. Edinburgh]	Edinburgh	62
Lynn	Kings Lynn	61
[Exeter, N.H.	Exeter NH	61
Windsor [Vt.]	Windsor Vt	61
[Newbern, N.C.	New Bern NC	61
[Northampton?	Northampton	60
[Exeter	Exeter	60
[Canterbury]	Canterbury	58
Halifax [N.S.]	Halifax NS	58
[Hartford]	Hartford CT	57
Bennington [Vt.]	Bennington Vt	57
[Gloucester?	Gloucester	57
A Paris	Paris	56
[Paris]	Paris	55
[Salisbury?	Salisbury	55
Edinbvrgh	Edinburgh	55
Boston [Mass.]	Boston MA	55
Portsmouth, New-Hampshire	Portsmouth NH	54
[Maidstone?	Maidstone	54
Printed at York	York	54
[Hartford?	Hartford CT	53
[Halifax?	Halifax	53
[Exeter]	Exeter	51
À Londres	London	51
[[London	London	51
Londres [i.e. Amsterdam]	Amsterdam	51
Gainsbrough	Gainsborough	51
[Rouen	Rouen	51
[Charleston, S.C.]	Charleston SC	50
Ephrata [Pa.]	Ephrata PA	50
[Montreal	Montreal	50
[Douai	Douai	50
[Durham?	Durham	49
London.	London	49
Air	Ayr	49
A Quebec	Quebec	49
Newbury-Port [Mass.]	Newburyport MA	49
Middletown [Conn.]	middletown conn	49
Madras	Madras India	49
Newbern [N.C.]	New Bern NC	48
[Newburyport, Mass.	Newburyport MA	48
[Albany	Albany NY	48
Printed at Exeter [N.H.]	Exeter NH	48
[Bedford	bedford	48
Imprentit at Edinburgh	Edinburgh	48
[Bath?	Bath	47
[Twickenham	Twickenham	47
[Bath	Bath	47
New-Brunswick [N.J.]	New Brunswick NJ	47
Litchfield [Conn.]	Litchfield CT	47
Worcester [Mass.]	Worcester MA	47
Lexington [Ky.]	Lexington Ky	47
[Darlington	Darlington	47
[Hull]	Hull	46
[Liverpool]	Liverpool	46
Elizabeth-Town [N.J.]	elizabeth town nj	46
[New Orleans	New Orleans La	46
Printed at Worcester [Mass.]	Worcester MA	46
[Belfast?	Belfast	46
Oxoniae	Oxford	45
Dublini	Dublin	45
[Chester?	Chester	45
Woodbridge, in New-Jersey	Woodbridge NJ	45
Springfield [Mass.]	Springfield MA	45
[St. Omer	St Omer	45
[United States?	United States	44
Sarum	Salisbury	44
At Amsterdam	Amsterdam	44
London [i.e. Dublin?]	Dublin	43
Southwark	London	43
[Halifax]	Halifax	43
Printed at Providence	Providence RI	43
London [i.e. Edinburgh?]	Edinburgh	43
[Leicester	Leicester	42
Hudson [N.Y.]	Hudson NY	42
[Wilmington, Del.	Wilmington De	42
[Belfast]	Belfast	42
[Shrewsbury	Shrewsbury	41
Londoni	London	41
[England	London	41
In Londra	London	41
Bostoniæ [Boston]	Boston	41
New-York [N.Y.]	New York NY	41
New York [N.Y.]	New York NY	41
[Oxford?]	Oxford	40
[Leicester?	Leicester	40
[Pennsylvania?	Philadelphia PA	40
Richmond [Va.]	Richmond VA	40
[Sherborne]	Sherborne	39
