original	polished	Count
Moxon, Elizabeth.	Moxon, Elizabeth	21
Stevens, J.	Stevens, J	21
Irishman.	Irishman	21
Brutus.	Brutus	21
Proud, J.	Proud, J	21
Sprange, J.	Sprange, J	21
Holwell, J. Z.	Holwell, J. Z	21
Wanostrocht, N.	Wanostrocht, N	21
Steel, David.	Steel, David	21
Butler, Isaac.	Butler, Isaac	21
Cowper, William Cowper	Cowper, William	20
Peyton, V. J.	Peyton, V. J	20
Chidley, Samuel.	Chidley, Samuel	20
Craghead, Robert.	Craghead, Robert	20
Merry Andrew.	Merry Andrew	20
Axford, John.	Axford, John	20
Wharton, Philip Wharton	Wharton, Philip	20
Hudson, Peter.	Hudson, Peter	20
Briton.	Briton	20
Pindar.	Pindar	20
Hitchens, James.	Hitchens, James	20
Fitzwilliam, William Wentworth Fitzwilliam	Fitzwilliam, William Wentworth	20
Broughton, Richard.	Broughton, Richard	20
Brayne, John.	Brayne, John	20
Sheppard, S.	Sheppard, S	20
Perry, S.	Perry, S	19
Sibly, E.	Sibly, E	19
Arbuthnott, John Arbuthnott	Arbuthnott, John	19
Dyke, Daniel, d. 1614.	Dyke, Daniel D.	19
Civis.	Civis	19
Veritas.	Veritas	19
Rutherforth, T.	Rutherforth, T	19
Holman, J. G.	Holman, J. G	19
Cockburn, W.	Cockburn, W	19
King, Peter King	King, Peter	19
Boyle, P.	Boyle, P	19
Stern, Philip.	Stern, Philip	19
Roussat, Richard.	Roussat, Richard	19
Crimsal, Richard.	Crimsal, Richard	19
Stanbridge, John.	Stanbridge, John	19
Fairfax, Ferdinando Fairfax	Fairfax, Ferdinando	19
Fitzgerald, R.	Fitzgerald, R	19
Philipps, J. T.	Philipps, J. T	18
Polybius.	Polybius	18
Salmon, N.	Salmon, N	18
Bordley, J. B.	Bordley, J. B	18
Clare, M.	Clare, M	18
Gearing, William.	Gearing, William	18
Haym, Nicola Francesco.	Haym, Nicola Francesco	18
Riley, George.	Riley, George	18
Merchant of London.	Merchant Of London	18
Cotton, Clement.	Cotton, Clement	18
Nougaret, P. J. B.	Nougaret, P. J. B	18
Wright, J.	Wright, J	18
True Briton.	True Briton	18
Varenne, P.	Varenne, P	18
Carter, W.	Carter, W	18
Heber, Reginald.	Heber, Reginald	18
Nixon, Anthony.	Nixon, Anthony	18
Kitchin, John.	Kitchin, John	18
Daffy, Anthony.	Daffy, Anthony	17
Home, Alexander Home	Home, Alexander	17
Monipennie, John.	Monipennie, John	17
American.	American	17
Decalves, Alonso.	Decalves, Alonso	17
Hodson, J.	Hodson, J	17
Armstrong, Mostyn John.	Armstrong, Mostyn John	17
Isham, Z.	Isham, Z	17
Laurence, R.	Laurence, R	17
Clarke, Thomas Brooke.	Clarke, Thomas Brooke	17
Crull, J.	Crull, J	17
Duncombe, Giles.	Duncombe, Giles	17
Huguenin Du Mitand, Louis.	Huguenin Du Mitand, Louis	17
Bird, James Barry.	Bird, James Barry	17
Themylthorpe, Nicholas.	Themylthorpe, Nicholas	17
Thomas, Thomas	Thomas, 	17
Penkethman, John.	Penkethman, John	17
Marsin, M.	Marsin, M	17
Robinson, H.	Robinson, H	17
Duffett, Thomas.	Duffett, Thomas	17
Wall, Thomas.	Wall, Thomas	17
Poor Robin.	Poor Robin	17
Bayley, C.	Bayley, C	16
Killiray, Matthew.	Killiray, Matthew	16
English gentleman.	English Gentleman	16
Streete, Thomas.	Streete, Thomas	16
Manners, Nicholas.	Manners, Nicholas	16
Coats, John.	Coats, John	16
Welton, R.	Welton, R	16
Swan, Abraham.	Swan, Abraham	16
Deans, Archibald.	Deans, Archibald	16
Gentleman in London.	Gentleman In London	16
Jordan, J. S.	Jordan, J. S	16
Hodges, James.	Hodges, James	16
Withy, N.	Withy, N	16
Moir, J.	Moir, J	16
Dawes, M.	Dawes, M	16
Lyttelton, Thomas Lyttelton	Lyttelton, Thomas	16
Ridgway, James.	Ridgway, James	16
Minucius Felix, Marcus.	Minucius Felix, Marcus	16
Hibernicus.	Hibernicus	16
Warren, Erasmus.	Warren, Erasmus	16
Cawthorne, Joseph.	Cawthorne, Joseph	16
Macleod, Roderick.	Macleod, Roderick	16
Galen.	Galen	16
Greenham, Richard.	Greenham, Richard	16
Young, E.	Young, E	15
Cato.	Cato	15
Byfield, T.	Byfield, T	15
Whyte, S.	Whyte, S	15
Hampden.	Hampden	15
Morland, S.	Morland, S	15
Bobbin, Tim.	Bobbin, Tim	15
[Sinclair, John]	Sinclair, John]	15
Sutherland, William Sutherland	Sutherland, William	15
Martinet, J. F.	Martinet, J. F	15
Torriano, Giovanni.	Torriano, Giovanni	15
Prichard, Samuel.	Prichard, Samuel	15
Douglas, Archibald Douglas	Douglas, Archibald	15
Taylor, C.	Taylor, C	15
Goodman, T.	Goodman, T	15
Thumb, Tom.	Thumb, Tom	15
Liveryman.	Liveryman	15
Lonsdale, Mark.	Lonsdale, Mark	15
Crokatt, Gilbert.	Crokatt, Gilbert	15
Gregory, G.	Gregory, G	15
Fothergill, A.	Fothergill, A	15
Potter, R.	Potter, R	15
Walpole, Horatio Walpole	Walpole, Horatio	15
Craven, Elizabeth Craven	Craven, Elizabeth	15
Neve, Richard.	Neve, Richard	15
Mackenzie, Anna Maria.	Mackenzie, Anna Maria	15
Ker, Robert.	Ker, Robert	15
Spottiswoode, John.	Spottiswoode, John	15
Phillips, H.	Phillips, H	15
Gilden, G.	Gilden, G	15
Spittlehouse, John.	Spittlehouse, John	15
Bamber, T.	Bamber, T	15
Rogissart, Alexandre de.	Rogissart, Alexandre De	14
Bromfield, M.	Bromfield, M	14
Delap, J.	Delap, J	14
Butler, Lilly.	Butler, Lilly	14
Bradbury, Charles.	Bradbury, Charles	14
Lukin, H.	Lukin, H	14
Poulson, James.	Poulson, James	14
Cato, Dionysius.	Cato, Dionysius	14
Guillemain de Saint-Victor, Louis.	Guillemain De Saint-victor, Louis	14
Workman, Benjamin.	Workman, Benjamin	14
Sobersides, Solomon.	Sobersides, Solomon	14
Barry, James.	Barry, James	14
Gentleman of Cambridge.	Gentleman Of Cambridge	14
Watt, Thomas.	Watt, Thomas	14
Roberts, W. H.	Roberts, W. H	14
Gills, Thomas.	Gills, Thomas	14
Schomberg, R.	Schomberg, R	14
Herodian.	Herodian	14
Cowley, J.	Cowley, J	14
Catullus, Gaius Valerius.	Catullus, Gaius Valerius	14
Tindal, N.	Tindal, N	14
Arbuckle, James.	Arbuckle, James	14
Stuart, C.	Stuart, C	14
Edwards, J.	Edwards, J	14
Beawes, Wyndham.	Beawes, Wyndham	14
Mortimer, J.	Mortimer, J	14
Thucydides.	Thucydides	14
Knight, T.	Knight, T	14
Forbes, James Forbes	Forbes, James	14
Taylor, J.	Taylor, J	14
Castaing, John.	Castaing, John	14
Blackerby, S.	Blackerby, S	14
Garrett, Walter.	Garrett, Walter	14
Mallory, John.	Mallory, John	14
Forbes, Dorothea Forbes	Forbes, Dorothea	14
Flin, Laurence.	Flin, Laurence	14
Virel, Matthieu.	Virel, Matthieu	14
Freize, James.	Freize, James	14
F., M.	F., M	14
Rich, Edward-Pickering.	Rich, Edward-pickering	13
Greenway, R.	Greenway, R	13
Marlow, Isaac.	Marlow, Isaac	13
Randall, Joseph.	Randall, Joseph	13
West, Moses.	West, Moses	13
Beaven, Thomas.	Beaven, Thomas	13
Sprint, John.	Sprint, John	13
Brackenridge, H. H.	Brackenridge, H. H	13
Bowman, Thomas.	Bowman, Thomas	13
Watkinson, Edward.	Watkinson, Edward	13
