pages.total	pages.original	count
42	42p.	13
46	45,[1]p.	13
82	[2],80p.	13
56	[4],51,[1]p.	13
28	[4],24p.	13
60	[4],55,[1]p.	13
2	[2+] p.	13
14	8, 7-13, [1] p.	13
72	[4], 68 p.	13
40	[4], 34, [2] p.	13
12	[2], 8, [2] p.	13
NA	10 v.	13
12	10, [2] p.	12
18	17, [1] p.	12
24	[4], 18, [2] p.	12
34	[2], 31, [1] p.	12
32	[6], 26 p.	12
40	[2], 36, [2] p.	12
84	83,[1]p.	12
80	79,[1]p.	12
14	13, [1] p.	12
52	[4],48p.	12
16	[2],14p.	12
80	[4],76p.	12
72	[72] p.	12
18	[2], 15, [1] p.	12
14	8, 7-14 p.	12
2	1 sheet (1 p.)	12
4	2 sheets ([2] p.)	12
8	[2], 3, [3] p.	12
8	6 [i.e. 8] p.	12
NA	9 v.	12
96	96 p.	11
88	87,[1]p.	11
36	[4],31,[1]p.	11
26	25,[1]p.	11
28	26,[2]p.	11
34	33,[1]p.	11
144	144p.	11
12	[2],10p.	11
104	104p.	11
80	[2],77,[1]p.	11
368	iv,364p.	11
60	[2],58p.	11
80	[8], 72 p.	11
7	[7] p.	11
60	[60] p.	11
44	[2], 42 p.	11
8	5, [3] p.	11
44	[8], 35, [1] p.	11
64	[2], 62 p.	11
72	[8], 64 p.	11
56	55, [1] p.	10
64	63, [1] p.	10
36	34,[2]p.	10
104	[4],100p.	10
42	[2],40p.	10
36	[4],32p.	10
44	[2],41,[1]p.	10
68	67,[1]p.	10
28	26, [2] p.	10
44	[2],42p.	10
70	70p.	10
58	58p.	10
44	43, [1] p.	10
12	[4],8p.	10
64	[2],61,[1]p.	10
64	[2],62p.	10
38	[4],34p.	10
192	xx,[4],164,[4]p.	10
14	[4], 10 p.	10
10	5 sheets (versos blank)	10
16	[2], 6, [8] p.	10
2	1 broadside	10
2	[2]+ p.	10
4	[1], 2, [1] p.	10
2	1 sheet ([2] p.).	10
36	[8], 27, [1] p.	10
36	[8], 28 p.	10
18	[2], 6, 9-15, [1] p.	9
40	38, [2] p.	9
5	5 p.	9
32	[4], 26, [2] p.	9
54	54p.	9
72	71, [1] p.	9
8	6,[2]p.	9
38	[2],36p.	9
58	[2],56p.	9
96	95,[1]p.	9
360	iv,356p.	9
56	[2],53,[1]p.	9
184	viii,[108],68p.	9
112	[4],107,[1]p.	9
128	128p.	9
22	[4], 18 p.	9
72	[4],67,[1]p.	9
78	[4],74p.	9
22	[22] p.	9
96	[96] p.	9
38	[38] p.	9
4	2 sheets ([4] p.)	9
56	[8], 48 p.	9
38	[2], 35, [1] p.	9
32	[8], 23, [1] p.	9
16	[4], 10, [2] p.	9
28	[2], 24, [2] p.	9
8	7 [i.e. 8] p.	9
384	[24], 359, [1] p.	9
5	v	9
NA	8 v.	9
36	[4], 30, [2] p.	8
18	[2], 6, 9-16 p.	8
3	3 p.	8
72	70, [2] p.	8
44	[4], 39, [1] p.	8
74	74p.	8
28	[2],25,[1]p.	8
34	34 p.	8
56	[4],52p.	8
16	13,[3]p.	8
60	59, [1] p.	8
22	[4],18p.	8
20	[2],18p.	8
72	[2],69,[1]p.	8
112	[2],109,[1]p.	8
52	[2], 48, [2] p.	8
192	[4],188p.	8
72	[4],68p.	8
18	[2],16p.	8
88	[2],85,[1]p.	8
62	[2],60p.	8
2	5v.,plate	8
92	91,[1]p.	8
38	[2],35,[1]p.	8
112	[4],108p.	8
92	92p.	8
74	[2],72p.	8
46	[2],44p.	8
34	[2],32p.	8
376	xii,347,[13]p.,plates	8
4	2 leaves (versos blank)	8
26	[2], 23, [1] p.	8
84	[84] p.	8
3	[3] p.	8
42	[2], 40 p.	8
16	[2], 11, [3] p.	8
88	[8], 80 p.	8
2	1 sheet ([1] p.	8
44	[4], 40 p.	8
8	[1], 6, [1] p.	8
8	[2] 6 p.	8
68	[4], 64 p.	8
NA	26 v.	8
NA	v. :bill.	8
80	[8], 71, [1] p.	7
52	52 p.	7
38	[2], 36 p.	7
30	[2], 27, [1] p.	7
1	[1+] p.	7
26	26 p.	7
24	21, [3] p.	7
NA	21 v.	7
72	70,[2]p.	7
20	18,[2]p.	7
32	29, [3] p.	7
30	[2],28p.	7
16	[2],13,[1]p.	7
16	13, [3] p.	7
40	37,[3]p.	7
86	86p.	7
46	[2], 43, [1] p.	7
36	34, [2] p.	7
60	[2], 58 p.	7
80	[4],75,[1]p.	7
84	[4],80p.	7
84	82,[2]p.	7
92	[4],88p.	7
68	[4],64p.	7
NA	7v.	7
4	12v.,plates	7
176	176p.	7
352	[18],234,[100]p.	7
76	[4],72p.	7
68	[2],65,[1]p.	7
54	[4],50p.	7
2	7v.,plate	7
66	[2],64p.	7
160	160p.	7
80	[2], 78 p.	7
46	[46] p.	7
2	1 sheet ([2]) p.	7
4	[2] sheets	7
400	[8], 392 p.	7
48	[8], 39, [1] p.	7
44	[8], 36 p.	7
60	[8], 52 p.	7
56	[8], 47, [1] p.	7
8	[2], 9 [i.e. 6] p.	7
6	3 sheets (versos only)	7
52	[2], 50 p.	7
4	3 v., plates	7
NA	15 v.	7
60	60 p.	6
120	[120] p.	6
8	[2], 5 [i.e. 6] p.	6
4	[2] leaves	6
240	239, [1] p.	6
22	21, [1] p.	6
46	45, [1] p.	6
46	46 p.	6
76	76 p.	6
68	[4], 63, [1] p.	6
23	23 p.	6
64	62, [2] p.	6
112	[12], 99, [1] p.	6
64	[4], 59, [1] p.	6
80	[4], 75, [1] p.	6
40	[4],iv,32p.	6
40	38,[2]p.	6
24	21,[3]p.	6
78	77,[1]p.	6
4	[2]leaves	6
42	[2],39,[1]p.	6
128	127,[1]p.	6
72	[2],70p.	6
46	[2], 44 p.	6
38	37,[1]p.	6
42	41,[1]p.	6
44	[2],40,[2]p.	6
80	79, [1] p.	6
24	[24]p.	6
30	[4],26p.	6
8	[4] leaves	6
152	152p.	6
40	[2],36,[2]p.	6
210	[4],206p.	6
108	107,[1]p.	6
20	[4],15,[1]p.	6
74	[2],71,[1]p.	6
88	[4],83,[1]p.	6
4	10v.,plates	6
114	[4],110p.	6
208	v,[1],201,[1]p.	6
72	[8],64p.	6
18	[2],15,[1]p.	6
26	[2],23,[1]p.	6
50	[2],48p.	6
132	131,[1]p.	6
104	[4],99,[1]p.	6
180	180p.	6
76	[4],71,[1]p.	6
66	[2], 64 p.	6
62	60p.,plate	6
38	38 p.	6
6	3 sheets	6
160	[8], 149, [3] p.	6
22	[2], 19, [1] p.	6
136	[136] p.	6
7	[2], 5 p.	6
30	[4], 26 p.	6
8	4 leaves.	6
72	[4], 66, [2] p.	6
48	[6], 41, [1] p.	6
20	[4], 14, [2] p.	6
10	[2], 7, [1] p.	6
56	[4], 51, [1] p.	6
32	[8], 22, [2] p.	6
56	[2], 52, [2] p.	6
60	[4], 56 p.	6
32	[8], 24 p.	6
48	[8], 40 p.	6
22	[2], 18, [2] p.	6
2	1 sheet (2 p.).	6
44	[2], 41, [1] p.	6
54	[2], 52 p.	6
36	[2], 32, [2] p.	6
240	[8], 232 p.	6
56	[2], 53, [1] p.	6
8	[2], 4 [i.e. 6] p.	6
56	[4], 52 p.	6
26	25, [1] p.	5
4	2 v., plates	5
56	54, [2] p.	5
8	[2], 6, p.	5
88	87, [1] p.	5
NA	20 v.	5
70	70 p.	5
60	[2], 57, [1] p.	5
4	2, [2] p.	5
48	[4], 42, [2] p.	5
80	[4], 76 p.	5
68	67, [1] p.	5
30	[2],27,[1]p.	5
24	[8],16p.	5
16	[16]p.	5
200	[4],196p.	5
6	[6]p.	5
112	112p.	5
84	[2],82p.	5
66	65,[1]p.	5
84	viii,76p.	5
68	[2], 66 p.	5
132	132p.	5
76	75,[1]p.	5
90	90p.	5
100	99,[1]p.	5
62	62 p.	5
124	124p.	5
48	46, [2] p.	5
64	[4],58,[2]p.	5
108	108p.	5
32	[6],26p.	5
156	[4],151,[1]p.	5
78	[2],76p.	5
78	[2],75,[1]p.	5
68	[4],63,[1]p.	5
224	224p.	5
144	iv,140p.	5
282	[4],xxiii,[1],248,[4]p.,plate	5
10	[2],8p.	5
80	[2],78p.	5
116	[4],112p.	5
156	155,[1]p.	5
104	103,[1]p.	5
2	6v.,plate	5
62	[4],58p.	5
40	viii,32p.	5
100	[4],96p.	5
76	[2],74p.	5
