pages.total	pages.original	count
19	[2], 14, 13-14, [2], 11, [1] p.	1
206	[2], 204 p.	1
312	307 [i.e. 311], [1] p.	1
20	[8], 7-18 p.	1
88	[88+] p.	1
30	[2], 955-982 p.	1
82	viii, 72 p., plate	1
344	xvi, 327, [1] p.	1
453	[6], 256, [2], 257-351, [37], 57, [1]; 53, [3] p.	1
4	3,[1] p	1
4	2,[2] p.	1
92	[6], 75, [11] p.	1
168	[32], 68, 65-136 p.	1
202	[2], 199, [1] p.	1
184	183, [1] p.	1
590	589, [1] p.	1
168	164 p., [2] leaves of plates	1
170	[170] p.	1
1074	[6], 871, [3] p., [97] leaves of plates	1
348	[4], 201, 204-340, [4] p.	1
172	[12], 155, [1] p., plates	1
472	[2], xxv, [9], 128, 137-144, 137-200, 121-128, 209-428 p., [4] plates	1
94	[2], [141]-232 p.	1
16	14 [i.e. 15], [1] p.	1
232	232 p.	1
110	[8], 101, [1] p.	1
43	[2], 343-382, [1] p.	1
8	[2], 1023-1027, [1] p.	1
8	[2], 335-339, [1] p.	1
6	[2], 535-537, [1] p.	1
70	[2], 1001-1067, [1] p.	1
13	[3], 7, 9-10 p.	1
32	[2], 927-956 p.	1
18	[2], 1089-1103, [1] p.	1
20	[2], 837-854 p.	1
10	[2], 365-372 p.	1
64	[2], 947-1007, [1] p.	1
8	[2], 241-245, [1] p.	1
8	[2], 1071-1076 p.	1
12	[2], 471-480 p.	1
12	P. 133-144	1
506	[14], 480, [12] p.	1
2	1 sheet (page 223)	1
2	1 sheet (page 161)	1
2	1 sheet (page 61)	1
8	[2], ii, [4] p.	1
2	1 sheet (p. 161)	1
242	242 p.	1
858	2 v. (xvi, 458; [iv], 383, [1] p.)	1
250	ix, [1], 239, [1] p.	1
10	[2], 8 p., [20+] leaves of plates	1
194	194 p.	1
136	2 v. (96, 136 p.)	1
124	[124+] p.	1
241	ix, 229 [i.e.231], [1] p.	1
22	[2], iii, [1], 16 p.	1
80	72 p., [4] folded leaves of plates	1
528	527, [1], p.	1
74	[16], 56 p., folded plate	1
134	133, [1] p.	1
45	[6], 34, [2], 8, [2], 27, [1] p.	1
128	x, 11-128 p.	1
160	160+ p.	1
4	10 v., plates	1
184	xxiv, 160 p.	1
43	43 p.	1
36	35 p [1].	1
154	xviii, [12] p., 62 plates	1
140	115, [25] p.	1
64	vi, 58 p.	1
12	143-154 p.	1
8	115-122 p.	1
4	111-114 p.	1
10	101-110 p.	1
6	83-88 p.	1
4	77-80 p.	1
6	19-24 p.	1
14	21-34 p.	1
6	15-20 p.	1
8	7-14 p.	1
156	[viii], 100; 56 p.	1
242	viii, [13], 217, 219-220, [1] p.	1
4	p. 105-108	1
235	vj, [3], 231, [1] p.	1
146	v.2 ([4], 142 p.)	1
434	[2], 432 p.	1
8	385-392 p.	1
24	361-384 p.	1
48	313-360 p.	1
30	283-312 p.	1
30	253-282 p.	1
20	233-252 p.	1
6	227-232 p.	1
226	219-225, 224-226 p.	1
22	197-218 p.	1
22	175-196 p.	1
174	167-173, 172-174 p.	1
12	155-166 p.	1
8	147-154 p.	1
14	133-146 p.	1
18	115-132 p.	1
8	107-114 p.	1
6	101-106 p.	1
10	79-88 p.	1
50	29-78 p.	1
384	[8], lxx, [2], 302, [2] p.	1
16	159-173, [1] p.	1
10	149-158 p.	1
20	129-148 p.	1
8	121-128 p.	1
14	[2], 109-120 p.	1
14	95-108 p.	1
14	81-94 p.	1
10	71-80 p.	1
32	39-70 p.	1
18	21-38 p.	1
18	287-304 p.	1
28	259-286 p.	1
14	245-258 p.	1
6	239-244 p.	1
10	229-238 p.	1
8	221-228 p.	1
10	211-219, [1] p.	1
4	207-210 p.	1
6	201-206 p.	1
18	183-200 p.	1
10	173-182 p.	1
10	163-172 p.	1
10	153-162 p.	1
6	147-151, [1] p.	1
8	139-146 p.	1
58	81-138 p.	1
14	67-80 p.	1
28	25-52 p.	1
16	9-24 p.	1
8	1-7, [1] p.	1
12	285-296 p.	1
6	279-284 p.	1
6	273-278 p.	1
6	267-272 p.	1
14	253-266 p.	1
4	249-252 p.	1
10	195-204 p.	1
18	177-194 p.	1
16	161-176 p.	1
48	113-160 p.	1
24	89-112 p.	1
22	67-88 p.	1
8	45-52 p.	1
5	39-43 p.	1
6	33-38 p.	1
8	25-31, [1] p.	1
10	15-24 p.	1
16	[2], 9-10, 13-14 p.	1
21	[1], 19, [1] p.	1
17	[1], 14, [2] p.	1
57	[2], 45-51, 53-54, [1] p.	1
6	[2], 42-45 p.	1
4	39-41, [1] p.	1
12	[2], 29-38 p.	1
10	[2], 21-28 p.	1
6	[2], 17-20 p.	1
10	[2], 9-16 p.	1
8	1-8 p.	1
71	[4], 8, [2], 9-16, [2], 17-20, [2], 21-28, [2], 29-38, [1], 39-41, [2], 42-45, [2], 45-51, 53-54 [i.e. 53], [1] p.	1
26	[2], 63-86 p.	1
6	[2], 59-62 p.	1
12	[2], 57-66 p.	1
12	[2], 49-58 p.	1
8	[2], 43-48 p.	1
6	[2], 39-42 p.	1
10	[2], 25-32 p.	1
4	[2], 23-24 p.	1
8	[2], 7-12 p.	1
10	125-134 p.	1
6	111-116 p.	1
8	103-110 p.	1
14	79-92 p.	1
4	69-72 p.	1
10	7-16 p.	1
136	126-127, [2], 134 p.	1
5	[1], 122-125 p.	1
113	111, [2] p.	1
113	101-103, [2], 110-111 p.	1
8	94-101 p.	1
96	81-89, [2], 94 p.	1
2	23-24 p.	1
2	21-22 p.	1
16	109-124 p.	1
12	[97]-[108] p.	1
12	[85]-96 p.	1
10	[75]-84 p.	1
4	[71]-74 p.	1
12	59-70 p.	1
10	[49]-58 p.	1
4	[45]-48 p.	1
8	37-44 p.	1
8	29-36 p.	1
12	[17]-28 p.	1
4	[13]-16 p.	1
6	7-12 p.	1
12	189-200 p.	1
18	171-188 p.	1
4	145-148 p.	1
4	140 [i.e. 142]-145 p.	1
9	134-140 [i.e. 142] p.	1
6	129-134 p.	1
10	120-129 p.	1
9	112-120 p.	1
4	109-112 p.	1
5	105-109 p.	1
16	89-104 p.	1
20	69-88 p.	1
8	53-60 p.	1
4	31-34 p.	1
2	29-30 p.	1
4	35-38 p.	1
205	[4], 1-26, 29-49, [1], 53-148, 171-200 p.	1
128	[4], 124 p.	1
176	[4], 749-920 p.	1
12	123-134 p.	1
8	105-112 p.	1
2	103-104 p.	1
10	83-92 p.	1
4	79-82 p.	1
132	[8], 123, [1] p.	1
4	75-78 p.	1
8	63-70 p.	1
4	21-24 p.	1
6	11-16 p.	1
352	xvi, 336 p.	1
40	331-370 p.	1
16	315-330 p.	1
24	291-314 p.	1
8	285-290, [2] p.	1
8	277-284 p.	1
12	267-276, [2] p.	1
8	259-265, [1] p.	1
8	251-258 p.	1
10	241-248, [2] p.	1
20	223-240, [2] p.	1
8	215-222 p.	1
20	195-214 p.	1
21	175-195 p.	1
36	141-174. [2] p.	1
12	129-140 p.	1
20	109-128 p.	1
8	101-108 p.	1
8	81-88 p.	1
8	73-80 p.	1
20	53-72 p.	1
6	47-52 p.	1
20	29-46, [2] p.	1
8	23-28, [2] p.	1
6	17-22 p.	1
16	1-16 p.	1
16	133-146, [2] p.	1
14	121-132, [2] p.	1
12	109-120 p.	1
12	97-106, [2] p.	1
12	87-96, [2] p.	1
16	73-86, [2] p.	1
28	47-72, [2] p.	1
8	39-46 p.	1
20	21-38, [2] p.	1
10	209-217, [1] p.	1
14	195-208 p.	1
8	187-194 p.	1
8	181-186, [2] p.	1
12	171-180, [2] p.	1
10	161-170 p.	1
14	131-144 p.	1
12	119-130 p.	1
24	95-118 p.	1
12	83-94 p.	1
16	67-80, [2] p.	1
10	57-66 p.	1
28	29-56 p.	1
12	17-28 p.	1
6	143-148 p.	1
11	133-143 p.	1
12	123-132, [2] p.	1
6	119-121, [3] p.	1
10	111-118, [2] p.	1
20	93-110, [2] p.	1
4	91-92, [2] p.	1
16	77-90, [2] p.	1
6	73-76, [2] p.	1
14	61-72, [2] p.	1
16	[2], 47-60 p.	1
12	[2], 39-46, [2] p.	1
14	[2], 27-38 p.	1
8	[2], 23-26, [2] p.	1
984	983, [1], 58, 68 p.	1
188	[4], 184 p.	1
8	179-184, [2] p.	1
8	171-178 p.	1
7	165-170, [1] p.	1
20	147-165, [1] p.	1
6	141-146 p.	1
8	133-140 p.	1
10	123-132 p.	1
20	103-120, [2] p.	1
20	83-102 p.	1
6	61-66 p.	1
520	viii, 512 p.	1
6	137-141, [1] p.	1
2	136-137 p.	1
4	133-136 p.	1
6	127-132 p.	1
216	24 pl. l., 195, [3], 48, [18] p.	1
127	127 p.	1
2	126-127 p.	1
6	121-126 p.	1
2	119-120 p.	1
117	117 p.	1
2	116-117 p.	1
5	112-116 p.	1
3	101 [i.e. 110]-112 p.	1
108	108-101 p.	1
8	100-107 p.	1
45	98-141, [1] p.	1
2	96-97 p.	1
4	92-95 p.	1
92	87, 94 [i.e. 88], 89-92 p.	1
6	78-83 p.	1
5	73-77 p.	1
2	72-73 p.	1
2	71-72 p.	1
4	83-86 p.	1
137	137, 132 p.	1
209	25, [1], 127-128. 128, 128-207, [1] p.	1
322	322 p.	1
48	23-70 p.	1
10	13-22 p.	1
52	41-91, [1] p.	1
40	3-41. [1] p.	1
2	10-11 p.	1
101	3-91, [1], 13-70, [2], 71-98 p.	1
2	6-7 p.	1
4	3-6 p.	1
3	1-3 p.	1
1	P. 593	1
11	*22-*31, [1] p.	1
7	*15-*21 p.	1
2	*13-*14 p.	1
5	*8-*12 p.	1
7	*1-*7 p.	1
3	88-89, [1] p.	1
2	86-87 p.	1
4	82-85 p.	1
7	75-81 p.	1
3	64-66 p.	1
12	53-64 p.	1
2	51-52 p.	1
2	49-50 p.	1
4	45-48 p.	1
3	42-44 p.	1
41	41 p.	1
9	32-40 p.	1
14	18-31 p.	1
10	8-17 p.	1
5	3-7 p.	1
890	795, [1] p., [47] leaves of plates	1
472	[22], 422, [24] p., [2] leaves of plates	1
468	[22], 424, [18] p., [2] folded leaves of plates	1
4	4-7 p.	1
640	[2], 261, [1]; 247, [1] p., LXIV leaves of plate	1
4	11-13, [1] p.	1
11	6-15, [1] p.	1
74	[2], 15, [1], 16, 13, [1], 7, [1], 10, 7, [1], 6, 7, [1], 7, [1], 4, 4, 9, [1], 10, 9, [1], 12, 10, 17, [1], 20, 12, 58, 13, [1], 15, [1], 15, [1], 13, [1], 19, [1] p.	1
434	6 v. ([2], viii, 424 p.)	1
3	14-16 p.	1
4	10-13 p.	1
4	6-9 p.	1
92	[4], 88, 16 p.	1
2	2+ p.	1
1952	4 v. ([4], 496; [2], 462+; [2], 440; [2], 475, [65] p.), [1] leaf of plates	1
256	xvi, 240 p.	1
4	3, [1]	1
2	7-8 p.	1
246	[3], ii-xxxi, [2], 2-4, [1], 2-199, [11] p.	1
60	lx p.	1
312	312 p.	1
2	P. [2]	1
6	145-150 p.	1
133	12-143, [1] p.	1
126	[2], 121, 124 p.	1
12	107-118 p.	1
13	95-106, [1] p.	1
16	65-79, [1] p.	1
20	[2], 47-64 p.	1
11	[2], 3-11 p.	1
6	[2], 93-96 p.	1
6	[2], 87-90 p.	1
84	[2], 35-44, 47-82 p.	1
19	[3], 21-36 p.	1
8	145-150, [2] p.	1
16	129-143, [1] p.	1
6	[2], 121-124 p.	1
14	107-118, [2] p.	1
12	95-106 p.	1
20	45-64 p.	1
4	13-15, [1] p.	1
28	21-48 p.	1
448	[24], 424 p.	1
28	17-18, 21-27, [1] p.	1
14	77-87, [3] p.	1
6	63-67, [1] p.	1
2	61-62 p.	1
4	57-59, [1] p.	1
70	[2+], iii, [1], 64, 8 p.	1
4	29-32 p.	1
4	21-23, [1] p.	1
2	11-12 p.	1
94	[6], 87, [1] p.	1
4	123-126 p.	1
12	17-27, [1] p.	1
8	9-16 p.	1
130	[4], 9-124, 123-126 p.	1
24	[2], 425-444, [2] p.	1
16	[2], 409-422 p.	1
3	406-408 p.	1
5	[2], 403-405 p.	1
8	393-400 p.	1
8	[2], 387-392 p.	1
12	[2], 375-382, [2] p.	1
8	[2], 367-370, [2] p.	1
8	[2], 359-362, [2] p.	1
8	[2], 351-356 p.	1
6	343-348 p.	1
14	[2], 331-341, [1] p.	1
12	[2], 319-327, [1] p.	1
6	[2], 314-317 p.	1
16	[2], 305-317, [1] p.	1
2	300-301 p.	1
8	[2], 297-301, [1] p.	1
12	[2], 285-293, [1] p.	1
8	[2], 273-278 p.	1
8	[2], 265-270 p.	1
22	[2], 245-262, [2] p.	1
36	[2], 209-242 p.	1
8	[2], 185-160 [i.e. 190] p.	1
38	147-184 p.	1
20	[2], 97-113, [1] p.	1
29	8-35, [1] p.	1
7	[2], 3-7 p.	1
172	167, [1], 36, [4] p.	1
14	[2], 153-164 p.	1
12	[2], 129-138 p.	1
14	[2], 115-126 p.	1
6	[2], 87-89, [1] p.	1
22	[2], 93-111, [1] p.	1
24	[2], 63-84 p.	1
4	[2], 59-60 p.	1
6	[2], 53-56 p.	1
376	[6], 370 p.	1
88	[2], x, [4] 70, [2] p.	1
73	[4], 11, [3], 13-66 p.	1
244	[4], 118, [2], 238 p.	1
68	[6], 239-300 p.	1
10	55-63, [1] p.	1
92	[8], 80 p., [2] leaves of plates (some folded)	1
180	[12], 160, [8] p.	1
87	[13], 73, 73, [1]	1
244	242, [2] p.	1
136	131, [5] p.	1
198	1-197, [1] p.	1
5	[2], 3-5 p.	1
11	[2], 795-803 p.	1
808	803, [5] p.	1
36	[2], 619-652 p.	1
13	[2], 550-560 p.	1
6	[2], 549-552 p.	1
6	[2], 543-546 p.	1
6	[2], 537-540 p.	1
14	[2], 523-534 p.	1
20	[2], 503-520 p.	1
36	[2], 467-500 p.	1
6	[2], 461-464 p.	1
14	[2], 447-458 p.	1
10	[2], 425-432 p.	1
26	[2], 399-422 p.	1
20	[2], 379-396 p.	1
6	[2], 353-356 p.	1
242	[2], 81-320 p.	1
6	17-21 [1] p.	1
2	15-16 p.	1
4	11-14 p.	1
14	[2], 339-349, [1] p.	1
14	[2], 583-594 p.	1
12	[2], 795-803, [1] p.	1
10	[2], 573-580 p.	1
20	[2], 695-711, [1] p.	1
6	[2], 687-690 p.	1
12	[2], 675-684 p.	1
12	[2], 663-671, [1] p.	1
8	[2], 655-660 p.	1
6	[2], 611-588 [i.e. 614] p.	1
14	[2], 597-608 p.	1
267	[6], 25, [26-49], 50-64, [4], 191, [62] p., plates	1
4	[2], 569-570 p.	1
6	[2], 563-565, [1] p.	1
4	[2], 443-444 p.	1
8	[2], 435-439, [1] p.	1
9	[2], 371-376, [1] p.	1
6	[2], 365-367, [1] p.	1
6	[2], 359-361, [1] p.	1
10	[2], 329-336 p.	1
6	[2], 323-325, [1] p.	1
12	[2], 71-79, [1] p.	1
4	[2], 67-68 p.	1
306	9 p. leaves, xxxii, 60, 116, 76, 274, 38,132 p.	1
8	[2], 51-55, [1] p.	1
12	[2], 39-47, [1] p.	1
4	[2], 35-36 p.	1
12	[2], 23-31, [1] p.	1
8	[2], 13-18 p.	1
374	[18], 340, [10] p., [3] leaves of plates (1 folded)	1
23	14, [9] p.	1
74	72, [2] p.	1
8	[1], 10-16 p.	1
10	1 p. l., 10 p.	1
68	[3115]-3182 p.	1
280	[6], 274 p.	1
448	[2], v, [1], [iii]-x, 169, 180-439, [1] p.	1
58	58 p.	1
974	974 p.	1
804	804 p.	1
37	37 p., 1 l.	1
172	xii, 156 p., [1] leaf of plates	1
374	[4], 156, 181-369, [1] p.	1
168	iv, 62, 51bis-66bis, 67-160 p., [1] leaf of plates	1
257	v, 252 p.	1
36	xii, 24 p.	1
NA	3 vol.	1
86	2 p. l., 86 p.	1
286	25, [2], 284 p.	1
NA	5 vol. in 4	1
393	[12], 163, [25], 328 p., [14] folded leaves of plates	1
464	464 p.	1
218	xvi, 202 p.	1
12	[2], 51-60 p.	1
20	[2], 175-192 p.	1
74	2 l., 35 plates	1
47	46 p., [1] p.	1
406	406 p.	1
260	259, [1] p.	1
475	475 p.	1
66	[2], xiv, 15-63, [1] p.	1
2	1 sheet (3, [1] p.)	1
45	ii, 43 p.	1
854	[12], 812, [30] p.	1
238	3-209, [31] p.	1
68	34 leaves	1
762	[32], 716 (i.e. 588), [142] p.	1
451	vii, 379, lxxi, [1] p.	1
274	274 p.	1
538	[2], 436 ; xcvi p., plates	1
580	iv, 544, [12] p., 10 leaves of plates	1
14	7 leaves	1
493	493 p.	1
398	398 p.	1
152	78 p. ; 71, [1] p., plate	1
8	[2], 555-560 p.	1
4	397-400 p.	1
113	68, 68-70, 70-71; [21] leaves	1
30	18 p., [6] leaves of plates (4 folded)	1
808	[2], [702]+ p., 52 leaves of plates	1
338	xiv, 323, [1] p.	1
2	1 sheet (p. 331-332)	1
172	[2], 301-470 p.	1
4	[1], 2-3, [1] p.	1
64	[8], 56, p.	1
216	xxx, [2], 183, [1], 32 p.	1
4	[4] p. (the last 3 p. blank)	1
848	723, [3] p., [61] leaves of plates (1 folded)	1
336	4 vol. in 1 (x, [3]-313, [1] p.), 7 leaves of plates	1
14	p. 85-98	1
48	3-49, [1] p.	1
2	ccclxxiii-ccclxxiv p.	1
174	151, [9] p., 7 plates	1
28	3-30 p.	1
1245	vi, 1304-1654, cii; 759, xxxiii	1
472	[iv], 471, [1] p.	1
537	[6] sheets, 479 [46] p.	1
595	[26 p.; 432 [+2] p.; [19 p.; 103 [+13] p.	1
NA	4 v. (various pagings)	1
1007	[10] sheets, 959 p., [14] sheets	1
22	[iv], [22] p.	1
1184	[v] sheets, 1174 p.	1
54	[2], iv, 48+ p.	1
630	vi, 490, [126] p.; [4] folded leaves of plates	1
94	[6], 86, [1] plate (folded)	1
918	2 v. ([8], 408; [2], 409-838, [70] p.)	1
74	25, [3], 27-43, [3], 45-67, [1] p.	1
40	27, [1] [i.e. 40] p.	1
1052	[12], [iv], v-cvi, [2], 728, 727-889, [47] p.	1
8	[2], 1-5, 5 [i.e. 6] p.	1
20	16 p., [1] leaf of plates	1
14	12, [2] p.	1
4	[1], [3] p.	1
12	[6], 2, [4] p.	1
NA	7 v. in 4	1
860	5 v. ([4], 160; [4], 148; [4] 175; [4], 166; 195 p.)	1
2	28 [i.e. 1]-[2] p.	1
104	[2] , 102 [i.e. 101], [1] p.	1
556	xvi, 540 p.	1
56	54 [i.e. 56] p.	1
329	[2], xxiv, 26-326, [2]p.	1
289	[2], 287, p.	1
20	[2], 139-156 p.	1
2	349-350 p.	1
4	329-332 p.	1
2	1 sheet (p. 49)	1
101	l sheet ([1] p.)	1
540	xvi, 522, [2] p.	1
207	141, 143-205, [2] p.	1
5	2, [3] p.	1
640	[14], 594, [32] p.	1
132	[4], viii, 119, [1] p.	1
80	78 [2] p.	1
336	[8], 328 p.	1
302	v, [1], 296 p.	1
160	[2], 158 p.	1
349	[2], 171-324, [1], *326-*344 p., plate	1
396	394, [2] p.	1
290	iv, [8], 272, [4] p., plate (map)	1
44	Pp. 5-48	1
NA	87 v.	1
NA	97 v.	1
492	[4], 464 p., [12] plates	1
416	[viii], 416 p.	1
480	xi, [1], 443, [1] p., [12] plates	1
724	[8],698,[18]p.	1
180	[20], 158, [2] p.	1
474	472, [2] p.	1
8	[2], 59-63, [1] p.	1
254	[4], 116, [2], 119-234, [2] p., [6] leaves of plates	1
32	[5], 25, [2] p.	1
26	[5], 21 p.	1
80	77, [3] p.	1
253	[2], 250, [1] p.	1
18	[6], 163-174 p.	1
16	p. 177-192.	1
102	[8], 65, [25], 64, [4] p.	1
160	[14], 132, [8], 7-12, [2], 88 p., [1] folded leaf	1
52	[12], 40 p.	1
80	[6], 67, [7] p.	1
4	1, [3] p.	1
49	[8], 40, 7, [1] p.	1
182	[16], 161, [5] p.	1
38	[6], 10 [i.e. 14], 32 p.	1
24	[4], 20 p	1
84	82 [i.e., 84] p.	1
30	[4], 23, [3] p.	1
256	254, [2] p.	1
96	[10], 86, 12 p.	1
197	p. [1], 156-157, 190-196	1
6	p. 151-155, [1]	1
32	p. 119-150	1
8	p. 107-113, [1]	1
6	p. 101-103 [i.e. 105], [1]	1
360	360,44p.	1
170	[3],116-281,[1]p.	1
100	[1],208-306p.	1
156	[1],52-205,[1]p.	1
20	[1],284-302p.	1
252	239,[11]p.,plate	1
336	334, [2] p.	1
350	xiv,336p.	1
30	[25]-54p.	1
16	[9]-24p.	1
32	xxxii p.	1
4	p. [1],60-62	1
113	[3],6-108,[1],79,[1]p.	1
88	v,[1],7-88p.	1
42	p. [3],34-70,[2]	1
22	19, [3] p.	1
24	iv,[1],6-22,[2]p.	1
34	[4],iv,25,[1]p.	1
133	[2],viii,120,[2],38,19,[1]p.	1
288	xii,275,[1]p.	1
70	iv,5-70p.	1
12	iv,[1],6-12p.	1
32	[4],28,16p.	1
32	vi,[1],8-31,[1]p.	1
32	19,[1],xii p.	1
180	xii,136,[4],162,[2]p.	1
80	vii, [4], 12-80 p.	1
180	viii, [1], 10-177, [3] p.	1
36	[9],4-30p.	1
20	[5],10-22,[2]p.	1
42	40, [2] p.	1
298	[8],288p., 1leaf of plates	1
32	viii,[1],10-30,[2]p.	1
32	[2],ii,4,9-27,[1]p.	1
48	[2],ii,[1],6-47,[1]p.	1
20	[2],ii,16p.	1
56	[2],iv,49,[1]p.	1
276	272p., [1]folded leaf of plates	1
50	iv, 46 p.	1
376	xii, 13-374, [2] p.	1
112	107,[1],108-110,[1],40p.	1
56	vi,[1],8-55,[1]p.	1
304	iv,[1],6-304p.	1
20	16p., [2]folded leaves of plates	1
128	xxiii, [2], 26-125, [3] p.	1
394	x, 381, [3] p.	1
520	[4], 7-519, [3] p.	1
52	48p., [1]leaf of plates	1
41	39,[1],23,[1]p.	1
50	[6], 41, [3] p.	1
24	ii,3-23,[1]p.	1
64	[6],56,[2]p.	1
338	[2], ix, [2], 12-331, [1] p., ii leaves of plates (1 folded)	1
69	iv,[1],4-8,11-64p.	1
18	[18]p.	1
120	xi,[2],14-120p.	1
520	xx, [1], 22-517, [3] p.	1
96	viii,[1],10-96p.	1
80	vi, 73, [1] p.	1
88	vi,[1],8-87,[1]p.	1
82	[5],10-68[i.e., 10-76]p., [5]leaves of plates	1
176	viii, [1], 10-175, [1] p.	1
72	v,[2],8-71,[1]p.	1
66	64, 22, [2] p.	1
256	256 p.	1
78	77, [1] p.	1
156	153,[3]p.	1
92	88p., [1]folded leaf	1
66	66 p.	1
34	[4], 30 + p.	1
40	vi,[1],8-40p.	1
56	xv,36,[5]p.	1
129	[2],vi,118,[2],iv,49,[1]p.	1
54	xv,36,[3]p.	1
84	xxii,55,[7]p.	1
64	xvi,40,[8]p.	1
80	[22],51,[7]p.	1
96	[26],64,[6]p.	1
24	[4],ii,17,[1]p.	1
8	p. 113-120	1
8	p. 25-32	1
60	17-76+ p.	1
6	2sheet ([2]p.)	1
8	p. [3],46-48,[2]	1
24	p. [2],19-40p.	1
52	[48]p., [1]folded leaf of plates	1
8	p. [9]-15,[1]	1
8	p. [17]-23,[1]	1
128	vi,[2],9-127,[1]p.	1
10	[2],7,[1]p.	1
148	147,[1]p.	1
4	1 sheet; 2p.	1
104	[104]p.	1
47	iv,42,5,[1],4p.	1
96	iv, 5-95, [1] p.	1
100	[4],98[i.e., 96]p.	1
248	xix,[1],225,[3]p.	1
228	xii, [1], 14-128 [i.e., 14-228] p.	1
154	[2],v,[2],8-148,[4]p.	1
228	228 p.	1
144	v,[3],124,[4],129,[3]p.	1
28	24,[4]p.	1
124	[2],ii,120p.	1
204	iv,5-198,[2]p., [2]leaves of plates	1
56	iii,4-56p.	1
48	vii,[1],9-48p.	1
52	viii,[44]p.	1
48	xv,[1],30,[2]p.	1
148	146,[2]p.	1
32	p. [1],26-54,[2]	1
16	p. 9-24	1
28	p. [3], 64-88	1
16	p. [9]-24	1
20	p. [13]-32	1
32	p. [25]-56	1
266	[2],16,25-261,[3]p.	1
176	[8],165,[3]p.	1
30	6p., [12]folded leaves	1
302	[2],viii,[1],10-293,[3]p., [1]leaf of plates	1
364	iv,356p., [2]folded leaves of plates	1
368	viii,356p., [2]folded leaves of plates	1
580	[2],ii,576p.	1
6	[1],4-8p.	1
368	xii, [1], 16-362 p., [4] leaves of plates	1
364	xii,[1],16-362p., [1]leaf of plates	1
80	[8],70,[2]p.	1
84	80,[4]p.	1
56	[6],50p.	1
32	30[i.e., 31],[1]p.	1
234	vi,[2],xiv,[1],16-232p.	1
48	48,48,48p.	1
16	[4],ii,7-15,[1]p.	1
32	iv,5-32p.	1
238	[2],236p.	1
2	1 sheet, [2p.]	1
16	iv,[1],6-16p.	1
244	244p.	1
478	x,xiv,15-474,[4]p.	1
28	iii,[1],5-27,[1]p.	1
336	332, [4] p.	1
276	[4],xiv,[2],256p.	1
44	[2],42,14p.	1
248	xii,[1],16-241,[1]p., [4]leaves of plates	1
24	20p., [1]leaf of plates	1
56	ix, [2], 12-56 p.	1
210	208, 150, [2] p.	1
328	viii,[1],10-327,[1]p.	1
270	vi, 263, [1] p.	1
676	673,[3]p.	1
562	[2],560p.	1
858	[2],856p.	1
272	xxi, [4], 26-258, [14] p.	1
48	43,[5]p.	1
56	iv,[1],6-53,[3]p.	1
104	[4], 56, 49-100 p.	1
180	172, [8] p.	1
68	[4]64p.	1
187	[2],v,[2],4-173[i.e., 4-175],[1],34,[2]p.	1
132	[8],88,vii,[1],111,[1],24,[4]p.	1
516	513, [3] p.	1
38	36,4,14,[2]p.	1
264	viii, [1], 10-263, [1] p.	1
40	x,[1],12-40p.	1
208	[5], 10-205 [i.e., 203],[1] p., [4] folded leaves	1
88	48,88p.	1
56	50, [2] p., [1] folded leaf of plates	1
56	xi,[2],14-53,[3]p.	1
56	vii,[1],48,8p.	1
32	iv,[1],6-30,[2]p.	1
40	viii,[1],10-38,[2]p.	1
44	xii, 31, [1] p.	1
112	[4],iv,104p.	1
96	iv, [1], 6-96 p.	1
120	120 p.	1
73	4, [1], 4-71, [1] p.	1
480	xv,[1],455,[9]p.	1
416	vii,[1],407,[1]p.	1
138	xvi, vi, [1], 8-128 p.	1
94	[2], 90, [2] p.	1
74	[8],64,24,[2]p.	1
108	v, [1], 7-107, [1] p.	1
58	[4],ii,51,[1]p.	1
36	34,[2],20p.	1
610	xi,[1],593,[1]p., [2]leaves of plates	1
60	37, [1], xxii p.	1
132	129, [3] p.	1
104	[2], 102 p.	1
128	[4], 122, [2] p.	1
162	162p.	1
384	iv,[5],14-387,[1]p.	1
34	vii,[2],10-33,[1]p.	1
172	172 p.	1
52	xviii, [1], 20-50, [2] p.	1
16	12p., 2leaves of plates	1
23	[4],ii,15,[1],13,[1]p.	1
218	217,[1]p.	1
128	[8], 88, vii, [1], 111, [1], 24 p.	1
144	iv,[1],6-143,[1]p.	1
202	[2],xxiv,176p.	1
44	[11],4-36p.	1
66	[2], 63, [1] p.	1
192	v,[2],14-198p.	1
28	[2],23,[3]p.	1
56	52 p., [1] folded leaf of plates	1
88	[2],84,[2]p.	1
40	iv,[1],6-39,[1]p.	1
34	iv, [1], 6-33, [1] p.	1
124	121,[3]p.	1
32	[10],21,[1]p.	1
176	xii,141,[1],xxxii,[2],11,11,12-24p.	1
178	xxiv,[1],26-177,[1]p.	1
68	[2],viii,58p.	1
82	[5],4-80p.	1
360	354,[2]p., [1]folded leaf of plates	1
238	233, [1]p., [1] folded leaf of plates	1
30	[4],ii,26[i.e., 24]p.	1
6	[3]leaves	1
36	[2],v,6-33,[1]p.	1
188	187,[1]p.	1
80	v,[2],8-79,[1]p.	1
36	viii,28p.	1
134	[2], v, [2], vi-xiii, [1], 111, [1] p., [2] folded leaves of plates	1
22	[2],20p.	1
28	iii,[1],5-28p.	1
82	81, [1] p.	1
452	iv, [1], 6-445 [i.e., 6-447], [1] p., [2] leaves of plates (1 folded)	1
8	p. 105-112	1
