original	polished	Count
Total count: 	n=46 (50% non-NA values)	Total count: 
Part 1.	Part 1	4
Books 1-6.	Books 1-6	4
Book 8.	Book 8	3
Vol. 2.	Vol. 2	2
Part 2.	Part 2	2
Part 4 (Prosodia).	Part 4 (Prosodia	2
Liber 5-6.	Liber 5-6	1
No. 8.	No. 8	1
Chapter 5.	Chapter 5	1
Chapter 2.	Chapter 2	1
Vol. 6.	Vol. 6	1
Vol. 5.	Vol. 5	1
Vol. 4.	Vol. 4	1
Vol. 3.	Vol. 3	1
Vol. 1.	Vol. 1	1
Chapter the first.	Chapter the first	1
Chapter 4.	Chapter 4	1
Chapter 1.	Chapter 1	1
Metrical: ii.	Metrical: ii	1
Book 1-2.	Book 1-2	1
Liber 4.	Liber 4	1
Liber 1-10.	Liber 1-10	1
Liber 1-2.	Liber 1-2	1
Part II.	Part II	1
Pt. 3.	Pt. 3	1
Part 5.	Part 5	1
Part. 2.	Part. 2	1
Vol. 1 & 2.	Vol. 1 & 2	1
Book 1.	Book 1	1
Part. 1.	Part. 1	1
Liber 1-5.	Liber 1-5	1
Magalah 1.	Magalah 1	1
101-345.	101-345	1
1-100.	1-100	1
Liber 10-12.	Liber 10-12	1
