ESTC	geonameid	name	asciiname	latitude	longitude	country.code	admin1	admin2	admin3	admin4	population	timezone
Banbury	2656406	Banbury	Banbury	52.0632	-1.34222	GB	ENG	K2	38UB		46075	Europe/London
Basel	2661604	Basel	Basel	47.55839	7.57327	CH	BS	1200	2701		164488	Europe/Zurich
Bath	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belfast	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bennington Vt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Berlin	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bern	2661552	Bern	Bern	46.94809	7.44744	CH	BE	246	351		121631	Europe/Zurich
Beverley	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Birmingham	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Birstall	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bishopstone	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Blackburn	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bolton	2655237	Bolton	Bolton	53.58333	-2.43333	GB	ENG	B1			141331	Europe/London
Bombay	1275339	Mumbai	Mumbai	19.07283	72.88261	IN	16	518			12691836	Asia/Kolkata
Boston	2655138	Boston	Boston	52.97633	-0.02664	GB	ENG	H7	32UB		35859	Europe/London
Boston Ma	4183849	Boston	Boston	30.79186	-83.78989	US	GA	275			1315	America/New_York
Bottisham	2655123	Bottisham	Bottisham	52.2228	0.25878	GB	ENG	C3	2650488		2027	Europe/London
Bouillon	2801283	Bouillon	Bouillon	49.79324	5.06703	BE	WAL	WLX	84	84010	5347	Europe/Brussels
Boulogne	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brattleborough Vt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brentford	2654787	Brentford	Brentford	51.48619	-0.3083	GB	ENG	GLA	D9		10750	Europe/London
Bridgetown Barbados	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Bridgnorth	2654731	Bridgnorth	Bridgnorth	52.53661	-2.42033	GB	ENG	L6	00GG032		12156	Europe/London
Bristol	2654675	Bristol	Bristol	51.45523	-2.59665	GB	ENG	B7			430713	Europe/London
Brookfield Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Brussels	2800866	Brussels	Brussels	50.85045	4.34878	BE	BRU	BRU	21	21004	1019022	Europe/Brussels
Buckden	2654419	Buckden	Buckden	52.29415	-0.24912	GB	ENG	C3	12UE		2438	Europe/London
Bungay	2654327	Bungay	Bungay	52.45434	1.43818	GB	ENG	N5	42UH		5004	Europe/London
Burlington N.J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
