ESTC	geonameid	name	asciiname	latitude	longitude	country.code	admin1	admin2	admin3	admin4	population	timezone
Springfield Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. Albans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. Andrews	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. Augustine Fl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. Eustatius	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. Helier	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. John New Brunswick	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. Omer	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
St. Pierre Martinique	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stafford	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stamford	5139428	Stamford	Stamford	52.65	-0.48333	US	NY	025			1119	America/New_York
Staunton Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stirling	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stockbridge Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Stockton	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Strabane	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Strasbourg	2973783	Strasbourg	Strasbourg	48.58392	7.74553	FR	C1	67	678	67482	274845	Europe/Paris
Sudbury	2636564	Sudbury	Sudbury	52.0389	0.73117	GB	ENG	N5	42UB		12080	Europe/London
Sunderland	2636531	Sunderland	Sunderland	54.90465	-1.38222	GB	ENG	N6			177965	Europe/London
Taunton	2636177	Taunton	Taunton	51.01494	-3.10293	GB	ENG	M3	40UE		60433	Europe/London
Tewkesbury	2636071	Tewkesbury	Tewkesbury	51.99244	-2.1601	GB	ENG	E6	23UG		10200	Europe/London
The Hague	2747373	The Hague	The Hague	52.07667	4.29861	NL	11	0518			474292	Europe/Amsterdam
Trefeca	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trenton	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Trevoux	2971722	Trévoux	Trevoux	45.94111	4.76727	FR	B9	01	012	01427	6957	Europe/Paris
Tunbridge Wells	2639022	Royal Tunbridge Wells	Royal Tunbridge Wells	51.13321	0.26256	GB	ENG	G5	29UQ		61075	Europe/London
Twickenham	2635308	Twickenham	Twickenham	51.44489	-0.3377	GB	ENG	GLA	L1		0	Europe/London
United States	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Utrecht	2745912	Utrecht	Utrecht	52.09083	5.12222	NL	09	0344			290529	Europe/Amsterdam
Venice	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Verdun	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vergennes Vt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Vevey	2658145	Vevey	Vevey	46.46299	6.84345	CH	VD	2230	5890		15812	Europe/Zurich
Vienna	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Walpole N.H	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Walsall	2634308	Weston-super-Mare	Weston-super-Mare	51.5489	-0.48211	GB	ENG	GLA	F9		0	Europe/London
Waltham	4954380	Waltham	Waltham	42.37649	-71.23561	US	MA	017			60632	America/New_York
Warrington	4177465	Warrington	Warrington	53.39254	-2.58024	US	FL	033			14531	America/Chicago
Warwick	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Washington Pa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Waterford	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Watertown Ma	4954611	Watertown	Watertown	42.37093	-71.18283	US	MA	017			31915	America/New_York
Wesel	3076084	Grygov	Grygov	58.34194	26.31472	EE	18	0605			1072	Europe/Tallinn
West Springfield Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Westminster Vt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wexford	2960964	Loch Garman	Loch Garman	52.33417	-6.4575	IE	L	30			19913	Europe/Dublin
Weymouth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Whitehaven	2634096	Whitehaven	Whitehaven	54.54897	-3.58412	GB	ENG	C9	16UE		24803	Europe/London
Wigan	2633948	Wigan	Wigan	53.53333	-2.61667	GB	ENG	P7			80788	Europe/London
Williamsburg Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wilmington De	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wilmington N.C	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Winchester	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Winchester Va	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Windham Ct	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Windsor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Windsor Vt	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Winterthur	2657970	Winterthur	Winterthur	47.50564	8.72413	CH	ZH	110	230		91908	Europe/Zurich
Winton	5410144	Winton	Winton	54.4833	-2.3333	US	CA	047			10613	America/Los_Angeles
Wisbech	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wokingham	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wolverhampton	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Woodbridge N.J	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Worcester	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Worcester Ma	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Wrexham	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Yarmouth	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Yeovil	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
York	2642189	Morley	Morley	53.74013	-1.59877	GB	ENG	H3	00DA030		57385	Europe/London
York Pa	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
